County,2000 Live Births,2000 Teen Unmarried Births,2000 Percentage,2007 Live Births,2007 Teen Unmarried Births,2007 Percentage,2000-2007 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,68,6,8.80%,92,6,6.50%,-26.10%,19_001,19,2,4,,
Adams,35,2,5.70%,40,C,N/A,N/A,19_002,19,2,4,,
Allamakee,158,13,8.20%,205,17,8.30%,0.80%,19_003,19,2,4,,
Appanoose,142,11,7.70%,168,17,10.10%,30.60%,19_004,19,2,4,,
Audubon,47,7,14.90%,54,5,9.30%,-37.80%,19_005,19,2,4,,
Benton,325,21,6.50%,289,14,4.80%,-25.00%,19_006,19,2,4,,
Black Hawk,"1,551",175,11.30%,"1,730",151,8.70%,-22.60%,19_007,19,2,4,,
Boone,317,15,4.70%,320,23,7.20%,51.90%,19_008,19,2,4,,
Bremer,250,15,6.00%,285,7,2.50%,-59.10%,19_009,19,2,4,,
Buchanan,301,23,7.60%,314,14,4.50%,-41.70%,19_010,19,2,4,,
Buena Vista,233,29,12.40%,289,23,8.00%,-36.10%,19_011,19,2,4,,
Butler,170,10,5.90%,202,8,4.00%,-32.70%,19_012,19,2,4,,
Calhoun,107,6,5.60%,108,7,6.50%,15.60%,19_013,19,2,4,,
Carroll,262,12,4.60%,275,15,5.50%,19.10%,19_014,19,2,4,,
Cass,158,12,7.60%,171,11,6.40%,-15.30%,19_015,19,2,4,,
Cedar,206,12,5.80%,220,11,5.00%,-14.20%,19_016,19,2,4,,
Cerro Gordo,530,50,9.40%,549,53,9.70%,2.30%,19_017,19,2,4,,
Cherokee,146,13,8.90%,137,15,10.90%,23.00%,19_018,19,2,4,,
Chickasaw,169,13,7.70%,153,8,5.20%,-32.00%,19_019,19,2,4,,
Clarke,97,14,14.40%,141,19,13.50%,-6.60%,19_020,19,2,4,,
Clay,204,17,8.30%,214,11,5.10%,-38.30%,19_021,19,2,4,,
Clayton,194,15,7.70%,198,6,3.00%,-60.80%,19_022,19,2,4,,
Clinton,591,63,10.70%,633,71,11.20%,5.20%,19_023,19,2,4,,
Crawford,189,22,11.60%,268,19,7.10%,-39.10%,19_024,19,2,4,,
Dallas,566,27,4.80%,962,35,3.60%,-23.70%,19_025,19,2,4,,
Davis,129,9,7.00%,136,7,5.10%,-26.20%,19_026,19,2,4,,
Decatur,101,8,7.90%,114,7,6.10%,-22.50%,19_027,19,2,4,,
Delaware,227,12,5.30%,231,20,8.70%,63.80%,19_028,19,2,4,,
Des Moines,555,71,12.80%,558,67,12.00%,-6.10%,19_029,19,2,4,,
Dickinson,159,13,8.20%,179,7,3.90%,-52.20%,19_030,19,2,4,,
Dubuque,"1,221",83,6.80%,"1,243",93,7.50%,10.10%,19_031,19,2,4,,
