State	Nation_ID	State_ID	Region_ID	Division_ID	Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American	Number of White	Percent of White	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"235,544"	"3,045"	1.3	"3,550"	1.5	"70,734"	30	"79,071"	33.6	"73,932"	31.4	443	0.2	"4,769"	2	"40,745"	17.3	"5,014"	2.1	"28,632"	12.2	"24,800"
Alabama		1	3	6	"5,125"	18	0.4	28	0.5	180	3.5	"3,187"	62.2	"1,674"	32.7	0	0	38	0.7	625	12.2	38	0.7	88	1.7	434
Alaska		2	4	9	191	161	84.3	0	0	DS	1	4	2.1	18	9.4	4	2.1	DS	1	13	6.8	0	0	48	25.1	276
Arizona		4	4	8	"2,409"	192	8	16	0.7	"1,083"	45	107	4.4	871	36.2	6	0.2	134	5.6	295	12.2	29	1.2	88	3.7	527
Arkansas		5	3	7	"3,454"	14	0.4	80	2.3	298	8.6	"2,013"	58.3	"1,020"	29.5	DS	0.1	27	0.8	318	9.2	55	1.6	176	5.1	308
California		6	4	9	"20,739"	135	0.7	505	2.4	"15,999"	77.1	"1,633"	7.9	"2,056"	9.9	104	0.5	307	1.5	"2,779"	13.4	168	0.8	"11,448"	55.2	"2,424"
Colorado		8	4	8	"1,663"	23	1.4	24	1.4	"1,089"	65.5	203	12.2	292	17.6	DS	0.1	30	1.8	234	14.1	8	0.5	353	21.2	462
Connecticut		9	1	1	"3,131"	14	0.4	30	1	"1,161"	37.1	813	26	"1,062"	33.9	DS	0.1	49	1.6	531	17	83	2.7	387	12.4	245
Delaware		10	3	5	"1,167"	DS	0.2	12	1	141	12.1	614	52.6	392	33.6	DS	0.2	4	0.3	288	24.7	36	3.1	50	4.3	68
District of Columbia		11	3	5	"1,135"	DS	0.2	11	1	154	13.6	957	84.3	7	0.6	0	0	4	0.4	353	31.1	7	0.6	97	8.5	44
Florida		12	3	5	"13,447"	80	0.6	97	0.7	"3,150"	23.4	"4,234"	31.5	"5,475"	40.7	13	0.1	398	3	"2,204"	16.4	262	1.9	784	5.8	"1,100"
Georgia		13	3	5	"19,809"	38	0.2	295	1.5	"2,809"	14.2	"11,051"	55.8	"5,148"	26	12	0.1	456	2.3	"2,879"	14.5	127	0.6	885	4.5	578
Hawaii		15	4	9	65	DS	3.1	12	18.5	DS	3.1	4	6.2	13	20	30	46.2	DS	3.1	11	16.9	4	6.2	4	6.2	68
Idaho		16	4	8	538	13	2.4	4	0.7	75	13.9	7	1.3	430	79.9	0	0	9	1.7	54	10	26	4.8	14	2.6	221
Illinois		17	2	3	"9,540"	43	0.5	131	1.4	"2,872"	30.1	"3,732"	39.1	"2,526"	26.5	DS	0	234	2.5	"1,584"	16.6	136	1.4	658	6.9	886
Indiana		18	2	3	726	4	0.6	4	0.6	36	5	99	13.6	544	74.9	0	0	39	5.4	166	22.9	8	1.1	10	1.4	426
Iowa		19	2	4	"1,219"	31	2.5	4	0.3	162	13.3	182	14.9	794	65.1	4	0.3	42	3.4	123	10.1	10	0.8	31	2.5	399
Kansas		20	2	4	"1,248"	19	1.5	31	2.5	371	29.7	244	19.6	545	43.7	DS	0.2	36	2.9	184	14.7	19	1.5	219	17.5	381
Kentucky		21	3	6	"3,320"	6	0.2	28	0.8	167	5	792	23.9	"2,256"	68	4	0.1	67	2	519	15.6	47	1.4	124	3.7	389
Louisiana		22	3	7	"4,188"	45	1.1	21	0.5	195	4.7	"2,416"	57.7	"1,474"	35.2	DS	0	35	0.8	731	17.5	214	5.1	113	2.7	388
Maine		23	1	1	215	DS	0.9	0	0	4	1.9	8	3.7	197	91.6	0	0	4	1.9	53	24.7	11	5.1	6	2.8	125
Maryland		24	3	5	"10,249"	33	0.3	181	1.8	"1,994"	19.5	"6,165"	60.2	"1,627"	15.9	75	0.7	174	1.7	"2,127"	20.8	405	4	762	7.4	281
Massachusetts		25	1	1	"4,409"	18	0.4	113	2.6	"1,687"	38.3	763	17.3	"1,659"	37.6	4	0.1	165	3.7	"1,189"	27	135	3.1	663	15	379
Michigan		26	2	3	"7,249"	83	1.1	65	0.9	627	8.6	"2,815"	38.8	"3,511"	48.4	0	0	148	2	"1,233"	17	79	1.1	510	7	"1,061"
Minnesota		27	2	4	947	29	3.1	25	2.6	147	15.5	79	8.3	660	69.7	0	0	7	0.7	141	14.9	9	1	52	5.5	741
Mississippi		28	3	6	"3,054"	4	0.1	10	0.3	61	2	"2,020"	66.1	957	31.3	DS	0.1	0	0	305	10	8	0.3	18	0.6	301
Missouri		29	2	4	"2,796"	12	0.4	32	1.1	146	5.2	"1,113"	39.8	"1,445"	51.7	4	0.1	44	1.6	473	16.9	32	1.1	63	2.3	677
Montana		30	4	8	280	161	57.5	0	0	12	4.3	4	1.4	99	35.4	DS	0.7	DS	0.7	41	14.6	7	2.5	38	13.6	169
Nebraska		31	2	4	256	44	17.2	5	2	59	23	12	4.7	129	50.4	0	0	7	2.7	66	25.8	DS	0.8	17	6.6	315
Nevada		32	4	8	413	11	2.7	6	1.5	209	50.6	37	9	140	33.9	DS	0.5	8	1.9	27	6.5	4	1	4	1	145
New Hampshire		33	1	1	"1,390"	10	0.7	20	1.4	160	11.5	47	3.4	"1,139"	81.9	0	0	14	1	350	25.2	104	7.5	42	3	89
New Jersey		34	1	2	"4,983"	10	0.2	94	1.9	"2,112"	42.4	"1,853"	37.2	889	17.8	DS	0	23	0.5	768	15.4	68	1.4	348	7	517
New Mexico		35	4	8	"2,764"	321	11.6	20	0.7	"1,884"	68.2	52	1.9	449	16.2	4	0.1	34	1.2	386	14	29	1	549	19.9	205
