Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	"6,819"	79.6	DS	0	14	0.2	134	1.6	"1,439"	16.8	"5,191"	60.6	DS	0	37	0.4	25	0.3	"1,802"	47	3	6
Corporal punishment on females	"1,745"	20.4	4	0	DS	0	25	0.3	464	5.4	"1,239"	14.5	0	0	11	0.1	6	0.1	"1,802"	47	3	6
Corporal punishment total	"8,564"	100	6	0.1	16	0.2	159	1.9	"1,903"	22.2	"6,430"	75.1	DS	0	48	0.6	31	0.4	"1,802"	47	3	6
One or more in-school suspensions on males	"55,910"	63.3	110	0.1	446	0.5	"2,088"	2.4	"18,916"	21.4	"33,920"	38.4	45	0.1	385	0.4	"1,135"	1.3	"1,802"	47	3	6
One or more in-school suspensions on females	"32,407"	36.7	67	0.1	233	0.3	"1,065"	1.2	"13,849"	15.7	"16,921"	19.2	28	0	244	0.3	544	0.6	"1,802"	47	3	6
One or more in-school suspensions total	"88,317"	100	177	0.2	679	0.8	"3,153"	3.6	"32,765"	37.1	"50,841"	57.6	73	0.1	629	0.7	"1,679"	1.9	"1,802"	47	3	6
Only one out-of-school suspension on males	"23,247"	63.7	43	0.1	181	0.5	813	2.2	"11,031"	30.2	"11,024"	30.2	15	0	140	0.4	574	1.6	"1,802"	47	3	6
Only one out-of-school suspension on females	"13,225"	36.3	17	0	80	0.2	358	1	"7,879"	21.6	"4,800"	13.2	8	0	83	0.2	206	0.6	"1,802"	47	3	6
Only one out-of-school suspension total	"36,472"	100	60	0.2	261	0.7	"1,171"	3.2	"18,910"	51.8	"15,824"	43.4	23	0.1	223	0.6	780	2.1	"1,802"	47	3	6
More than one out-of-school suspension on males	"17,057"	66.4	15	0.1	67	0.3	749	2.9	"10,629"	41.3	"5,489"	21.4	7	0	101	0.4	310	1.2	"1,802"	47	3	6
More than one out-of-school suspension on females	"8,648"	33.6	12	0	24	0.1	153	0.6	"6,398"	24.9	"2,023"	7.9	4	0	34	0.1	83	0.3	"1,802"	47	3	6
More than one out-of-school suspension total	"25,705"	100	27	0.1	91	0.4	902	3.5	"17,027"	66.2	"7,512"	29.2	11	0	135	0.5	393	1.5	"1,802"	47	3	6
One or more out-of-school suspensions on males	"40,304"	64.8	58	0.1	245	0.4	"1,560"	2.5	"21,667"	34.9	"16,509"	26.6	22	0	243	0.4	883	1.4	"1,802"	47	3	6
One or more out-of-school suspensions on females	"21,865"	35.2	29	0	102	0.2	509	0.8	"14,274"	23	"6,824"	11	12	0	115	0.2	287	0.5	"1,802"	47	3	6
One or more out-of-school suspensions total	"62,169"	100	87	0.1	347	0.6	"2,069"	3.3	"35,941"	57.8	"23,333"	37.5	34	0.1	358	0.6	"1,170"	1.9	"1,802"	47	3	6
Expulsions with educational services on males	"1,706"	73.4	4	0.2	4	0.2	68	2.9	780	33.6	836	36	DS	0.1	12	0.5	13	0.6	"1,802"	47	3	6
Expulsions with educational services on females	618	26.6	0	0	0	0	24	1	324	13.9	268	11.5	0	0	DS	0.1	DS	0.1	"1,802"	47	3	6
Expulsions with educational services total	"2,324"	100	4	0.2	4	0.2	92	4	"1,104"	47.5	"1,104"	47.5	DS	0.1	14	0.6	15	0.6	"1,802"	47	3	6
Expulsions without educational services on males	"2,802"	69	DS	0	11	0.3	53	1.3	"2,269"	55.9	462	11.4	0	0	5	0.1	64	1.6	"1,802"	47	3	6
Expulsions without educational services on females	"1,258"	31	0	0	4	0.1	10	0.2	"1,108"	27.3	132	3.3	DS	0	DS	0	10	0.2	"1,802"	47	3	6
Expulsions without educational services total	"4,060"	100	DS	0	15	0.4	63	1.6	"3,377"	83.2	594	14.6	DS	0	7	0.2	74	1.8	"1,802"	47	3	6
Expulsions with or without educational services on males	"4,509"	70.6	6	0.1	15	0.2	122	1.9	"3,045"	47.7	"1,302"	20.4	DS	0	17	0.3	77	1.2	"1,802"	47	3	6
Expulsions with or without educational services on females	"1,878"	29.4	0	0	4	0.1	35	0.5	"1,433"	22.4	400	6.3	DS	0	4	0.1	12	0.2	"1,802"	47	3	6
Expulsions with or without educational services total	"6,387"	100	6	0.1	19	0.3	157	2.5	"4,478"	70.1	"1,702"	26.6	4	0.1	21	0.3	89	1.4	"1,802"	47	3	6
Expulsions under zero-tolerance policies on males	"1,515"	76.4	0	0	5	0.3	55	2.8	862	43.5	585	29.5	0	0	8	0.4	26	1.3	"1,802"	47	3	6
Expulsions under zero-tolerance policies on females	468	23.6	0	0	DS	0.1	4	0.2	260	13.1	200	10.1	0	0	DS	0.1	DS	0.1	"1,802"	47	3	6
Expulsions under zero-tolerance policies total	"1,983"	100	0	0	7	0.4	59	3	"1,122"	56.6	785	39.6	0	0	10	0.5	28	1.4	"1,802"	47	3	6
Referral to law enforcement on males	"2,184"	68	DS	0.1	DS	0.1	68	2.1	466	14.5	"1,633"	50.9	0	0	13	0.4	10	0.3	"1,802"	47	3	6
Referral to law enforcement on females	"1,026"	32	DS	0.1	DS	0.1	19	0.6	268	8.3	733	22.8	0	0	DS	0.1	DS	0.1	"1,802"	47	3	6
Referral to law enforcement total	"3,210"	100	4	0.1	4	0.1	87	2.7	734	22.9	"2,366"	73.7	0	0	15	0.5	12	0.4	"1,802"	47	3	6
School-related arrests on males	838	67.5	DS	0.2	0	0	35	2.8	243	19.6	556	44.8	0	0	DS	0.2	6	0.5	"1,802"	47	3	6
School-related arrests on females	404	32.5	DS	0.2	0	0	11	0.9	150	12.1	239	19.2	0	0	DS	0.2	DS	0.2	"1,802"	47	3	6
School-related arrests total	"1,242"	100	4	0.3	0	0	46	3.7	393	31.6	795	64	0	0	4	0.3	8	0.6	"1,802"	47	3	6
