Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number American Indian or Alaskan Native Students Without Disabilities	Percent of American Indian or Alaskan Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities 	Number Native Hawaiian or other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or other Pacific Islander Students Without Disabilities	Number two or more races Students Without Disabilities	Percent of two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment males	"13,299"	77.5	40	0.2	27	0.2	558	3.3	"3,679"	21.4	"8,901"	51.9	7	0	87	0.5	125	0.7	"1,097"	5	3	7
Corporal punishment females	"3,866"	22.5	18	0.1	DS	0	129	0.8	"1,565"	9.1	"2,132"	12.4	5	0	15	0.1	27	0.2	"1,097"	5	3	7
Corporal punishment total	"17,165"	100	58	0.3	29	0.2	687	4	"5,244"	30.6	"11,033"	64.3	12	0.1	102	0.6	152	0.9	"1,097"	5	3	7
One or more in-school suspensions males	"31,961"	65	162	0.3	159	0.3	"2,976"	6.1	"11,646"	23.7	"16,667"	33.9	105	0.2	246	0.5	"1,433"	2.9	"1,097"	5	3	7
One or more in-school suspensions females	"17,195"	35	90	0.2	78	0.2	"1,498"	3	"7,956"	16.2	"7,369"	15	53	0.1	151	0.3	707	1.4	"1,097"	5	3	7
One or more in-school suspensions total	"49,156"	100	252	0.5	237	0.5	"4,474"	9.1	"19,602"	39.9	"24,036"	48.9	158	0.3	397	0.8	"2,140"	4.4	"1,097"	5	3	7
Only one out-of-school suspension males	"12,472"	66.5	45	0.2	58	0.3	811	4.3	"5,748"	30.6	"5,701"	30.4	44	0.2	65	0.3	426	2.3	"1,097"	5	3	7
Only one out-of-school suspension females	"6,293"	33.5	16	0.1	14	0.1	351	1.9	"3,612"	19.2	"2,242"	11.9	20	0.1	38	0.2	165	0.9	"1,097"	5	3	7
Only one out-of-school suspension total	"18,765"	100	61	0.3	72	0.4	"1,162"	6.2	"9,360"	49.9	"7,943"	42.3	64	0.3	103	0.5	591	3.1	"1,097"	5	3	7
More than one out-of-school suspension males	"8,053"	68.2	36	0.3	35	0.3	629	5.3	"4,028"	34.1	"3,187"	27	54	0.5	84	0.7	387	3.3	"1,097"	5	3	7
More than one out-of-school suspension females	"3,760"	31.8	20	0.2	15	0.1	206	1.7	"2,300"	19.5	"1,143"	9.7	20	0.2	56	0.5	129	1.1	"1,097"	5	3	7
More than one out-of-school suspension total	"11,813"	100	56	0.5	50	0.4	835	7.1	"6,328"	53.6	"4,330"	36.7	74	0.6	140	1.2	516	4.4	"1,097"	5	3	7
One or more out-of-school suspensions males	"20,541"	67.1	82	0.3	94	0.3	"1,440"	4.7	"9,784"	32	"8,893"	29.1	98	0.3	150	0.5	816	2.7	"1,097"	5	3	7
One or more out-of-school suspensions females	"10,054"	32.9	37	0.1	28	0.1	555	1.8	"5,912"	19.3	"3,388"	11.1	41	0.1	93	0.3	292	1	"1,097"	5	3	7
One or more out-of-school suspensions total	"30,595"	100	119	0.4	122	0.4	"1,995"	6.5	"15,696"	51.3	"12,281"	40.1	139	0.5	243	0.8	"1,108"	3.6	"1,097"	5	3	7
Expulsions with educational services males	162	75.3	DS	0.9	DS	0.9	6	2.8	55	25.6	93	43.3	0	0	4	1.9	DS	0.9	"1,097"	5	3	7
Expulsions with educational services females	53	24.7	DS	0.9	0	0	DS	0.9	22	10.2	27	12.6	0	0	0	0	0	0	"1,097"	5	3	7
Expulsions with educational services total	215	100	4	1.9	DS	0.9	8	3.7	77	35.8	120	55.8	0	0	4	1.9	DS	0.9	"1,097"	5	3	7
Expulsions without educational services males	329	78.9	DS	0.5	DS	0.5	25	6	105	25.2	191	45.8	DS	0.5	DS	0.5	20	4.8	"1,097"	5	3	7
Expulsions without educational services females	88	21.1	0	0	DS	0.5	5	1.2	24	5.8	57	13.7	0	0	0	0	4	1	"1,097"	5	3	7
Expulsions without educational services total	417	100	DS	0.5	4	1	30	7.2	129	30.9	248	59.5	DS	0.5	DS	0.5	24	5.8	"1,097"	5	3	7
Expulsions with or without educational services males	489	76.9	5	0.8	DS	0.3	34	5.3	158	24.8	281	44.2	DS	0.3	7	1.1	21	3.3	"1,097"	5	3	7
Expulsions with or without educational services females	147	23.1	DS	0.3	DS	0.3	8	1.3	50	7.9	85	13.4	0	0	0	0	4	0.6	"1,097"	5	3	7
Expulsions with or without educational services total	636	100	7	1.1	4	0.6	42	6.6	208	32.7	366	57.5	DS	0.3	7	1.1	25	3.9	"1,097"	5	3	7
Expulsions under zero-tolerance policies males	117	82.4	DS	1.4	0	0	DS	1.4	40	28.2	73	51.4	0	0	0	0	DS	1.4	"1,097"	5	3	7
Expulsions under zero-tolerance policies females	25	17.6	0	0	0	0	0	0	7	4.9	18	12.7	0	0	0	0	0	0	"1,097"	5	3	7
Expulsions under zero-tolerance policies total	142	100	DS	1.4	0	0	DS	1.4	47	33.1	91	64.1	0	0	0	0	DS	1.4	"1,097"	5	3	7
