Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
Corporal punishment for males,10,83.3,DS,16.7,8,66.7,0,0,0,0,0,0,0,0,8,80,0,0,0,0,0,0,295,50,1,1
Corporal punishment for females,DS,16.7,0,0,DS,16.7,0,0,0,0,0,0,0,0,DS,20,0,0,0,0,0,0,295,50,1,1
Corporal punishment total,12,100,DS,16.7,10,83.3,0,0,0,0,0,0,0,0,10,100,0,0,0,0,0,0,295,50,1,1
One or more in-school suspensions for males,935,77.6,137,11.4,798,66.2,7,0.7,DS,0.2,12,1.2,21,2,750,72.5,0,0,6,0.6,12,1,295,50,1,1
One or more in-school suspensions for females,270,22.4,33,2.7,237,19.7,4,0.4,0,0,DS,0.2,7,0.7,222,21.4,0,0,DS,0.2,5,0.4,295,50,1,1
One or more in-school suspensions total,"1,205",100,170,14.1,"1,035",85.9,11,1.1,DS,0.2,14,1.4,28,2.7,972,93.9,0,0,8,0.8,17,1.4,295,50,1,1
Only one out-of-school suspension for males,499,78.7,79,12.5,420,66.2,4,0.7,DS,0.4,5,0.9,15,2.8,390,72,0,0,4,0.7,11,1.7,295,50,1,1
Only one out-of-school suspension for females,135,21.3,13,2.1,122,19.2,DS,0.4,0,0,DS,0.4,DS,0.4,114,21,0,0,DS,0.4,DS,0.3,295,50,1,1
Only one out-of-school suspension total,634,100,92,14.5,542,85.5,6,1.1,DS,0.4,7,1.3,17,3.1,504,93,0,0,6,1.1,13,2.1,295,50,1,1
More than one out-of-school suspension for males,464,76.9,58,9.6,406,67.3,8,1.5,DS,0.4,7,1.3,14,2.7,368,69.7,0,0,7,1.3,4,0.7,295,50,1,1
More than one out-of-school suspension for females,139,23.1,17,2.8,122,20.2,DS,0.4,0,0,DS,0.4,7,1.3,109,20.6,0,0,DS,0.4,DS,0.3,295,50,1,1
More than one out-of-school suspension total,603,100,75,12.4,528,87.6,10,1.9,DS,0.4,9,1.7,21,4,477,90.3,0,0,9,1.7,6,1,295,50,1,1
One or more out-of-school suspensions for males,965,78.2,140,11.3,825,66.9,12,1.1,DS,0.2,11,1,28,2.6,761,71.5,0,0,11,1,15,1.2,295,50,1,1
One or more out-of-school suspensions for females,269,21.8,30,2.4,239,19.4,6,0.6,0,0,DS,0.2,8,0.8,221,20.8,0,0,DS,0.2,DS,0.2,295,50,1,1
One or more out-of-school suspensions total,"1,234",100,170,13.8,"1,064",86.2,18,1.7,DS,0.2,13,1.2,36,3.4,982,92.3,0,0,13,1.2,17,1.4,295,50,1,1
Expulsions with educational services for males,27,87.1,DS,6.5,25,80.6,0,0,0,0,0,0,0,0,25,86.2,0,0,0,0,0,0,295,50,1,1
Expulsions with educational services for females,4,12.9,0,0,4,12.9,0,0,0,0,0,0,0,0,4,13.8,0,0,0,0,0,0,295,50,1,1
Expulsions with educational services total,31,100,DS,6.5,29,93.5,0,0,0,0,0,0,0,0,29,100,0,0,0,0,0,0,295,50,1,1
Expulsions without educational services for males,4,100,0,0,4,100,0,0,0,0,0,0,0,0,4,100,0,0,0,0,0,0,295,50,1,1
