Types of crimes,2008,2009,2010,2011,2012,2013,2014,State_ID,Region_ID,Division_ID
Total Arrests,"15,690","15,150","14,204","13,149","12,198","10,519","12,293",31,2,4
Violent Crime Index,246,274,195,196,212,N/A,N/A,31,2,4
Murder/nonneg. mans.,5,4,5,7,1,1,8,31,2,4
Rape,18,20,26,30,26,N/A,N/A,31,2,4
Robbery,75,103,75,62,68,61,79,31,2,4
Aggravated assault,148,147,89,97,117,91,136,31,2,4
Property Crime Index,"3,617","3,767","3,431","3,449","3,142","2,549","3,233",31,2,4
Burglary,342,310,265,271,200,186,230,31,2,4
Larceny-theft,"3,086","3,277","3,031","3,022","2,815","2,253","2,873",31,2,4
Motor vehicle theft,132,124,105,95,75,71,104,31,2,4
Arson,57,56,30,61,52,39,26,31,2,4
Other assaults,"2,008","2,081","1,937","1,625","1,565","1,533","1,512",31,2,4
Forgery and counterfeiting,19,19,13,13,8,9,6,31,2,4
Fraud,92,89,85,57,75,70,87,31,2,4
Embezzlement,17,12,4,3,4,9,13,31,2,4
Stolen property,210,152,154,115,130,125,140,31,2,4
Vandalism,"1,048","1,217","1,064",877,901,683,790,31,2,4
Weapons,199,133,152,117,103,100,141,31,2,4
Prostitution/<br>commercialized vice,1,2,1,2,0,0,0,31,2,4
Sex offenses (other),127,109,100,127,115,N/A,N/A,31,2,4
Drug abuse violations,"1,188","1,171","1,377","1,330","1,325","1,236","1,611",31,2,4
Gambling,1,0,1,0,0,0,0,31,2,4
Offenses against family,37,31,21,17,27,13,17,31,2,4
Driving under influence,284,231,208,163,160,127,124,31,2,4
Liquor laws,"2,488","2,015","1,771","1,771","1,522","1,104","1,254",31,2,4
Drunkenness,0,0,0,0,0,0,0,31,2,4
Disorderly conduct,930,812,736,766,640,649,788,31,2,4
Vagrancy,1,3,1,1,0,2,0,31,2,4
All other offenses,"2,247","2,233","2,206","1,900","1,676","1,482","1,719",31,2,4
Curfew and loitering,486,335,304,224,242,199,161,31,2,4
Runaways,444,464,443,396,351,330,334,31,2,4
Population Ages 10 to 17,"198,200","197,100","198,000","198,800","199,600","201,000","202,300",31,2,4
