,2000,2000,,2011,2011,,
,Child,Below,,Child,Below,,2000-2011
County,Population,Poverty,Percentage,Population,Poverty,Percentage,Change
Adair,"1,836",202,11.00%,"1,647",252,15.30%,39.10%
Adams,"1,000",148,14.80%,829,180,21.70%,46.70%
Allamakee,"3,474",469,13.50%,"3,175",743,23.40%,73.30%
Appanoose,"3,071",565,18.40%,"2,778",700,25.20%,37.00%
Audubon,"1,661",211,12.70%,"1,261",198,15.70%,23.60%
Benton,"6,658",506,7.60%,"6,400",768,12.00%,57.90%
Black Hawk,"28,412","3,722",13.10%,"27,522","5,642",20.50%,56.50%
Boone,"6,124",545,8.90%,"5,906",756,12.80%,43.80%
Bremer,"5,298",302,5.70%,"5,278",417,7.90%,38.60%
Buchanan,"5,667",816,14.40%,"5,419",970,17.90%,24.30%
Buena Vista,"4,854",597,12.30%,"4,976",826,16.60%,35.00%
Butler,"3,529",360,10.20%,"3,475",483,13.90%,36.30%
Calhoun,"2,356",311,13.20%,"2,035",348,17.10%,29.50%
Carroll,"5,483",488,8.90%,"4,992",599,12.00%,34.80%
Cass,"3,290",454,13.80%,"3,058",633,20.70%,50.00%
Cedar,"4,397",299,6.80%,"4,366",489,11.20%,64.70%
Cerro Gordo,"10,420","1,042",10.00%,"9,176","1,670",18.20%,82.00%
Cherokee,"2,963",323,10.90%,"2,477",384,15.50%,42.20%
Chickasaw,"3,280",351,10.70%,"2,942",406,13.80%,29.00%
Clarke,"2,261",321,14.20%,"2,289",444,19.40%,36.60%
Clay,"4,052",389,9.60%,"3,747",637,17.00%,77.10%
Clayton,"4,408",551,12.50%,"4,000",820,20.50%,64.00%
Clinton,"12,234","1,566",12.80%,"11,193","2,149",19.20%,50.00%
Crawford,"4,201",605,14.40%,"4,511",839,18.60%,29.10%
Dallas,"11,508",702,6.10%,"19,888","1,591",8.00%,31.10%
Davis,"2,255",451,20.00%,"2,527",710,28.10%,40.50%
Decatur,"1,856",336,18.10%,"1,837",553,30.10%,66.30%
Delaware,"5,000",505,10.10%,"4,286",630,14.70%,45.50%
Des Moines,"9,832","1,465",14.90%,"9,046","2,180",24.10%,61.70%
Dickinson,"3,430",295,8.60%,"3,185",395,12.40%,44.20%
Dubuque,"21,886","1,926",8.80%,"21,901","2,869",13.10%,48.90%
Emmet,"2,341",316,13.50%,"2,177",394,18.10%,34.10%
Fayette,"5,150",685,13.30%,"4,573",846,18.50%,39.10%
Floyd,"3,957",546,13.80%,"3,714",650,17.50%,26.80%
Franklin,"2,455",243,9.90%,"2,490",478,19.20%,93.90%
Fremont,"1,872",234,12.50%,"1,625",286,17.60%,40.80%
Greene,"2,492",309,12.40%,"2,093",450,21.50%,73.40%
Grundy,"2,984",191,6.40%,"2,917",245,8.40%,31.20%
Guthrie,"2,533",309,12.20%,"2,479",357,14.40%,18.10%
Hamilton,"3,957",364,9.20%,"3,601",569,15.80%,71.80%
Hancock,"3,049",247,8.10%,"2,591",355,13.70%,69.10%
Hardin,"4,188",490,11.70%,"3,767",678,18.00%,53.80%
Harrison,"3,895",370,9.50%,"3,437",488,14.20%,49.50%
Henry,"4,842",489,10.10%,"4,497",877,19.50%,93.10%
Howard,"2,468",274,11.10%,"2,357",469,19.90%,79.20%
Humboldt,"2,440",283,11.60%,"2,186",341,15.60%,34.50%
Ida,"1,851",211,11.40%,"1,690",294,17.40%,52.60%
Iowa,"4,000",244,6.10%,"3,830",360,9.40%,54.10%
