,2000,2000,,2008-2012,2008-2012,,
,Age 3-4,,,Age 3-4,,,2000-2008-12
County,Population,Preschool,Percentage,Population,Preschool,Percentage,Change
Adair,157,63,40.10%,184,85,46.20%,15.10%
Adams,112,58,51.80%,125,57,45.60%,-11.90%
Allamakee,320,99,30.90%,342,202,59.10%,90.90%
Appanoose,297,123,41.40%,405,248,61.20%,47.90%
Audubon,178,57,32.00%,139,64,46.00%,43.80%
Benton,668,361,54.00%,718,330,46.00%,-15.00%
Black Hawk,"3,126","1,545",49.40%,"3,328","1,714",51.50%,4.20%
Boone,648,289,44.60%,607,262,43.20%,-3.20%
Bremer,575,324,56.30%,624,283,45.40%,-19.50%
Buchanan,545,223,40.90%,642,342,53.30%,30.20%
Buena Vista,464,182,39.20%,622,276,44.40%,13.10%
Butler,357,157,44.00%,416,203,48.80%,11.00%
Calhoun,244,76,31.10%,217,97,44.70%,43.50%
Carroll,520,218,41.90%,657,344,52.40%,24.90%
Cass,290,158,54.50%,327,174,53.20%,-2.30%
Cedar,485,228,47.00%,498,252,50.60%,7.60%
Cerro Gordo,"1,199",549,45.80%,915,609,66.60%,45.40%
Cherokee,272,108,39.70%,321,183,57.00%,43.60%
Chickasaw,310,121,39.00%,329,169,51.40%,31.60%
Clarke,272,103,37.90%,333,189,56.80%,49.90%
Clay,471,280,59.40%,415,165,39.80%,-33.10%
Clayton,398,127,31.90%,420,180,42.90%,34.30%
Clinton,"1,287",646,50.20%,"1,088",662,60.80%,21.20%
Crawford,467,177,37.90%,417,191,45.80%,20.80%
Dallas,"1,260",561,44.50%,"2,454","1,373",55.90%,25.70%
Davis,245,69,28.20%,310,145,46.80%,66.10%
Decatur,211,97,46.00%,258,114,44.20%,-3.90%
Delaware,510,239,46.90%,543,281,51.70%,10.40%
Des Moines,"1,022",400,39.10%,974,300,30.80%,-21.30%
Dickinson,324,133,41.00%,247,111,44.90%,9.50%
Dubuque,"2,510","1,192",47.50%,"2,239","1,259",56.20%,18.40%
Emmet,228,83,36.40%,301,123,40.90%,12.30%
Fayette,514,260,50.60%,515,271,52.60%,4.00%
Floyd,440,194,44.10%,370,82,22.20%,-49.70%
Franklin,284,118,41.50%,219,94,42.90%,3.30%
Fremont,179,78,43.60%,199,86,43.20%,-0.80%
Greene,296,99,33.40%,156,74,47.40%,41.80%
Grundy,275,132,48.00%,340,174,51.20%,6.60%
Guthrie,227,76,33.50%,306,150,49.00%,46.40%
Hamilton,408,203,49.80%,419,152,36.30%,-27.10%
Hancock,280,101,36.10%,381,176,46.20%,28.10%
Hardin,422,198,46.90%,304,166,54.60%,16.40%
Harrison,363,154,42.40%,410,230,56.10%,32.20%
Henry,413,187,45.30%,482,169,35.10%,-22.60%
Howard,233,84,36.10%,277,92,33.20%,-7.90%
Humboldt,250,143,57.20%,301,193,64.10%,12.10%
Ida,171,69,40.40%,162,91,56.20%,39.20%
Iowa,412,152,36.90%,451,210,46.60%,26.20%
Jackson,520,222,42.70%,491,296,60.30%,41.20%
Jasper,"1,091",470,43.10%,796,366,46.00%,6.70%
Jefferson,335,123,36.70%,209,132,63.20%,72.00%
Johnson,"2,412","1,382",57.30%,"2,943","1,766",60.00%,4.70%
Jones,500,183,36.60%,449,231,51.40%,40.60%
Keokuk,283,77,27.20%,253,124,49.00%,80.10%
,Age 3-4,,Age 3-4,,,2000-2008-12,
County,Population Preschool,Percentage,Population,Preschool,Percentage,Change,
Kossuth,377 153,40.60%,390,188,48.20%,18.80%,
Lee,894 365,40.80%,820,371,45.20%,10.80%,
Linn,"5,392 2,712",50.30%,"6,018","3,304",54.90%,9.20%,
Louisa,356 129,36.20%,306,141,46.10%,27.20%,
Lucas,246 106,43.10%,217,106,48.80%,13.40%,
Lyon,328 78,23.80%,302,89,29.50%,23.90%,
Madison,370 146,39.50%,597,290,48.60%,23.10%,
Mahaska,594 206,34.70%,526,340,64.60%,86.40%,
Marion,778 356,45.80%,937,458,48.90%,6.80%,
Marshall,958 376,39.20%,"1,367",637,46.60%,18.70%,
Mills,376 236,62.80%,396,175,44.20%,-29.60%,
Mitchell,289 64,22.10%,214,110,51.40%,132.10%,
Monona,213 109,51.20%,209,115,55.00%,7.50%,
Monroe,277 111,40.10%,197,93,47.20%,17.80%,
Montgomery,312 148,47.40%,222,115,51.80%,9.20%,
Muscatine,"1,098 457",41.60%,"1,190",493,41.40%,-0.50%,
O'Brien,328 133,40.50%,325,185,56.90%,40.40%,
Osceola,228 53,23.20%,142,56,39.40%,69.70%,
Page,411 171,41.60%,259,171,66.00%,58.70%,
Palo Alto,243 112,46.10%,260,116,44.60%,-3.20%,
Plymouth,692 271,39.20%,694,337,48.60%,24.00%,
Pocahontas,180 78,43.30%,164,59,36.00%,-17.00%,
Polk,"11,301 5,327",47.10%,"13,313","6,044",45.40%,-3.70%,
Pottawattamie,"2,258 855",37.90%,"2,487","1,071",43.10%,13.70%,
Poweshiek,410 177,43.20%,326,117,35.90%,-16.90%,
Ringgold,133 53,39.80%,129,61,47.30%,18.70%,
Sac,265 109,41.10%,220,111,50.50%,22.70%,
Scott,"4,222 1,887",44.70%,"4,370","1,770",40.50%,-9.40%,
Shelby,281 81,28.80%,272,133,48.90%,69.60%,
Sioux,879 295,33.60%,"1,117",401,35.90%,7.00%,
Story,"1,699 877",51.60%,"1,848",952,51.50%,-0.20%,
Tama,506 192,37.90%,430,191,44.40%,17.10%,
Taylor,156 45,28.80%,136,85,62.50%,116.70%,
Union,312 160,51.30%,440,259,58.90%,14.80%,
Van Buren,186 84,45.20%,133,74,55.60%,23.20%,
Wapello,840 436,51.90%,966,561,58.10%,11.90%,
Warren,"1,217 444",36.50%,"1,265",539,42.60%,16.80%,
Washington,590 182,30.80%,433,200,46.20%,49.70%,
Wayne,165 60,36.40%,243,99,40.70%,12.00%,
Webster,"1,042 358",34.40%,918,454,49.50%,43.90%,
Winnebago,301 97,32.20%,261,113,43.30%,34.30%,
Winneshiek,450 235,52.20%,529,248,46.90%,-10.20%,
Woodbury,"2,967 1,345",45.30%,"3,145","1,230",39.10%,-13.70%,
Worth,182 74,40.70%,157,88,56.10%,37.90%,
Wright,62.6% 366 134,36.60%,373,222,59.50%,,
State,"75,948 33,828",8.7% 44.5%,"81,111","39,284",48.40%,,
Rural,"11,814 4,492",38.00%,"11,691","5,676",48.60%,27.70%,
Small Urban,"28,247 12,214",43.20%,"29,729","14,498",48.80%,12.80%,
Metropolitan,"35,887 17,122",0.9% 47.7%,"39,691","19,110",48.10%,,
United States,"7,701,024 3,795,049",49.30%,"8,274,639","3,989,904",48.20%,-2.20%,
