Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	43	75.4	0	0	43	75.4	14	24.6	0	0	17	29.8	0	0	7	12.3	0	0	5	8.8	0	0	"2,256"	53	4	9
Corporal punishment on females	14	24.6	0	0	14	24.6	DS	3.5	0	0	6	10.5	DS	3.5	4	7	0	0	0	0	0	0	"2,256"	53	4	9
Corporal punishment total	57	100	0	0	57	100	16	28.1	0	0	23	40.4	DS	3.5	11	19.3	0	0	5	8.8	0	0	"2,256"	53	4	9
One or more in-school suspensions on males	"27,307"	72.1	759	2	"26,548"	70.1	787	2.1	568	1.5	"6,092"	16.5	"1,696"	4.6	"15,538"	42.1	249	0.7	"1,618"	4.4	"2,079"	5.5	"2,256"	53	4	9
One or more in-school suspensions on females	"10,580"	27.9	177	0.5	"10,403"	27.5	406	1.1	195	0.5	"2,534"	6.9	728	2	"5,705"	15.4	133	0.4	702	1.9	634	1.7	"2,256"	53	4	9
One or more in-school suspensions total	"37,887"	100	936	2.5	"36,951"	97.5	"1,193"	3.2	763	2.1	"8,626"	23.3	"2,424"	6.6	"21,243"	57.5	382	1	"2,320"	6.3	"2,713"	7.2	"2,256"	53	4	9
Only one out-of-school suspension on males	"25,293"	71.9	639	1.8	"24,654"	70.1	577	1.7	841	2.4	"5,684"	16.5	"2,249"	6.5	"13,317"	38.8	326	0.9	"1,660"	4.8	"2,214"	6.3	"2,256"	53	4	9
Only one out-of-school suspension on females	"9,889"	28.1	184	0.5	"9,705"	27.6	323	0.9	226	0.7	"2,398"	7	"1,091"	3.2	"4,880"	14.2	142	0.4	645	1.9	680	1.9	"2,256"	53	4	9
Only one out-of-school suspension total	"35,182"	100	823	2.3	"34,359"	97.7	900	2.6	"1,067"	3.1	"8,082"	23.5	"3,340"	9.7	"18,197"	53	468	1.4	"2,305"	6.7	"2,894"	8.2	"2,256"	53	4	9
More than one out-of-school suspension on males	"17,168"	77.7	515	2.3	"16,653"	75.4	505	2.4	293	1.4	"3,905"	18.2	"1,892"	8.8	"8,829"	41.1	168	0.8	"1,061"	4.9	"1,521"	6.9	"2,256"	53	4	9
More than one out-of-school suspension on females	"4,927"	22.3	95	0.4	"4,832"	21.9	191	0.9	60	0.3	"1,107"	5.2	682	3.2	"2,348"	10.9	62	0.3	382	1.8	299	1.4	"2,256"	53	4	9
More than one out-of-school suspension total	"22,095"	100	610	2.8	"21,485"	97.2	696	3.2	353	1.6	"5,012"	23.3	"2,574"	12	"11,177"	52	230	1.1	"1,443"	6.7	"1,820"	8.2	"2,256"	53	4	9
One or more out-of-school suspensions on males	"42,438"	74.2	"1,149"	2	"41,289"	72.1	"1,077"	1.9	"1,125"	2	"9,596"	17.2	"4,132"	7.4	"22,148"	39.7	496	0.9	"2,715"	4.9	"3,738"	6.5	"2,256"	53	4	9
One or more out-of-school suspensions on females	"14,792"	25.8	276	0.5	"14,516"	25.4	514	0.9	283	0.5	"3,506"	6.3	"1,774"	3.2	"7,212"	12.9	204	0.4	"1,023"	1.8	983	1.7	"2,256"	53	4	9
