County,2000 Live Births,2000 Infant Deaths,2000 Rate,2008 Live Births,2008 Infant Deaths,2008 Rate,2000-2008 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,68,0,0,76,C,N/A,N/A,19_001,19,2,4,,
Adams,35,0,0,37,0,0,0.00%,19_002,19,2,4,,
Allamakee,158,0,0,193,0,0,0.00%,19_003,19,2,4,,
Appanoose,142,0,0,184,C,N/A,N/A,19_004,19,2,4,,
Audubon,47,1,21.3,83,0,0,-100.00%,19_005,19,2,4,,
Benton,325,2,6.2,309,0,0,-100.00%,19_006,19,2,4,,
Black Hawk,"1,551",11,7.1,"1,774",12,6.8,-4.60%,19_007,19,2,4,,
Boone,317,4,12.6,303,0,0,-100.00%,19_008,19,2,4,,
Bremer,250,2,8,265,C,N/A,N/A,19_009,19,2,4,,
Buchanan,301,0,0,301,C,N/A,N/A,19_010,19,2,4,,
Buena Vista,233,0,0,290,C,N/A,N/A,19_011,19,2,4,,
Butler,170,1,5.9,173,0,0,-100.00%,19_012,19,2,4,,
Calhoun,107,0,0,95,0,0,0.00%,19_013,19,2,4,,
Carroll,262,0,0,264,C,N/A,N/A,19_014,19,2,4,,
Cass,158,1,6.3,178,C,N/A,N/A,19_015,19,2,4,,
Cedar,206,0,0,200,0,0,0.00%,19_016,19,2,4,,
Cerro Gordo,530,4,7.5,522,5,9.6,26.90%,19_017,19,2,4,,
Cherokee,146,0,0,106,C,N/A,N/A,19_018,19,2,4,,
Chickasaw,169,0,0,153,C,N/A,N/A,19_019,19,2,4,,
Clarke,97,1,10.3,145,0,0,-100.00%,19_020,19,2,4,,
Clay,204,1,4.9,217,C,N/A,N/A,19_021,19,2,4,,
Clayton,194,1,5.2,210,C,N/A,N/A,19_022,19,2,4,,
Clinton,591,4,6.8,606,5,8.3,21.90%,19_023,19,2,4,,
Crawford,189,1,5.3,235,C,N/A,N/A,19_024,19,2,4,,
Dallas,566,4,7.1,"1,026",C,N/A,N/A,19_025,19,2,4,,
Davis,129,1,7.8,143,C,N/A,N/A,19_026,19,2,4,,
Decatur,101,1,9.9,119,0,0,-100.00%,19_027,19,2,4,,
Delaware,227,1,4.4,180,0,0,-100.00%,19_028,19,2,4,,
Des Moines,555,4,7.2,527,C,N/A,N/A,19_029,19,2,4,,
Dickinson,159,0,0,186,C,N/A,N/A,19_030,19,2,4,,
Dubuque,"1,221",9,7.4,"1,224",9,7.4,-0.20%,19_031,19,2,4,,
Emmet,126,2,15.9,125,C,N/A,N/A,19_032,19,2,4,,
Fayette,233,0,0,228,C,N/A,N/A,19_033,19,2,4,,
Floyd,199,0,0,203,0,0,0.00%,19_034,19,2,4,,
Franklin,113,1,8.8,127,C,N/A,N/A,19_035,19,2,4,,
Fremont,82,1,12.2,86,C,N/A,N/A,19_036,19,2,4,,
Greene,92,1,10.9,110,0,0,-100.00%,19_037,19,2,4,,
Grundy,133,2,15,130,C,N/A,N/A,19_038,19,2,4,,
Guthrie,134,0,0,121,C,N/A,N/A,19_039,19,2,4,,
Hamilton,192,2,10.4,168,C,N/A,N/A,19_040,19,2,4,,
Hancock,131,1,7.6,119,0,0,-100.00%,19_041,19,2,4,,
Hardin,208,3,14.4,221,0,0,-100.00%,19_042,19,2,4,,
Harrison,193,0,0,188,C,N/A,N/A,19_043,19,2,4,,
Henry,264,2,7.6,250,0,0,-100.00%,19_044,19,2,4,,
Howard,110,1,9.1,132,C,N/A,N/A,19_045,19,2,4,,
Humboldt,99,0,0,103,0,0,0.00%,19_046,19,2,4,,
Ida,70,1,14.3,83,C,N/A,N/A,19_047,19,2,4,,
Iowa,183,1,5.5,203,C,N/A,N/A,19_048,19,2,4,,
Jackson,239,3,12.6,191,0,0,-100.00%,19_049,19,2,4,,
Jasper,458,2,4.4,441,0,0,-100.00%,19_050,19,2,4,,
Jefferson,145,0,0,157,0,0,0.00%,19_051,19,2,4,,
Johnson,"1,382",7,5.1,"1,719",8,4.7,-8.10%,19_052,19,2,4,,
Jones,227,0,0,238,C,N/A,N/A,19_053,19,2,4,,
Keokuk,154,0,0,120,C,N/A,N/A,19_054,19,2,4,,
Kossuth,166,1,6,154,0,0,-100.00%,19_055,19,2,4,,
Lee,410,4,9.8,376,C,N/A,N/A,19_056,19,2,4,,
Linn,"2,715",12,4.4,"2,847",23,8.1,82.80%,19_057,19,2,4,,
Louisa,164,1,6.1,132,C,N/A,N/A,19_058,19,2,4,,
