Advanced Placement Course enrollment by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"4,268"	46.4	27	0.3	119	1.3	303	3.3	45	0.5	"3,696"	40.2	23	0.2	55	0.6	34	0.4	17	0.2	65	16	4	8
At least one AP course females	"4,937"	53.6	33	0.4	129	1.4	400	4.3	49	0.5	"4,246"	46.1	18	0.2	62	0.7	25	0.3	19	0.2	65	16	4	8
At least one AP course total	"9,205"	100	60	0.7	248	2.7	703	7.6	94	1	"7,942"	86.3	41	0.4	117	1.3	59	0.6	36	0.4	65	16	4	8
AP mathematics males	"1,209"	53.2	7	0.3	51	2.2	114	5	11	0.5	"1,000"	44	4	0.2	22	1	18	0.8	7	0.3	65	16	4	8
AP mathematics females	"1,062"	46.8	5	0.2	30	1.3	98	4.3	8	0.4	900	39.6	DS	0.1	19	0.8	10	0.4	DS	0.1	65	16	4	8
AP mathematics total	"2,271"	100	12	0.5	81	3.6	212	9.3	19	0.8	"1,900"	83.7	6	0.3	41	1.8	28	1.2	9	0.4	65	16	4	8
AP science males	"1,417"	52.6	10	0.4	54	2	92	3.4	15	0.6	"1,219"	45.3	6	0.2	21	0.8	4	0.1	0	0	65	16	4	8
AP science females	"1,276"	47.4	DS	0.1	54	2	110	4.1	16	0.6	"1,071"	39.8	6	0.2	17	0.6	6	0.2	5	0.2	65	16	4	8
AP science total	"2,693"	100	12	0.4	108	4	202	7.5	31	1.2	"2,290"	85	12	0.4	38	1.4	10	0.4	5	0.2	65	16	4	8
AP foreign language males	131	36.8	DS	0.6	7	2	11	3.1	DS	0.6	109	30.6	0	0	0	0	DS	0.6	DS	0.6	65	16	4	8
AP foreign language females	225	63.2	DS	0.6	6	1.7	29	8.1	DS	0.6	184	51.7	DS	0.6	0	0	0	0	DS	0.6	65	16	4	8
AP foreign language total	356	100	4	1.1	13	3.7	40	11.2	4	1.1	293	82.3	DS	0.6	0	0	DS	0.6	4	1.1	65	16	4	8
Other AP subjects on males	"2,701"	42.2	12	0.2	86	1.3	199	3.1	29	0.5	"2,331"	36.5	14	0.2	30	0.5	9	0.1	6	0.1	65	16	4	8
Other AP subjects on females	"3,694"	57.8	27	0.4	99	1.5	296	4.6	38	0.6	"3,182"	49.8	12	0.2	40	0.6	9	0.1	9	0.1	65	16	4	8
Other AP subjects total	"6,395"	100	39	0.6	185	2.9	495	7.7	67	1	"5,513"	86.2	26	0.4	70	1.1	18	0.3	15	0.2	65	16	4	8
