Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of Number of English Language Learners 	Percent of Number of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	134	81.7	0	0	DS	1.2	DS	1.2	43	26.2	83	50.6	0	0	4	2.4	DS	1.2	"1,984"	51	3	5
Corporal punishment on females	30	18.3	0	0	DS	1.2	0	0	13	7.9	15	9.1	0	0	0	0	DS	1.2	"1,984"	51	3	5
Corporal punishment total	164	100	0	0	4	2.4	DS	1.2	56	34.1	98	59.8	0	0	4	2.4	4	2.4	"1,984"	51	3	5
One or more in-school suspensions on males	"39,386"	65.5	127	0.2	593	1	"3,289"	5.5	"14,943"	24.8	"19,156"	31.8	39	0.1	"1,239"	2.1	"1,585"	2.6	"1,984"	51	3	5
One or more in-school suspensions on females	"20,786"	34.5	60	0.1	238	0.4	"1,610"	2.7	"9,130"	15.2	"9,010"	15	14	0	724	1.2	620	1	"1,984"	51	3	5
One or more in-school suspensions total	"60,172"	100	187	0.3	831	1.4	"4,899"	8.1	"24,073"	40	"28,166"	46.8	53	0.1	"1,963"	3.3	"2,205"	3.7	"1,984"	51	3	5
Only one out-of-school suspension on males	"25,579"	65.8	94	0.2	390	1	"2,233"	5.7	"11,250"	28.9	"10,640"	27.4	27	0.1	945	2.4	"1,096"	2.8	"1,984"	51	3	5
Only one out-of-school suspension on females	"13,296"	34.2	33	0.1	107	0.3	"1,094"	2.8	"7,179"	18.5	"4,374"	11.3	11	0	498	1.3	419	1.1	"1,984"	51	3	5
Only one out-of-school suspension total	"38,875"	100	127	0.3	497	1.3	"3,327"	8.6	"18,429"	47.4	"15,014"	38.6	38	0.1	"1,443"	3.7	"1,515"	3.9	"1,984"	51	3	5
More than one out-of-school suspension on males	"18,469"	69.6	61	0.2	150	0.6	"1,382"	5.2	"9,933"	37.4	"6,319"	23.8	17	0.1	607	2.3	617	2.3	"1,984"	51	3	5
More than one out-of-school suspension on females	"8,085"	30.4	20	0.1	30	0.1	493	1.9	"4,900"	18.5	"2,371"	8.9	DS	0	269	1	144	0.5	"1,984"	51	3	5
More than one out-of-school suspension total	"26,554"	100	81	0.3	180	0.7	"1,875"	7.1	"14,833"	55.9	"8,690"	32.7	19	0.1	876	3.3	761	2.9	"1,984"	51	3	5
One or more out-of-school suspensions on males	"44,029"	67.3	155	0.2	543	0.8	"3,617"	5.5	"21,175"	32.4	"16,946"	25.9	45	0.1	"1,548"	2.4	"1,710"	2.6	"1,984"	51	3	5
One or more out-of-school suspensions on females	"21,373"	32.7	53	0.1	138	0.2	"1,586"	2.4	"12,063"	18.4	"6,751"	10.3	14	0	768	1.2	563	0.9	"1,984"	51	3	5
One or more out-of-school suspensions total	"65,402"	100	208	0.3	681	1	"5,203"	8	"33,238"	50.8	"23,697"	36.2	59	0.1	"2,316"	3.5	"2,273"	3.5	"1,984"	51	3	5
Expulsions with educational services on males	644	81.9	DS	0.3	30	3.8	107	13.6	235	29.9	247	31.4	0	0	23	2.9	54	6.9	"1,984"	51	3	5
Expulsions with educational services on females	142	18.1	0	0	5	0.6	28	3.6	40	5.1	62	7.9	DS	0.3	5	0.6	11	1.4	"1,984"	51	3	5
Expulsions with educational services total	786	100	DS	0.3	35	4.5	135	17.2	275	35	309	39.3	DS	0.3	28	3.6	65	8.3	"1,984"	51	3	5
Expulsions without educational services on males	236	85.2	0	0	DS	0.7	18	6.5	111	40.1	101	36.5	0	0	4	1.4	9	3.2	"1,984"	51	3	5
Expulsions without educational services on females	41	14.8	0	0	0	0	DS	0.7	18	6.5	19	6.9	0	0	DS	0.7	0	0	"1,984"	51	3	5
Expulsions without educational services total	277	100	0	0	DS	0.7	20	7.2	129	46.6	120	43.3	0	0	6	2.2	9	3.2	"1,984"	51	3	5
Expulsions with or without educational services on males	879	82.8	DS	0.2	31	2.9	126	11.9	346	32.6	347	32.7	0	0	27	2.5	63	5.9	"1,984"	51	3	5
Expulsions with or without educational services on females	182	17.2	0	0	5	0.5	30	2.8	59	5.6	80	7.5	DS	0.2	6	0.6	11	1	"1,984"	51	3	5
Expulsions with or without educational services total	"1,061"	100	DS	0.2	36	3.4	156	14.7	405	38.2	427	40.2	DS	0.2	33	3.1	74	7	"1,984"	51	3	5
Expulsions under zero-tolerance policies on males	408	82.4	0	0	24	4.8	56	11.3	116	23.4	203	41	0	0	9	1.8	32	6.5	"1,984"	51	3	5
Expulsions under zero-tolerance policies on females	87	17.6	0	0	5	1	14	2.8	11	2.2	53	10.7	DS	0.4	DS	0.4	6	1.2	"1,984"	51	3	5
Expulsions under zero-tolerance policies total	495	100	0	0	29	5.9	70	14.1	127	25.7	256	51.7	DS	0.4	11	2.2	38	7.7	"1,984"	51	3	5
Referral to law enforcement on males	"9,092"	70.6	36	0.3	159	1.2	764	5.9	"3,445"	26.8	"4,355"	33.8	7	0.1	326	2.5	376	2.9	"1,984"	51	3	5
Referral to law enforcement on females	"3,784"	29.4	9	0.1	30	0.2	310	2.4	"1,664"	12.9	"1,642"	12.8	DS	0	127	1	102	0.8	"1,984"	51	3	5
Referral to law enforcement total	"12,876"	100	45	0.3	189	1.5	"1,074"	8.3	"5,109"	39.7	"5,997"	46.6	9	0.1	453	3.5	478	3.7	"1,984"	51	3	5
School-related arrests on males	219	73.2	0	0	DS	0.7	11	3.7	76	25.4	126	42.1	DS	0.7	DS	0.7	DS	0.7	"1,984"	51	3	5
School-related arrests on females	80	26.8	0	0	0	0	4	1.3	27	9	47	15.7	0	0	DS	0.7	DS	0.7	"1,984"	51	3	5
School-related arrests total	299	100	0	0	DS	0.7	15	5	103	34.4	173	57.9	DS	0.7	4	1.3	4	1.3	"1,984"	51	3	5
