Advanced Placement Course Enrollment by gender	Number of total students	Percent of total students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"19,412"	43.2	331	0.7	"1,776"	4	"4,855"	10.8	752	1.7	"11,471"	25.5	61	0.1	166	0.4	501	1.1	61	0.1	192	4	4	8
At least one AP course females	"25,494"	56.8	543	1.2	"1,982"	4.4	"6,921"	15.4	"1,189"	2.6	"14,553"	32.4	61	0.1	245	0.5	247	0.6	77	0.2	192	4	4	8
At least one AP course total	"44,906"	100	874	1.9	"3,758"	8.4	"11,776"	26.2	"1,941"	4.3	"26,024"	58	122	0.3	411	0.9	748	1.7	138	0.3	192	4	4	8
AP mathematics males	"4,368"	50	63	0.7	555	6.3	844	9.7	109	1.2	"2,742"	31.4	18	0.2	37	0.4	25	0.3	5	0.1	192	4	4	8
AP mathematics females	"4,373"	50	55	0.6	553	6.3	895	10.2	186	2.1	"2,641"	30.2	6	0.1	37	0.4	8	0.1	6	0.1	192	4	4	8
AP mathematics total	"8,741"	100	118	1.3	"1,108"	12.7	"1,739"	19.9	295	3.4	"5,383"	61.6	24	0.3	74	0.8	33	0.4	11	0.1	192	4	4	8
AP science males	"3,182"	47.5	56	0.8	455	6.8	646	9.7	98	1.5	"1,889"	28.2	9	0.1	29	0.4	22	0.3	11	0.2	192	4	4	8
AP science females	"3,511"	52.5	70	1	461	6.9	774	11.6	146	2.2	"2,025"	30.3	4	0.1	31	0.5	6	0.1	16	0.2	192	4	4	8
AP science total	"6,693"	100	126	1.9	916	13.7	"1,420"	21.2	244	3.6	"3,914"	58.5	13	0.2	60	0.9	28	0.4	27	0.4	192	4	4	8
AP foreign language males	"1,011"	35.8	6	0.2	87	3.1	613	21.7	18	0.6	283	10	0	0	4	0.1	6	0.2	5	0.2	192	4	4	8
AP foreign language females	"1,815"	64.2	4	0.1	106	3.8	"1,095"	38.7	35	1.2	563	19.9	DS	0.1	10	0.4	7	0.2	7	0.2	192	4	4	8
AP foreign language total	"2,826"	100	10	0.4	193	6.8	"1,708"	60.4	53	1.9	846	29.9	DS	0.1	14	0.5	13	0.5	12	0.4	192	4	4	8
Other AP subjects males	"12,765"	40.8	230	0.7	"1,127"	3.6	"3,311"	10.6	485	1.5	"7,445"	23.8	39	0.1	128	0.4	112	0.4	31	0.1	192	4	4	8
Other AP subjects females	"18,545"	59.2	423	1.4	"1,327"	4.2	"5,078"	16.2	878	2.8	"10,594"	33.8	50	0.2	195	0.6	74	0.2	44	0.1	192	4	4	8
Other AP subjects total	"31,310"	100	653	2.1	"2,454"	7.8	"8,389"	26.8	"1,363"	4.4	"18,039"	57.6	89	0.3	323	1	186	0.6	75	0.2	192	4	4	8
