"Number and percentage of public school female students retained in grade 7, by race/ethnicity, disability status, and English proficiency, by state: School Year 2011-12",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
State,Total Students,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,
,,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,Number,Percent,,
United States,"16,025",198,1.2,236,1.5,"4,322",27,"5,689",35.5,"5,186",32.4,54,0.3,340,2.1,"1,686",10.5,367,2.3,"1,188",7.4,"29,743",99.9
Alabama,426,3-Jan,0.5,3-Jan,0.5,9,2.1,214,50.2,197,46.2,0,0,3-Jan,0.5,28,6.6,3-Jan,0.5,4,0.9,507,100
Alaska,15,11,73.3,0,0,0,0,0,0,3-Jan,13.3,0,0,3-Jan,13.3,0,0,3-Jan,13.3,4,26.7,290,100
Arizona,319,27,8.5,8,2.5,115,36.1,16,5,151,47.3,0,0,3-Jan,0.6,22,6.9,3-Jan,0.6,6,1.9,776,99.5
Arkansas,"1,088",5,0.5,10,0.9,85,7.8,750,68.9,229,21,0,0,9,0.8,62,5.7,12,1.1,65,6,309,100
California,415,3-Jan,0.5,14,3.4,257,61.9,91,21.9,45,10.8,4,1,3-Jan,0.5,38,9.2,3-Jan,0.5,112,27,"2,991",100
Colorado,67,0,0,3-Jan,3,23,34.3,4,6,36,53.7,0,0,3-Jan,3,9,13.4,3-Jan,3,6,9,557,100
Connecticut,60,0,0,3-Jan,3.3,19,31.7,24,40,15,25,0,0,0,0,10,16.7,3-Jan,3.3,7,11.7,321,100
Delaware,55,0,0,0,0,3-Jan,3.6,24,43.6,27,49.1,0,0,3-Jan,3.6,11,20,3-Jan,3.6,3-Jan,3.6,79,100
District of Columbia,20,0,0,0,0,3-Jan,10,18,90,0,0,0,0,0,0,3-Jan,10,0,0,0,0,73,98.6
Florida,"1,305",6,0.5,5,0.4,312,23.9,500,38.3,446,34.2,3-Jan,0.2,34,2.6,155,11.9,78,6,94,7.2,"1,356",100
Georgia,921,3-Jan,0.2,16,1.7,219,23.8,466,50.6,196,21.3,0,0,22,2.4,110,11.9,8,0.9,96,10.4,655,100
Hawaii,48,3-Jan,4.2,4,8.3,3-Jan,4.2,3-Jan,4.2,4,8.3,32,66.7,3-Jan,4.2,6,12.5,0,0,8,16.7,84,100
Idaho,36,3-Jan,5.6,0,0,8,22.2,0,0,24,66.7,0,0,3-Jan,5.6,3-Jan,5.6,3-Jan,5.6,4,11.1,221,99.1
Illinois,319,0,0,3-Jan,0.6,48,15,121,37.9,135,42.3,0,0,13,4.1,18,5.6,0,0,20,6.3,"1,580",100
Indiana,170,3-Jan,1.2,0,0,6,3.5,48,28.2,96,56.5,0,0,18,10.6,17,10,0,0,3-Jan,1.2,514,99.6
Iowa,35,3-Jan,5.7,0,0,3-Jan,5.7,0,0,29,82.9,0,0,3-Jan,5.7,4,11.4,0,0,3-Jan,5.7,399,100
Kansas,15,0,0,0,0,6,40,3-Jan,13.3,7,46.7,0,0,0,0,3-Jan,13.3,3-Jan,13.3,4,26.7,421,99.8
Kentucky,83,0,0,0,0,3-Jan,2.4,17,20.5,60,72.3,0,0,4,4.8,10,12,3-Jan,2.4,3-Jan,2.4,441,100
Louisiana,615,3-Jan,0.3,0,0,26,4.2,370,60.2,215,35,0,0,3-Jan,0.3,62,10.1,42,6.8,9,1.5,520,100
Maine,13,3-Jan,15.4,0,0,0,0,0,0,11,84.6,0,0,0,0,4,30.8,3-Jan,15.4,0,0,206,99.5
Maryland,257,3-Jan,0.8,3-Jan,0.8,13,5.1,188,73.2,43,16.7,3-Jan,0.8,7,2.7,54,21,6,2.3,6,2.3,392,100
Massachusetts,246,3-Jan,0.8,10,4.1,89,36.2,64,26,72,29.3,0,0,9,3.7,61,24.8,7,2.8,34,13.8,489,100
Michigan,385,10,2.6,3-Jan,0.5,12,3.1,185,48.1,165,42.9,0,0,11,2.9,31,8.1,3-Jan,0.5,7,1.8,"1,058",100
Minnesota,85,11,12.9,3-Jan,2.4,9,10.6,13,15.3,44,51.8,3-Jan,2.4,4,4.7,18,21.2,0,0,8,9.4,707,99
Mississippi,528,3-Jan,0.4,3-Jan,0.4,10,1.9,294,55.7,218,41.3,0,0,3-Jan,0.4,17,3.2,3-Jan,0.4,3-Jan,0.4,320,100
Missouri,125,3-Jan,1.6,0,0,18,14.4,63,50.4,40,32,0,0,3-Jan,1.6,5,4,0,0,3-Jan,1.6,765,100
Montana,9,7,77.8,0,0,0,0,0,0,3-Jan,22.2,0,0,0,0,3-Jan,22.2,0,0,3-Jan,22.2,315,99
Nebraska,30,0,0,0,0,3-Jan,6.7,0,0,28,93.3,0,0,0,0,3-Jan,6.7,0,0,0,0,333,100
Nevada,167,5,3,3-Jan,1.2,75,44.9,38,22.8,37,22.2,3-Jan,1.2,8,4.8,10,6,3-Jan,1.2,25,15,166,100
New Hampshire,24,0,0,0,0,3-Jan,8.3,0,0,22,91.7,0,0,0,0,3-Jan,8.3,3-Jan,8.3,3-Jan,8.3,143,99.3
New Jersey,379,0,0,3-Jan,0.5,149,39.3,137,36.1,87,23,0,0,4,1.1,11,2.9,12,3.2,26,6.9,774,100
New Mexico,50,17,34,0,0,21,42,3-Jan,4,8,16,0,0,3-Jan,4,4,8,0,0,8,16,225,99.1
New York,"1,190",15,1.3,20,1.7,391,32.9,540,45.4,210,17.6,3-Jan,0.2,12,1,154,12.9,16,1.3,152,12.8,"1,525",99.9
North Carolina,485,4,0.8,13,2.7,55,11.3,211,43.5,183,37.7,0,0,19,3.9,39,8,20,4.1,30,6.2,713,99.9
North Dakota,35,14,40,0,0,0,0,3-Jan,5.7,19,54.3,0,0,0,0,0,0,0,0,0,0,188,99.5
Ohio,327,3-Jan,0.6,3-Jan,0.6,10,3.1,143,43.7,152,46.5,0,0,18,5.5,38,11.6,3-Jan,0.6,3-Jan,0.6,"1,141",99.7
Oklahoma,87,18,20.7,3-Jan,2.3,14,16.1,5,5.7,42,48.3,0,0,6,6.9,8,9.2,0,0,5,5.7,589,99.7
Oregon,47,3-Jan,4.3,0,0,8,17,0,0,35,74.5,0,0,3-Jan,4.3,10,21.3,3-Jan,4.3,0,0,457,100
Pennsylvania,409,0,0,4,1,45,11,129,31.5,214,52.3,0,0,17,4.2,55,13.4,3-Jan,0.5,7,1.7,965,99.6
Rhode Island,43,3-Jan,4.7,0,0,14,32.6,7,16.3,18,41.9,0,0,3-Jan,4.7,8,18.6,0,0,4,9.3,59,100
South Carolina,356,3-Jan,0.6,4,1.1,18,5.1,167,46.9,149,41.9,0,0,16,4.5,28,7.9,3-Jan,0.6,12,3.4,334,100
South Dakota,4,0,0,0,0,3-Jan,50,0,0,3-Jan,50,0,0,0,0,3-Jan,50,0,0,0,0,262,100
