,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Number and percentage of public school students retained, by race/ethnicity, disability status, and English proficiency, by gender and grade: School Year 2011-12",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grade,Gender,Total Students,,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,
,,,,Number,Percent,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,Number,Percent,,
Retention of students,Wyoming,,Male,188 ,64.8 ,11 ,3.8 ,1-3 ,0.7 ,34 ,11.7 ,1-3 ,0.7 ,139 ,47.9 ,0 ,0.0 ,0 ,0.0 ,68 ,23.4 ,0 ,0.0 ,15 ,5.2 ,191 ,100.0 
Retention of students,Wyoming,Kindergarten,Female,102 ,35.2 ,6 ,2.1 ,0 ,0.0 ,13 ,4.5 ,1-3 ,0.7 ,77 ,26.6 ,1-3 ,0.7 ,1-3 ,0.7 ,28 ,9.7 ,1-3 ,0.7 ,5 ,1.7 ,191 ,100.0 
Retention of students,Wyoming,,Total,290 ,100.0 ,17 ,5.9 ,1-3 ,0.7 ,47 ,16.2 ,4 ,1.4 ,216 ,74.5 ,1-3 ,0.7 ,1-3 ,0.7 ,96 ,33.1 ,1-3 ,0.7 ,20 ,6.9 ,191 ,100.0 
Retention of students,Wyoming,,Male,61 ,58.1 ,4 ,3.8 ,0 ,0.0 ,12 ,11.4 ,1-3 ,1.9 ,41 ,39.0 ,0 ,0.0 ,1-3 ,1.9 ,10 ,9.5 ,0 ,0.0 ,1-3 ,1.9 ,193 ,100.0 
Retention of students,Wyoming,1,Female,44 ,41.9 ,6 ,5.7 ,0 ,0.0 ,6 ,5.7 ,0 ,0.0 ,30 ,28.6 ,0 ,0.0 ,1-3 ,1.9 ,6 ,5.7 ,1-3 ,1.9 ,1-3 ,1.9 ,193 ,100.0 
Retention of students,Wyoming,,Total,105 ,100.0 ,10 ,9.5 ,0 ,0.0 ,18 ,17.1 ,1-3 ,1.9 ,71 ,67.6 ,0 ,0.0 ,4 ,3.8 ,16 ,15.2 ,1-3 ,1.9 ,4 ,3.8 ,193 ,100.0 
Retention of students,Wyoming,,Male,35 ,68.6 ,1-3 ,3.9 ,1-3 ,3.9 ,5 ,9.8 ,0 ,0.0 ,26 ,51.0 ,0 ,0.0 ,0 ,0.0 ,5 ,9.8 ,0 ,0.0 ,1-3 ,3.9 ,193 ,100.0 
