Types of crimes,2001,2002,2003,2004,2005,2006,2007,State_ID,Region_ID,Division_ID
Total Arrests,"7,215","7,717","7,591","7,192","5,870","5,950","5,536",44,1,1
Violent Crime Index,298,285,334,259,230,213,167,44,1,1
Murder/nonneg. mans.,3,7,2,0,0,1,3,44,1,1
Rape,27,22,52,24,15,13,6,44,1,1
Robbery,104,70,72,79,67,79,50,44,1,1
Aggravated assault,164,186,208,156,148,120,108,44,1,1
Property Crime Index,"1,539","1,650","1,592","1,565","1,075","1,066","1,047",44,1,1
Burglary,360,318,270,294,240,236,220,44,1,1
Larceny-theft,919,"1,079","1,143","1,096",684,740,761,44,1,1
Motor vehicle theft,207,163,126,109,89,51,35,44,1,1
Arson,53,90,53,66,62,39,31,44,1,1
Other assaults,941,932,"1,126","1,051",747,740,668,44,1,1
Forgery and counterfeiting,9,3,13,14,6,9,8,44,1,1
Fraud,24,24,11,24,27,26,10,44,1,1
Embezzlement,9,7,13,16,10,7,9,44,1,1
Stolen property,79,53,88,123,78,77,71,44,1,1
Vandalism,563,627,676,638,471,732,500,44,1,1
Weapons,141,153,186,188,160,154,128,44,1,1
Prostitution/<br>commercialized vice,0,2,1,0,1,1,0,44,1,1
Sex offenses (other),25,31,27,31,52,27,27,44,1,1
Drug abuse violations,681,683,672,658,562,517,459,44,1,1
Gambling,0,0,0,0,0,0,0,44,1,1
Offenses against family,277,461,132,61,69,137,105,44,1,1
Driving under influence,19,27,23,36,21,36,33,44,1,1
Liquor laws,202,170,156,169,130,124,144,44,1,1
Drunkenness,13,15,1,0,1,7,4,44,1,1
Disorderly conduct,566,642,850,925,838,862,"1,055",44,1,1
Vagrancy,85,0,0,2,1,0,0,44,1,1
All other offenses,"1,380","1,596","1,439","1,243","1,230","1,113",970,44,1,1
Curfew and loitering,91,51,41,15,9,39,33,44,1,1
Runaways,273,305,210,174,152,63,98,44,1,1
Population Ages 10 to 17,"115,000","117,000","117,800","117,900","117,100","114,800","112,400",44,1,1
