State	Nation_ID	State_ID	Region_ID	Division_ID	Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian Or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"53,485"	669	1.3	670	1.3	"5,946"	11.1	"14,613"	27.3	"29,765"	55.7	76	0.1	"1,746"	3.3	"40,193"	75.1	332	0.6	987	1.8	"95,635"
Alabama		1	3	6	"1,065"	0	0	DS	0.2	12	1.1	440	41.3	597	56.1	0	0	14	1.3	736	69.1	12	1.1	4	0.4	"1,432"
Alaska		2	4	9	110	44	40	0	0	DS	1.8	4	3.6	54	49.1	DS	1.8	4	3.6	83	75.5	0	0	4	3.6	493
Arizona		4	4	8	849	64	7.5	8	0.9	193	22.7	108	12.7	444	52.3	6	0.7	26	3.1	679	80	4	0.5	17	2	"1,920"
Arkansas		5	3	7	371	0	0	4	1.1	23	6.2	139	37.5	197	53.1	DS	0.5	6	1.6	145	39.1	4	1.1	DS	0.5	"1,097"
California		6	4	9	"1,824"	14	0.8	84	4.6	589	32.3	318	17.4	745	40.8	16	0.9	58	3.2	"1,482"	81.3	6	0.3	162	8.9	"9,866"
Colorado		8	4	8	457	4	0.9	4	0.9	121	26.5	59	12.9	241	52.7	DS	0.4	26	5.7	318	69.6	0	0	22	4.8	"1,811"
Connecticut		9	1	1	"1,242"	4	0.3	16	1.3	236	19	309	24.9	646	52	0	0	31	2.5	"1,040"	83.7	8	0.6	12	1	"1,122"
Delaware		10	3	5	82	0	0	4	4.9	9	11	30	36.6	35	42.7	0	0	4	4.9	74	90.2	0	0	DS	2.4	232
District of Columbia		11	3	5	79	0	0	0	0	DS	2.5	77	97.5	0	0	0	0	0	0	56	70.9	0	0	0	0	211
Florida		12	3	5	"3,861"	16	0.4	22	0.6	132	3.4	"1,339"	34.7	"2,132"	55.2	4	0.1	216	5.6	"3,712"	96.1	0	0	4	0.1	"3,886"
Georgia		13	3	5	"3,604"	4	0.1	187	5.2	569	15.8	"1,795"	49.8	904	25.1	0	0	145	4	"1,660"	46.1	9	0.2	153	4.2	"2,422"
Hawaii		15	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286
Idaho		16	4	8	301	11	3.7	0	0	30	10	8	2.7	240	79.7	0	0	12	4	221	73.4	DS	0.7	4	1.3	703
Illinois		17	2	3	"2,937"	6	0.2	28	1	198	6.7	"1,047"	35.6	"1,557"	53	DS	0.1	99	3.4	"2,557"	87.1	16	0.5	28	1	"4,221"
Indiana		18	2	3	"1,216"	4	0.3	11	0.9	33	2.7	205	16.9	905	74.4	DS	0.2	56	4.6	979	80.5	9	0.7	6	0.5	"1,875"
Iowa		19	2	4	"1,260"	6	0.5	9	0.7	59	4.7	266	21.1	875	69.4	DS	0.2	43	3.4	"1,018"	80.8	DS	0.2	9	0.7	"1,458"
Kansas		20	2	4	456	4	0.9	6	1.3	26	5.7	54	11.8	323	70.8	DS	0.4	41	9	379	83.1	0	0	9	2	"1,389"
Kentucky		21	3	6	"1,114"	0	0	6	0.5	33	3	152	13.6	898	80.6	0	0	25	2.2	743	66.7	7	0.6	4	0.4	"1,417"
Louisiana		22	3	7	250	4	1.6	0	0	6	2.4	186	74.4	52	20.8	0	0	DS	0.8	90	36	13	5.2	0	0	"1,394"
Maine		23	1	1	550	4	0.7	DS	0.4	6	1.1	24	4.4	506	92	0	0	8	1.5	491	89.3	7	1.3	4	0.7	595
Maryland		24	3	5	498	DS	0.4	13	2.6	36	7.2	173	34.7	242	48.6	0	0	32	6.4	384	77.1	9	1.8	10	2	"1,444"
Massachusetts		25	1	1	905	DS	0.2	12	1.3	220	24.3	151	16.7	482	53.3	0	0	38	4.2	761	84.1	12	1.3	37	4.1	"1,834"
