State	Nation_ID	State_ID	Region_ID	Division_ID	Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander 	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"174,308"	"2,164"	1.2	"5,587"	3.2	"50,434"	28.9	"53,751"	30.8	"57,933"	33.2	545	0.3	"3,894"	2.2	"28,220"	16.2	"3,155"	1.8	"18,036"	10.3	"24,780"
Alabama		1	3	6	"4,115"	17	0.4	20	0.5	119	2.9	"2,469"	60	"1,471"	35.7	4	0.1	15	0.4	491	11.9	23	0.6	71	1.7	433
Alaska		2	4	9	100	74	74	DS	DS	DS	DS	0	0	18	18	0	0	4	4	10	10	0	0	30	30	276
Arizona		4	4	8	"3,284"	230	7	20	0.6	"1,308"	39.8	180	5.5	"1,297"	39.5	13	0.4	236	7.2	441	13.4	34	1	134	4.1	529
Arkansas		5	3	7	"2,948"	4	0.1	79	2.7	277	9.4	"1,739"	59	805	27.3	23	0.8	21	0.7	308	10.4	45	1.5	229	7.8	298
California		6	4	9	"19,685"	140	0.7	"2,850"	14.5	"12,028"	61.1	"1,755"	8.9	"2,450"	12.4	164	0.8	298	1.5	"2,461"	12.5	157	0.8	"7,845"	39.9	"2,500"
Colorado		8	4	8	"1,325"	15	1.1	25	1.9	890	67.2	147	11.1	233	17.6	DS	0.2	13	1	180	13.6	8	0.6	306	23.1	457
Connecticut		9	1	1	"1,436"	9	0.6	17	1.2	448	31.2	330	23	589	41	DS	0.1	41	2.9	263	18.3	53	3.7	126	8.8	244
Delaware		10	3	5	639	0	0	7	1.1	77	12.1	330	51.6	221	34.6	DS	0.3	DS	0.3	121	18.9	14	2.2	21	3.3	65
District of Columbia		11	3	5	353	0	0	DS	0.6	35	9.9	308	87.3	4	1.1	DS	0.6	DS	0.6	102	28.9	4	1.1	12	3.4	39
Florida		12	3	5	"11,874"	57	0.5	134	1.1	"2,829"	23.8	"3,846"	32.4	"4,637"	39.1	10	0.1	361	3	"1,866"	15.7	209	1.8	827	7	"1,092"
Georgia		13	3	5	"12,677"	20	0.2	247	1.9	"1,731"	13.7	"6,555"	51.7	"3,803"	30	13	0.1	308	2.4	"1,633"	12.9	77	0.6	431	3.4	572
Hawaii		15	4	9	66	DS	3	12	18.2	DS	3	4	6.1	13	19.7	31	47	DS	3	11	16.7	4	6.1	4	6.1	66
Idaho		16	4	8	385	7	1.8	DS	0.5	58	15.1	8	2.1	304	79	DS	0.5	4	1	42	10.9	8	2.1	7	1.8	218
Illinois		17	2	3	"9,673"	25	0.3	154	1.6	"3,253"	33.6	"3,452"	35.7	"2,583"	26.7	10	0.1	196	2	"1,822"	18.8	105	1.1	597	6.2	893
Indiana		18	2	3	808	4	0.5	4	0.5	46	5.7	168	20.8	554	68.6	0	0	32	4	215	26.6	4	0.5	12	1.5	424
Iowa		19	2	4	967	21	2.2	8	0.8	160	16.5	131	13.5	598	61.8	DS	0.2	47	4.9	124	12.8	8	0.8	50	5.2	401
Kansas		20	2	4	631	12	1.9	6	1	181	28.7	110	17.4	302	47.9	DS	0.3	18	2.9	98	15.5	19	3	77	12.2	380
Kentucky		21	3	6	"2,308"	4	0.2	17	0.7	100	4.3	561	24.3	"1,582"	68.5	4	0.2	40	1.7	305	13.2	31	1.3	53	2.3	392
Louisiana		22	3	7	"2,315"	19	0.8	20	0.9	65	2.8	"1,376"	59.4	820	35.4	0	0	15	0.6	323	14	113	4.9	51	2.2	381
Maine		23	1	1	180	4	2.2	DS	1.1	DS	1.1	4	2.2	164	91.1	0	0	4	2.2	38	21.1	14	7.8	DS	1.1	127
Maryland		24	3	5	"6,399"	17	0.3	175	2.7	"1,153"	18	"3,655"	57.1	"1,255"	19.6	19	0.3	125	2	"1,227"	19.2	252	3.9	404	6.3	284
Massachusetts		25	1	1	"2,331"	19	0.8	69	3	723	31	388	16.6	"1,036"	44.4	DS	0.1	94	4	640	27.5	96	4.1	239	10.3	378
Michigan		26	2	3	"6,268"	62	1	84	1.3	521	8.3	"2,074"	33.1	"3,383"	54	4	0.1	140	2.2	"1,091"	17.4	70	1.1	308	4.9	"1,074"
Minnesota		27	2	4	"1,046"	35	3.3	28	2.7	135	12.9	92	8.8	740	70.7	DS	0.2	14	1.3	187	17.9	13	1.2	55	5.3	760
Mississippi		28	3	6	"2,269"	4	0.2	6	0.3	44	1.9	"1,454"	64.1	759	33.5	0	0	DS	0.1	195	8.6	DS	0.1	16	0.7	314
Missouri		29	2	4	"1,944"	6	0.3	14	0.7	87	4.5	671	34.5	"1,122"	57.7	4	0.2	40	2.1	360	18.5	9	0.5	36	1.9	674
Montana		30	4	8	196	99	50.5	0	0	4	2	DS	1	82	41.8	DS	1	7	3.6	38	19.4	4	2	12	6.1	169
Nebraska		31	2	4	238	7	2.9	DS	0.8	44	18.5	19	8	157	66	DS	0.8	7	2.9	62	26.1	4	1.7	11	4.6	318
Nevada		32	4	8	"4,594"	33	0.7	165	3.6	"2,173"	47.3	822	17.9	"1,156"	25.2	53	1.2	192	4.2	614	13.4	59	1.3	707	15.4	143
New Hampshire		33	1	1	813	6	0.7	14	1.7	85	10.5	42	5.2	660	81.2	DS	0.2	4	0.5	192	23.6	52	6.4	27	3.3	89
New Jersey		34	1	2	"2,797"	4	0.1	62	2.2	"1,202"	43	"1,035"	37	475	17	8	0.3	11	0.4	441	15.8	39	1.4	216	7.7	516
New Mexico		35	4	8	"2,237"	232	10.4	18	0.8	"1,429"	63.9	70	3.1	447	20	DS	0.1	39	1.7	335	15	13	0.6	387	17.3	209
New York		36	1	2	"4,218"	29	0.7	164	3.9	928	22	"1,362"	32.3	"1,691"	40.1	4	0.1	40	0.9	"1,060"	25.1	97	2.3	431	10.2	"1,396"
North Carolina		37	3	5	"7,369"	160	2.2	108	1.5	"1,057"	14.3	"3,235"	43.9	"2,582"	35	4	0.1	223	3	"1,329"	18	262	3.6	508	6.9	613
North Dakota		38	2	4	149	73	49	11	7.4	DS	1.3	11	7.4	52	34.9	0	0	0	0	34	22.8	4	2.7	42	28.2	167
Ohio		39	2	3	"5,082"	7	0.1	30	0.6	289	5.7	"2,510"	49.4	"2,013"	39.6	4	0.1	229	4.5	"1,072"	21.1	33	0.6	142	2.8	951
Oklahoma		40	3	7	"1,420"	237	16.7	8	0.6	253	17.8	231	16.3	625	44	7	0.5	59	4.2	253	17.8	7	0.5	81	5.7	502
Oregon		41	9	4	578	14	2.4	14	2.4	82	14.2	25	4.3	403	69.7	4	0.7	36	6.2	117	20.2	13	2.2	21	3.6	358
Pennsylvania		42	1	2	"4,895"	14	0.3	78	1.6	774	15.8	"1,687"	34.5	"2,246"	45.9	4	0.1	92	1.9	"1,040"	21.2	43	0.9	167	3.4	808
Rhode Island		44	1	1	563	4	0.7	4	0.7	201	35.7	84	14.9	249	44.2	DS	0.4	19	3.4	134	23.8	15	2.7	46	8.2	58
South Carolina		45	3	5	"5,001"	14	0.3	33	0.7	319	6.4	"2,288"	45.8	"2,195"	43.9	13	0.3	139	2.8	795	15.9	77	1.5	227	4.5	267
South Dakota		46	2	4	672	184	27.4	10	1.5	38	5.7	34	5.1	396	58.9	DS	0.3	8	1.2	92	13.7	DS	0.3	26	3.9	187
Tennessee		47	3	6	"3,561"	6	0.2	36	1	112	3.1	"1,705"	47.9	"1,686"	47.3	DS	0.1	14	0.4	539	15.1	36	1	133	3.7	403
Texas		48	3	7	"23,453"	103	0.4	418	1.8	"13,394"	57.1	"3,830"	16.3	"5,295"	22.6	33	0.1	380	1.6	"3,432"	14.6	775	3.3	"2,011"	8.6	"2,179"
Utah		49	4	8	464	19	4.1	6	1.3	73	15.7	7	1.5	355	76.5	DS	0.4	DS	0.4	102	22	8	1.7	34	7.3	205
