,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Number and percentage of public school students retained, by race/ethnicity, disability status, and English proficiency, by gender and grade: School Year 2011-12",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grade,Gender,Total Students,,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,
,,,,Number,Percent,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,Number,Percent,,
Retention of students,District of Columbia,,Male,103 ,66.9 ,1-3 ,1.3 ,1-3 ,1.3 ,18 ,11.7 ,74 ,48.1 ,5 ,3.2 ,0 ,0.0 ,1-3 ,1.3 ,22 ,14.3 ,1-3 ,1.3 ,14 ,9.1 ,129 ,99.2 
Retention of students,District of Columbia,Kindergarten,Female,51 ,33.1 ,0 ,0.0 ,0 ,0.0 ,11 ,7.1 ,38 ,24.7 ,1-3 ,1.3 ,0 ,0.0 ,0 ,0.0 ,8 ,5.2 ,0 ,0.0 ,8 ,5.2 ,129 ,99.2 
Retention of students,District of Columbia,,Total,154 ,100.0 ,1-3 ,1.3 ,1-3 ,1.3 ,29 ,18.8 ,112 ,72.7 ,7 ,4.5 ,0 ,0.0 ,1-3 ,1.3 ,30 ,19.5 ,1-3 ,1.3 ,22 ,14.3 ,129 ,99.2 
Retention of students,District of Columbia,,Male,77 ,64.2 ,0 ,0.0 ,0 ,0.0 ,15 ,12.5 ,58 ,48.3 ,1-3 ,1.7 ,0 ,0.0 ,1-3 ,1.7 ,11 ,9.2 ,1-3 ,1.7 ,11 ,9.2 ,126 ,99.2 
Retention of students,District of Columbia,1,Female,43 ,35.8 ,0 ,0.0 ,0 ,0.0 ,7 ,5.8 ,34 ,28.3 ,1-3 ,1.7 ,0 ,0.0 ,0 ,0.0 ,7 ,5.8 ,0 ,0.0 ,6 ,5.0 ,126 ,99.2 
Retention of students,District of Columbia,,Total,120 ,100.0 ,0 ,0.0 ,0 ,0.0 ,22 ,18.3 ,92 ,76.7 ,4 ,3.3 ,0 ,0.0 ,1-3 ,1.7 ,18 ,15.0 ,1-3 ,1.7 ,17 ,14.2 ,126 ,99.2 
Retention of students,District of Columbia,,Male,56 ,56.0 ,0 ,0.0 ,0 ,0.0 ,11 ,11.0 ,41 ,41.0 ,1-3 ,1-3 ,0 ,0.0 ,1-3 ,1-3 ,10 ,10.0 ,0 ,0.0 ,9 ,9.0 ,123 ,99.2 
