Types of crimes,2008,2009,2010,2011,2012,2013,2014,State_ID,Region_ID,Division_ID
Total Arrests,see notes,"48,634","44,567","43,572","36,065","31,798","30,768",37,3,5
Violent Crime Index, ,"2,483","2,050","1,849","1,555",N/A,N/A,37,3,5
Murder/nonneg. mans., ,56,61,37,44,39,35,37,3,5
Rape, ,81,91,51,58,N/A,N/A,37,3,5
Robbery, ,943,673,646,559,623,635,37,3,5
Aggravated assault, ,"1,403","1,225","1,115",894,848,837,37,3,5
Property Crime Index, ,"12,766","11,485","11,125","9,685","8,415","8,070",37,3,5
Burglary, ,"3,572","3,110","3,023","2,540","2,182","1,961",37,3,5
Larceny-theft, ,"8,806","8,022","7,787","6,870","5,989","5,875",37,3,5
Motor vehicle theft, ,233,229,171,183,154,139,37,3,5
Arson, ,155,124,144,92,90,95,37,3,5
Other assaults, ,"8,134","8,359","7,387","6,320","5,897","5,688",37,3,5
Forgery and counterfeiting, ,64,43,48,48,36,32,37,3,5
Fraud, ,461,460,374,306,319,274,37,3,5
Embezzlement, ,47,28,22,30,16,24,37,3,5
Stolen property, ,678,597,546,497,423,471,37,3,5
Vandalism, ,"2,218","1,714","1,822","1,351","1,210","1,188",37,3,5
Weapons, ,"1,831","1,658","1,531","1,337","1,127","1,140",37,3,5
Prostitution/<br>commercialized vice, ,12,13,17,10,14,12,37,3,5
Sex offenses (other), ,148,219,155,151,N/A,N/A,37,3,5
Drug abuse violations, ,"3,790","3,361","3,603","3,137","2,692","2,839",37,3,5
Gambling, ,3,4,1,4,2,9,37,3,5
Offenses against family, ,84,81,87,55,62,57,37,3,5
Driving under influence, ,641,523,521,412,351,310,37,3,5
Liquor laws, ,"1,530","1,409","3,273","1,669","1,092",901,37,3,5
Drunkenness, ,0,0,0,0,0,0,37,3,5
Disorderly conduct, ,"4,765","4,467","3,874","3,347","2,847","2,737",37,3,5
Vagrancy, ,0,4,0,0,0,0,37,3,5
All other offenses, ,"7,830","7,027","6,352","5,349","4,976","4,638",37,3,5
Curfew and loitering, ,0,0,0,1,0,10,37,3,5
Runaways, ,"1,149","1,065",985,801,607,651,37,3,5
Population Ages 10 to 17,"992,500","1,001,300","1,009,800","1,020,600","1,024,200","1,034,300","1,044,400",37,3,5
