County,2000 Assessment Conducted,2000 Fully Immunized,Percentage,2007 Assessment Conducted,2007 Fully Immunized,Percentage,2000-2007 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,41,34,82.90%,13,13,100.00%,20.60%,19_001,19,2,4,,
Adams,15,14,93.30%,15,12,80.00%,-14.30%,19_002,19,2,4,,
Allamakee,106,78,73.60%,73,59,80.80%,9.80%,19_003,19,2,4,,
Appanoose,34,24,70.60%,18,12,66.70%,-5.60%,19_004,19,2,4,,
Audubon,36,35,97.20%,24,22,91.70%,-5.70%,19_005,19,2,4,,
Benton,17,15,88.20%,6,5,83.30%,-5.60%,19_006,19,2,4,,
Black Hawk,322,269,83.50%,298,285,95.60%,14.50%,19_007,19,2,4,,
Boone,44,43,97.70%,17,16,94.10%,-3.70%,19_008,19,2,4,,
Bremer,55,48,87.30%,4,4,100.00%,14.60%,19_009,19,2,4,,
Buchanan,83,61,73.50%,19,10,52.60%,-28.40%,19_010,19,2,4,,
Buena Vista,68,58,85.30%,42,30,71.40%,-16.30%,19_011,19,2,4,,
Butler,28,25,89.30%,4,3,75.00%,-16.00%,19_012,19,2,4,,
Calhoun,64,62,96.90%,18,15,83.30%,-14.00%,19_013,19,2,4,,
Carroll,137,125,91.20%,49,46,93.90%,2.90%,19_014,19,2,4,,
Cass,170,142,83.50%,124,116,93.50%,12.00%,19_015,19,2,4,,
Cedar,30,23,76.70%,16,15,93.80%,22.30%,19_016,19,2,4,,
Cerro Gordo,82,77,93.90%,29,24,82.80%,-11.90%,19_017,19,2,4,,
Cherokee,107,96,89.70%,62,56,90.30%,0.70%,19_018,19,2,4,,
Chickasaw,99,91,91.90%,71,48,67.60%,-26.50%,19_019,19,2,4,,
Clarke,33,30,90.90%,30,29,96.70%,6.30%,19_020,19,2,4,,
Clay,199,183,92.00%,255,231,90.60%,-1.50%,19_021,19,2,4,,
Clayton,90,78,86.70%,32,31,96.90%,11.80%,19_022,19,2,4,,
Clinton,188,164,87.20%,52,45,86.50%,-0.80%,19_023,19,2,4,,
Crawford,107,94,87.90%,123,113,91.90%,4.60%,19_024,19,2,4,,
Dallas,46,33,71.70%,30,27,90.00%,25.50%,19_025,19,2,4,,
Davis,52,26,50.00%,40,30,75.00%,50.00%,19_026,19,2,4,,
Decatur,64,59,92.20%,45,45,100.00%,8.50%,19_027,19,2,4,,
Delaware,84,77,91.70%,39,37,94.90%,3.50%,19_028,19,2,4,,
Des Moines,276,219,79.30%,144,128,88.90%,12.00%,19_029,19,2,4,,
Dickinson,165,155,93.90%,157,155,98.70%,5.10%,19_030,19,2,4,,
Dubuque,293,242,82.60%,224,207,92.40%,11.90%,19_031,19,2,4,,
Emmet,73,67,91.80%,16,14,87.50%,-4.70%,19_032,19,2,4,,
Fayette,97,85,87.60%,14,11,78.60%,-10.30%,19_033,19,2,4,,
Floyd,107,92,86.00%,57,25,43.90%,-49.00%,19_034,19,2,4,,
Franklin,24,24,100.00%,1,0,0.00%,-100.00%,19_035,19,2,4,,
Fremont,18,16,88.90%,7,7,100.00%,12.50%,19_036,19,2,4,,
