Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Without Disabilities and Those With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Without Disabilities and Those With Disabilities Served Under IDEA	Number of Asians Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Asians Without Disabilities and Those With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Without Disabilities and Those With Disabilities Served Under IDEA	Number of Black or African American Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Black or African American Without Disabilities and Those With Disabilities Served Under IDEA	Number of Whites Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Whites Without Disabilities and Those With Disabilities Served Under IDEA	Number of Native Hawaiian or other Pacific Islander Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Native Hawaiian or other Pacific Islander Without Disabilities and Those With Disabilities Served Under IDEA	Number Two or more races Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Two or more races Without Disabilities and Those With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	10	3	5
Corporal punishment on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	10	3	5
Corporal punishment total	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	10	3	5
One or more in-school suspensions on males	"8,201"	65.3	235	1.9	"7,966"	63.4	24	0.2	77	0.6	785	6.4	"4,135"	33.7	"2,816"	23	DS	0	127	1	246	2	232	10	3	5
One or more in-school suspensions on females	"4,357"	34.7	69	0.5	"4,288"	34.1	20	0.2	30	0.2	387	3.2	"2,377"	19.4	"1,416"	11.6	DS	0	56	0.5	96	0.8	232	10	3	5
One or more in-school suspensions total	"12,558"	100	304	2.4	"12,254"	97.6	44	0.4	107	0.9	"1,172"	9.6	"6,512"	53.1	"4,232"	34.5	4	0	183	1.5	342	2.7	232	10	3	5
Only one out-of-school suspension on males	"4,713"	64.4	95	1.3	"4,618"	63.1	18	0.3	43	0.6	542	7.5	"2,354"	32.8	"1,599"	22.3	4	0.1	58	0.8	147	2	232	10	3	5
Only one out-of-school suspension on females	"2,603"	35.6	37	0.5	"2,566"	35.1	DS	0	19	0.3	274	3.8	"1,500"	20.9	741	10.3	DS	0	28	0.4	62	0.8	232	10	3	5
Only one out-of-school suspension total	"7,316"	100	132	1.8	"7,184"	98.2	20	0.3	62	0.9	816	11.4	"3,854"	53.6	"2,340"	32.6	6	0.1	86	1.2	209	2.9	232	10	3	5
More than one out-of-school suspension on males	"4,442"	69.8	102	1.6	"4,340"	68.2	4	0.1	24	0.4	431	6.9	"2,724"	43.7	"1,108"	17.8	DS	0	47	0.8	142	2.2	232	10	3	5
More than one out-of-school suspension on females	"1,923"	30.2	27	0.4	"1,896"	29.8	8	0.1	6	0.1	161	2.6	"1,330"	21.3	378	6.1	0	0	13	0.2	35	0.5	232	10	3	5
More than one out-of-school suspension total	"6,365"	100	129	2	"6,236"	98	12	0.2	30	0.5	592	9.5	"4,054"	65	"1,486"	23.8	DS	0	60	1	177	2.8	232	10	3	5
One or more out-of-school suspensions on males	"9,159"	66.9	201	1.5	"8,958"	65.5	24	0.2	67	0.5	977	7.3	"5,077"	37.8	"2,703"	20.1	4	0	106	0.8	290	2.1	232	10	3	5
One or more out-of-school suspensions on females	"4,524"	33.1	64	0.5	"4,460"	32.6	10	0.1	23	0.2	437	3.3	"2,826"	21.1	"1,121"	8.4	DS	0	41	0.3	96	0.7	232	10	3	5
One or more out-of-school suspensions total	"13,683"	100	265	1.9	"13,418"	98.1	34	0.3	90	0.7	"1,414"	10.5	"7,903"	58.9	"3,824"	28.5	6	0	147	1.1	386	2.8	232	10	3	5
Expulsions with educational services on males	107	72.8	DS	1.4	105	71.4	4	2.8	DS	1.4	7	4.8	48	33.1	42	29	0	0	DS	1.4	DS	1.4	232	10	3	5
Expulsions with educational services on females	40	27.2	0	0	40	27.2	DS	1.4	0	0	DS	1.4	25	17.2	11	7.6	0	0	0	0	0	0	232	10	3	5
Expulsions with educational services total	147	100	DS	1.4	145	98.6	6	4.1	DS	1.4	9	6.2	73	50.3	53	36.6	0	0	DS	1.4	DS	1.4	232	10	3	5
Expulsions without educational services on males	30	88.2	DS	5.9	28	82.4	0	0	0	0	0	0	18	56.3	10	31.3	0	0	0	0	0	0	232	10	3	5
Expulsions without educational services on females	4	11.8	0	0	4	11.8	0	0	0	0	0	0	4	12.5	0	0	0	0	0	0	0	0	232	10	3	5
Expulsions without educational services total	34	100	DS	5.9	32	94.1	0	0	0	0	0	0	22	68.8	10	31.3	0	0	0	0	0	0	232	10	3	5
Expulsions with or without educational services on males	139	75.1	DS	1.1	137	74.1	4	2.2	DS	1.1	8	4.4	68	37.2	53	29	0	0	DS	1.1	DS	1.1	232	10	3	5
Expulsions with or without educational services on females	46	24.9	0	0	46	24.9	DS	1.1	0	0	DS	1.1	30	16.4	12	6.6	0	0	0	0	0	0	232	10	3	5
Expulsions with or without educational services total	185	100	DS	1.1	183	98.9	6	3.3	DS	1.1	10	5.5	98	53.6	65	35.5	0	0	DS	1.1	DS	1.1	232	10	3	5
Expulsions under zero-tolerance policies on males	6	75	0	0	6	75	0	0	0	0	0	0	4	50	DS	25	0	0	0	0	0	0	232	10	3	5
Expulsions under zero-tolerance policies on females	DS	25	0	0	DS	25	0	0	0	0	0	0	DS	25	0	0	0	0	0	0	0	0	232	10	3	5
Expulsions under zero-tolerance policies total	8	100	0	0	8	100	0	0	0	0	0	0	6	75	DS	25	0	0	0	0	0	0	232	10	3	5
Referral to law enforcement on males	"1,216"	74.8	32	2	"1,184"	72.8	4	0.3	7	0.4	124	7.8	632	39.8	404	25.4	0	0	13	0.8	43	2.6	232	10	3	5
Referral to law enforcement on females	410	25.2	6	0.4	404	24.8	DS	0.1	6	0.4	34	2.1	246	15.5	114	7.2	0	0	DS	0.1	7	0.4	232	10	3	5
