State	Nation_ID	State_ID	Region_ID	Division_ID	Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites 	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"51,821"	573	1.1	807	1.6	"11,302"	21.8	"19,437"	37.5	"18,478"	35.7	165	0.3	"1,059"	2	"8,182"	15.8	"1,552"	3	"3,274"	6.3	"29,778"
Alabama		1	3	6	"1,174"	7	0.6	DS	0.2	37	3.2	499	42.5	621	52.9	0	0	8	0.7	84	7.2	6	0.5	13	1.1	509
Alaska		2	4	9	53	38	71.7	DS	3.8	0	0	DS	3.8	11	20.8	0	0	0	0	9	17	0	0	25	47.2	288
Arizona		4	4	8	756	63	8.3	9	1.2	266	35.2	39	5.2	357	47.2	DS	0.3	20	2.6	123	16.3	12	1.6	24	3.2	773
Arkansas		5	3	7	"2,205"	4	0.2	41	1.9	181	8.2	"1,466"	66.5	492	22.3	4	0.2	17	0.8	215	9.8	49	2.2	135	6.1	309
California		6	4	9	757	14	1.8	42	5.5	400	52.8	94	12.4	182	24	9	1.2	16	2.1	117	15.5	11	1.5	162	21.4	"2,966"
Colorado		8	4	8	199	4	2	4	2	86	43.2	19	9.5	82	41.2	0	0	4	2	31	15.6	DS	1	29	14.6	552
Connecticut		9	1	1	156	0	0	4	2.6	39	25	61	39.1	50	32.1	0	0	DS	1.3	33	21.2	8	5.1	6	3.8	317
Delaware		10	3	5	113	0	0	DS	1.8	6	5.3	56	49.6	47	41.6	0	0	DS	1.8	26	23	6	5.3	DS	1.8	79
District of Columbia		11	3	5	57	0	0	0	0	8	14	49	86	0	0	0	0	0	0	18	31.6	0	0	6	10.5	73
