,,,,,,,,,,,,,,,,,,,,,,,,,
,"Number and percentage of public school students not served under IDEA subjected to restraint or seclusion, by race/ethnicity, whether served under Section 504, and English proficiency, by gender and whether restrained or secluded, for state: School Year 2011-12",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Restraint or Seclusion,Gender,Total Students,,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,
,,,,Number,Percent,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,,
not served under the Individuals with Disabilities Education Act (IDEA) subjected to,Wyoming,,Male,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,349 ,100.0 
not served under the Individuals with Disabilities Education Act (IDEA) subjected to,Wyoming,Mechanical restraint,Female,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,349 ,100.0 
not served under the Individuals with Disabilities Education Act (IDEA) subjected to,Wyoming,,Total,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,349 ,100.0 
not served under the Individuals with Disabilities Education Act (IDEA) subjected to,Wyoming,,Male,9 ,81.8 ,0 ,0.0 ,0 ,0.0 ,1-3 ,18.2 ,0 ,0.0 ,5 ,45.5 ,0 ,0.0 ,1-3 ,18.2 ,0 ,0.0 ,0 ,0.0 ,349 ,100.0 
not served under the Individuals with Disabilities Education Act (IDEA) subjected to,Wyoming,Physical restraint,Female,1-3 ,18.2 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,18.2 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,349 ,100.0 
not served under the Individuals with Disabilities Education Act (IDEA) subjected to,Wyoming,,Total,11 ,100.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,18.2 ,0 ,0.0 ,7 ,63.6 ,0 ,0.0 ,1-3 ,18.2 ,0 ,0.0 ,0 ,0.0 ,349 ,100.0 
not served under the Individuals with Disabilities Education Act (IDEA) subjected to,Wyoming,,Male,26 ,81.3 ,1-3 ,6.3 ,0 ,0.0 ,1-3 ,6.3 ,0 ,0.0 ,22 ,68.8 ,0 ,0.0 ,0 ,0.0 ,1-3 ,6.3 ,0 ,0.0 ,349 ,100.0 
not served under the Individuals with Disabilities Education Act (IDEA) subjected to,Wyoming,Seclusion,Female,6 ,18.8 ,0 ,0.0 ,1-3 ,6.3 ,0 ,0.0 ,0 ,0.0 ,4 ,12.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,349 ,100.0 
not served under the Individuals with Disabilities Education Act (IDEA) subjected to,Wyoming,,Total,32 ,100.0 ,1-3 ,6.3 ,1-3 ,6.3 ,1-3 ,6.3 ,0 ,0.0 ,26 ,81.3 ,0 ,0.0 ,0 ,0.0 ,1-3 ,6.3 ,0 ,0.0 ,349 ,100.0 
,,,,,,,,,,,,,,,,,,,,,,,,,
,"NOTE: Table reads:  Of all 0 public school students not served under the Individuals with Disabilities Education Act (IDEA) subjected to mechanical restraint, 0 (0.0%) were American Indian or Alaska Native.",,,,,,,,,,,,,,,,,,,,,,,,
,             Students not served under IDEA are the students without disabilities and those with disabilities served solely under Section 504 of the Rehabilitation Act of 1973.,,,,,,,,,,,,,,,,,,,,,,,,
,"            The ‘1-3’ reference indicates that the data have been suppressed based on the schools’ reported n-size, and that the midpoint was used to calculate the total.",,,,,,,,,,,,,,,,,,,,,,,,
,"SOURCE: U.S. Department of Education, Office for Civil Rights, Civil Rights Data Collection, 2011-12, available at http://ocrdata.ed.gov. Data notes are available at http://ocrdata.ed.gov/downloads/DataNotes.docx",,,,,,,,,,,,,,,,,,,,,,,,
