Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
Corporal punishment for males,4,50,0,0,4,50,0,0,0,0,DS,25,0,0,DS,25,0,0,0,0,0,0,"2,256",53,4,9
Corporal punishment for females,4,50,0,0,4,50,0,0,0,0,0,0,DS,25,DS,25,0,0,0,0,0,0,"2,256",53,4,9
Corporal punishment total,8,100,0,0,8,100,0,0,0,0,DS,25,DS,25,4,50,0,0,0,0,0,0,"2,256",53,4,9
One or more in-school suspensions for males,"6,869",79,759,8.7,"6,110",70.3,231,3,62,0.8,"1,222",15.8,401,5.2,"3,743",48.2,38,0.5,413,5.3,484,5.6,"2,256",53,4,9
One or more in-school suspensions for females,"1,825",21,177,2,"1,648",19,77,1,11,0.1,329,4.2,147,1.9,954,12.3,15,0.2,115,1.5,118,1.4,"2,256",53,4,9
One or more in-school suspensions total,"8,694",100,936,10.8,"7,758",89.2,308,4,73,0.9,"1,551",20,548,7.1,"4,697",60.5,53,0.7,528,6.8,602,6.9,"2,256",53,4,9
Only one out-of-school suspension for males,"6,184",78.7,639,8.1,"5,545",70.6,193,2.7,121,1.7,"1,085",15.4,583,8.3,"3,060",43.5,56,0.8,447,6.4,558,7.1,"2,256",53,4,9
Only one out-of-school suspension for females,"1,670",21.3,184,2.3,"1,486",18.9,51,0.7,19,0.3,303,4.3,207,2.9,785,11.2,15,0.2,106,1.5,137,1.7,"2,256",53,4,9
Only one out-of-school suspension total,"7,854",100,823,10.5,"7,031",89.5,244,3.5,140,2,"1,388",19.7,790,11.2,"3,845",54.7,71,1,553,7.9,695,8.8,"2,256",53,4,9
More than one out-of-school suspension for males,"5,884",84.3,515,7.4,"5,369",76.9,189,3,50,0.8,"1,062",16.7,688,10.8,"2,991",47,37,0.6,352,5.5,496,7.1,"2,256",53,4,9
