Types of crimes,2008,2009,2010,2011,2012,2013,2014,State_ID,Region_ID,Division_ID
Total Arrests,"7,433","7,415","7,086","6,737","6,903","5,482","4,981",30,4,8
Violent Crime Index,115,122,111,94,107,N/A,N/A,30,4,8
Murder/nonneg. mans.,1,2,0,0,0,0,0,30,4,8
Rape,4,5,7,8,10,N/A,N/A,30,4,8
Robbery,7,11,14,4,6,2,3,30,4,8
Aggravated assault,103,104,90,82,91,73,72,30,4,8
Property Crime Index,"1,832","1,649","1,612","1,454","1,453","1,174","1,083",30,4,8
Burglary,146,73,85,62,95,87,65,30,4,8
Larceny-theft,"1,539","1,456","1,425","1,303","1,265","1,038",934,30,4,8
Motor vehicle theft,113,100,83,72,76,43,61,30,4,8
Arson,34,20,19,17,17,6,23,30,4,8
Other assaults,695,642,652,518,578,496,513,30,4,8
Forgery and counterfeiting,6,6,2,1,4,2,0,30,4,8
Fraud,10,6,9,11,8,9,11,30,4,8
Embezzlement,5,4,1,1,3,3,4,30,4,8
Stolen property,10,8,5,0,4,5,8,30,4,8
Vandalism,465,402,352,371,397,287,256,30,4,8
Weapons,21,14,21,15,14,16,24,30,4,8
Prostitution/<br>commercialized vice,0,0,0,0,0,0,1,30,4,8
Sex offenses (other),22,16,17,19,28,N/A,N/A,30,4,8
Drug abuse violations,297,324,385,410,384,380,377,30,4,8
Gambling,0,0,0,0,0,0,0,30,4,8
Offenses against family,54,49,51,26,65,61,104,30,4,8
Driving under influence,66,72,62,42,59,75,52,30,4,8
Liquor laws,"1,414","1,346","1,217","1,104","1,216",968,698,30,4,8
Drunkenness,0,0,0,0,0,0,0,30,4,8
Disorderly conduct,533,635,706,594,710,550,502,30,4,8
Vagrancy,0,0,0,0,0,0,0,30,4,8
All other offenses,926,"1,021",966,"1,482","1,348",831,826,30,4,8
Curfew and loitering,536,574,501,595,523,530,423,30,4,8
Runaways,426,525,416,0,2,0,0,30,4,8
Population Ages 10 to 17,"102,200","100,700","100,100","99,700","98,900","99,900","100,800",30,4,8
