,2000,2000,,2013,2013,,
,Live,Infant,,Live,Infant,,2000-2013
County,Births,Deaths,Rate,Births,Deaths,Rate,Change
Adair,68,0,0,70,0,0,0.00%
Adams,35,0,0,59,0,0,0.00%
Allamakee,158,0,0,183,0,0,0.00%
Appanoose,142,0,0,140,*,*,*
Audubon,47,*,*,69,*,*,*
Benton,325,*,*,287,0,0,-100.00%
Black Hawk,"1,551",11,7.1,"1,689",9,5.3,-24.90%
Boone,317,*,*,303,0,0,-100.00%
Bremer,250,*,*,237,0,0,-100.00%
Buchanan,301,0,0,274,0,0,0.00%
Buena Vista,233,0,0,339,*,*,*
Butler,170,*,*,158,*,*,*
Calhoun,107,0,0,96,*,*,*
Carroll,262,0,0,263,*,*,*
Cass,158,*,*,143,0,0,-100.00%
Cedar,206,0,0,178,0,0,0.00%
Cerro Gordo,530,*,*,478,*,*,*
Cherokee,146,0,0,128,0,0,0.00%
Chickasaw,169,0,0,131,*,*,*
Clarke,97,*,*,129,0,0,-100.00%
Clay,204,*,*,206,*,*,*
Clayton,194,*,*,190,*,*,*
Clinton,591,*,*,547,*,*,*
Crawford,189,*,*,225,0,0,-100.00%
Dallas,566,*,*,"1,233",*,*,*
Davis,129,*,*,126,0,0,-100.00%
Decatur,101,*,*,103,0,0,-100.00%
Delaware,227,*,*,223,*,*,*
Des Moines,555,*,*,457,*,*,*
Dickinson,159,0,0,170,*,*,*
Dubuque,"1,221",9,7.4,"1,220",11,9,22.30%
Emmet,126,*,*,116,*,*,*
Fayette,233,0,0,196,*,*,*
Floyd,199,0,0,201,0,0,0.00%
Franklin,113,*,*,114,*,*,*
Fremont,82,*,*,65,0,0,-100.00%
Greene,92,*,*,117,*,*,*
Grundy,133,*,*,139,0,0,-100.00%
Guthrie,134,0,0,110,0,0,0.00%
Hamilton,192,*,*,179,0,0,-100.00%
Hancock,131,*,*,110,*,*,*
Hardin,208,*,*,175,*,*,*
Harrison,193,0,0,170,0,0,0.00%
Henry,264,*,*,230,*,*,*
Howard,110,*,*,115,*,*,*
Humboldt,99,0,0,117,0,0,0.00%
Ida,70,*,*,84,0,0,-100.00%
Iowa,183,*,*,188,0,0,-100.00%
Jackson,239,*,*,198,0,0,-100.00%
Jasper,458,*,*,404,*,*,*
Jefferson,145,0,0,159,*,*,*
Johnson,"1,382",7,5.1,"1,767",6,3.4,-33.00%
Jones,227,0,0,226,0,0,0.00%
Keokuk,154,0,0,132,*,*,*
,Live,Infant,,Live Infant,,2000-2013,
County,Births,Deaths,Rate,Births Deaths,Rate,Change,
Kossuth,166,*,*,162 *,*,*,
Lee,410,*,*,431 *,*,*,
Linn,"2,715",12,4.4,"2,705 12",4.4,0.40%,
Louisa,164,*,*,121 0,0,-100.00%,
Lucas,119,*,*,101 0,0,-100.00%,
Lyon,159,*,*,158 0,0,-100.00%,
Madison,196,*,*,166 0,0,-100.00%,
Mahaska,283,9,31.8,273 *,*,*,
Marion,383,*,*,390 *,*,*,
Marshall,556,*,*,548 0,0,-100.00%,
Mills,155,0,0,129 *,*,*,
Mitchell,131,*,*,144 *,*,*,
Monona,98,0,0,73 *,*,*,
Monroe,102,*,*,90 *,*,*,
Montgomery,139,*,*,112 *,*,*,
Muscatine,638,*,*,550 *,*,*,
O'Brien,187,*,*,183 *,*,*,
Osceola,73,0,0,79 *,*,*,
Page,169,0,0,171 *,*,*,
Palo Alto,110,*,*,110 0,0,-100.00%,
Plymouth,309,7,22.7,265 0,0,-100.00%,
Pocahontas,73,0,0,99 0,0,0.00%,
Polk,"6,216",46,7.4,"6,767 32",4.7,-36.10%,
Pottawattamie,"1,184",8,6.8,"1,203 *",*,*,
Poweshiek,212,0,0,170 *,*,*,
Ringgold,69,0,0,52 *,*,*,
Sac,135,0,0,121 0,0,0.00%,
Scott,"2,348",20,8.5,"2,269 9",4,-53.40%,
Shelby,150,*,*,121 *,*,*,
Sioux,457,*,*,526 *,*,*,
Story,940,6,6.4,980 *,*,*,
Tama,251,*,*,215 0,0,-100.00%,
Taylor,87,0,0,82 0,0,0.00%,
Union,127,*,*,136 0,0,-100.00%,
Van Buren,97,0,0,85 0,0,0.00%,
Wapello,424,*,*,425 *,*,*,
Warren,513,*,*,532 *,*,*,
Washington,290,0,0,304 *,*,*,
Wayne,79,*,*,92 0,0,-100.00%,
Webster,492,*,*,442 0,0,-100.00%,
Winnebago,134,0,0,132 0,0,0.00%,
Winneshiek,191,*,*,172 0,0,-100.00%,
Woodbury,"1,692",9,5.3,"1,540 8",5.2,-2.30%,
Worth,84,*,*,71 0,0,-100.00%,
Wright,168,*,-100.0% *,150 0,0,,
State,"38,250",241,-34.1% 6.3,"39,013 162",4.2,,
Rural,"5,454",29,5.3,"5,281 19",3.6,-32.30%,
Small Urban,"13,547",84,6.2,"13,592 48",3.5,-43.00%,
Metropolitan,"19,249",128,-29.1% 6.6,"20,140 95",4.7,,
United States,"4,055,507","27,983",6.9,"3,952,841 23,985",6.1,-12.10%,
