Disicipline by gender		Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students  With Disabilities Served Under  IDEA	Percent of Students  With Disabilities Served Under  IDEA	Number of American Indian or Alaskan Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaskan Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number Hispanic or Latino Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of Whites Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more Races Students With Disabilities Served Under IDEA	Percent of Two or more Races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment males	Male	69	70.4	4	4.1	65	66.3	14	15.2	DS	2.2	10	10.9	DS	2.2	32	34.8	0	0	5	5.4	DS	2	"1,920"	4	4	8
Corporal punishment females	Female	29	29.6	DS	2	27	27.6	4	4.3	DS	2.2	DS	2.2	0	0	17	18.5	0	0	DS	2.2	0	0	"1,920"	4	4	8
Corporal punishment total	Total	98	100	6	6.1	92	93.9	18	19.6	4	4.3	12	13	DS	2.2	49	53.3	0	0	7	7.6	DS	2	"1,920"	4	4	8
One or more in-school suspensions males	Male	"9,379"	78.8	355	3	"9,024"	75.9	619	5.4	42	0.4	"3,803"	33.2	953	8.3	"3,401"	29.7	60	0.5	146	1.3	480	4	"1,920"	4	4	8
One or more in-school suspensions females	Female	"2,517"	21.2	98	0.8	"2,419"	20.3	207	1.8	21	0.2	"1,017"	8.9	309	2.7	818	7.1	19	0.2	28	0.2	107	0.9	"1,920"	4	4	8
One or more in-school suspensions total	Total	"11,896"	100	453	3.8	"11,443"	96.2	826	7.2	63	0.6	"4,820"	42.1	"1,262"	11	"4,219"	36.9	79	0.7	174	1.5	587	4.9	"1,920"	4	4	8
Only one out-of-school suspension males	Male	"6,849"	79.1	249	2.9	"6,600"	76.3	494	5.9	45	0.5	"2,618"	31.5	701	8.4	"2,513"	30.2	16	0.2	213	2.6	269	3.1	"1,920"	4	4	8
Only one out-of-school suspension females	Female	"1,805"	20.9	84	1	"1,721"	19.9	160	1.9	8	0.1	653	7.8	219	2.6	629	7.6	DS	0	50	0.6	42	0.5	"1,920"	4	4	8
Only one out-of-school suspension total	Total	"8,654"	100	333	3.8	"8,321"	96.2	654	7.9	53	0.6	"3,271"	39.3	920	11.1	"3,142"	37.8	18	0.2	263	3.2	311	3.6	"1,920"	4	4	8
More than one out-of-school suspension males	Male	"4,545"	84.6	73	1.4	"4,472"	83.2	445	8.4	16	0.3	"1,925"	36.4	494	9.3	"1,471"	27.8	19	0.4	102	1.9	195	3.6	"1,920"	4	4	8
More than one out-of-school suspension females	Female	828	15.4	14	0.3	814	15.1	110	2.1	6	0.1	327	6.2	116	2.2	227	4.3	6	0.1	22	0.4	36	0.7	"1,920"	4	4	8
More than one out-of-school suspension total	Total	"5,373"	100	87	1.6	"5,286"	98.4	555	10.5	22	0.4	"2,252"	42.6	610	11.5	"1,698"	32.1	25	0.5	124	2.3	231	4.3	"1,920"	4	4	8
One or more out-of-school suspensions males	Male	"11,392"	81.2	321	2.3	"11,071"	78.9	936	6.9	62	0.5	"4,550"	33.4	"1,191"	8.7	"3,986"	29.3	34	0.2	312	2.3	464	3.3	"1,920"	4	4	8
One or more out-of-school suspensions females	Female	"2,641"	18.8	98	0.7	"2,543"	18.1	272	2	14	0.1	983	7.2	335	2.5	860	6.3	9	0.1	70	0.5	78	0.6	"1,920"	4	4	8
One or more out-of-school suspensions total	Total	"14,033"	100	419	3	"13,614"	97	"1,208"	8.9	76	0.6	"5,533"	40.6	"1,526"	11.2	"4,846"	35.6	43	0.3	382	2.8	542	3.9	"1,920"	4	4	8
Expulsions with educational services males	Male	57	90.5	4	6.3	53	84.1	11	18.6	0	0	17	28.8	4	6.8	19	32.2	0	0	DS	3.4	0	0	"1,920"	4	4	8
Expulsions with educational services females	Female	6	9.5	0	0	6	9.5	DS	3.4	0	0	DS	3.4	0	0	DS	3.4	0	0	0	0	0	0	"1,920"	4	4	8
Expulsions with educational services total	Total	63	100	4	6.3	59	93.7	13	22	0	0	19	32.2	4	6.8	21	35.6	0	0	DS	3.4	0	0	"1,920"	4	4	8
