,"Number and percentage of public school students with and without disabilities subjected to restraint or seclusion, by race/ethnicity, whether with disabilities served under IDEA or Section 504, and English proficiency, by gender and whether restrained or secluded, for state: School Year 2011-12",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Restraint or Seclusion,Gender,Total Students,,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,
,,,,Number,Percent,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,Number,Percent,,
students subjected to,Wyoming,,Male,4 ,100.0 ,1-3 ,50.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,50.0 ,0 ,0.0 ,0 ,0.0 ,4 ,100.0 ,0 ,0.0 ,0 ,0.0 ,349 ,100.0 
students subjected to,Wyoming,Mechanical restraint,Female,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,349 ,100.0 
students subjected to,Wyoming,,Total,4 ,100.0 ,1-3 ,50.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,50.0 ,0 ,0.0 ,0 ,0.0 ,4 ,100.0 ,0 ,0.0 ,0 ,0.0 ,349 ,100.0 
students subjected to,Wyoming,,Male,123 ,80.9 ,10 ,6.6 ,0 ,0.0 ,13 ,8.6 ,1-3 ,1.3 ,94 ,61.8 ,0 ,0.0 ,4 ,2.6 ,114 ,75.0 ,0 ,0.0 ,1-3 ,1.3 ,349 ,100.0 
students subjected to,Wyoming,Physical restraint,Female,29 ,19.1 ,1-3 ,1.3 ,0 ,0.0 ,1-3 ,1.3 ,0 ,0.0 ,23 ,15.1 ,0 ,0.0 ,1-3 ,1.3 ,27 ,17.8 ,0 ,0.0 ,0 ,0.0 ,349 ,100.0 
students subjected to,Wyoming,,Total,152 ,100.0 ,12 ,7.9 ,0 ,0.0 ,15 ,9.9 ,1-3 ,1.3 ,117 ,77.0 ,0 ,0.0 ,6 ,3.9 ,141 ,92.8 ,0 ,0.0 ,1-3 ,1.3 ,349 ,100.0 
students subjected to,Wyoming,,Male,145 ,77.5 ,11 ,5.9 ,1-3 ,1.1 ,8 ,4.3 ,7 ,3.7 ,115 ,61.5 ,0 ,0.0 ,1-3 ,1.1 ,119 ,63.6 ,1-3 ,1.1 ,0 ,0.0 ,349 ,100.0 
students subjected to,Wyoming,Seclusion,Female,42 ,22.5 ,1-3 ,1.1 ,1-3 ,1.1 ,4 ,2.1 ,0 ,0.0 ,32 ,17.1 ,0 ,0.0 ,1-3 ,1.1 ,36 ,19.3 ,0 ,0.0 ,0 ,0.0 ,349 ,100.0 
students subjected to,Wyoming,,Total,187 ,100.0 ,13 ,7.0 ,4 ,2.1 ,12 ,6.4 ,7 ,3.7 ,147 ,78.6 ,0 ,0.0 ,4 ,2.1 ,155 ,82.9 ,1-3 ,1.1 ,0 ,0.0 ,349 ,100.0 
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NOTE: Table reads:  Of all 4 public students subjected to mechanical restraint, 1-3 (50.0%) were American Indian or Alaska Native, 4 (100.0%) were students with disabilities served under the Individuals with Disabilities Education Act (IDEA), and 0 (0.0%) were students with disabilities served solely under Section 504 of the Rehabilitation Act of 1973.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"            The ‘1-3’ reference indicates that the data have been suppressed based on the schools’ reported n-size, and that the midpoint was used to calculate the total.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"SOURCE: U.S. Department of Education, Office for Civil Rights, Civil Rights Data Collection, 2011-12, available at http://ocrdata.ed.gov. Data notes are available at http://ocrdata.ed.gov/downloads/DataNotes.docx",,,,,,,,,,,,,,,,,,,,,,,,,,
