Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	31	73.8	DS	4.8	0	0	25	59.5	DS	4.8	DS	4.8	0	0	0	0	0	0	853	35	4	8
Corporal punishment on females	11	26.2	DS	4.8	0	0	5	11.9	DS	4.8	DS	4.8	0	0	0	0	0	0	853	35	4	8
Corporal punishment total	42	100	4	9.5	0	0	30	71.4	4	9.5	4	9.5	0	0	0	0	0	0	853	35	4	8
One or more in-school suspensions on males	"9,807"	62.7	"1,254"	8	37	0.2	"6,162"	39.4	273	1.7	"1,957"	12.5	4	0	120	0.8	"1,282"	8.2	853	35	4	8
One or more in-school suspensions on females	"5,831"	37.3	829	5.3	20	0.1	"3,731"	23.9	172	1.1	"1,005"	6.4	DS	0	72	0.5	659	4.2	853	35	4	8
One or more in-school suspensions total	"15,638"	100	"2,083"	13.3	57	0.4	"9,893"	63.3	445	2.8	"2,962"	18.9	6	0	192	1.2	"1,941"	12.4	853	35	4	8
Only one out-of-school suspension on males	"6,887"	62.9	873	8	32	0.3	"4,318"	39.5	224	2	"1,380"	12.6	4	0	56	0.5	912	8.3	853	35	4	8
Only one out-of-school suspension on females	"4,056"	37.1	568	5.2	12	0.1	"2,651"	24.2	100	0.9	685	6.3	0	0	40	0.4	489	4.5	853	35	4	8
Only one out-of-school suspension total	"10,943"	100	"1,441"	13.2	44	0.4	"6,969"	63.7	324	3	"2,065"	18.9	4	0	96	0.9	"1,401"	12.8	853	35	4	8
More than one out-of-school suspension on males	"5,280"	66.1	470	5.9	26	0.3	"3,701"	46.3	146	1.8	855	10.7	DS	0	80	1	700	8.8	853	35	4	8
More than one out-of-school suspension on females	"2,708"	33.9	243	3	11	0.1	"1,981"	24.8	81	1	340	4.3	DS	0	50	0.6	303	3.8	853	35	4	8
More than one out-of-school suspension total	"7,988"	100	713	8.9	37	0.5	"5,682"	71.1	227	2.8	"1,195"	15	4	0.1	130	1.6	"1,003"	12.6	853	35	4	8
One or more out-of-school suspensions on males	"12,190"	64.3	"1,350"	7.1	60	0.3	"8,028"	42.4	369	1.9	"2,241"	11.8	5	0	137	0.7	"1,608"	8.5	853	35	4	8
One or more out-of-school suspensions on females	"6,762"	35.7	812	4.3	22	0.1	"4,636"	24.5	181	1	"1,020"	5.4	DS	0	89	0.5	791	4.2	853	35	4	8
One or more out-of-school suspensions total	"18,952"	100	"2,162"	11.4	82	0.4	"12,664"	66.8	550	2.9	"3,261"	17.2	7	0	226	1.2	"2,399"	12.7	853	35	4	8
Expulsions with educational services on males	56	76.7	6	8.2	0	0	38	52.1	DS	2.7	8	11	0	0	DS	2.7	DS	2.7	853	35	4	8
Expulsions with educational services on females	17	23.3	0	0	0	0	15	20.5	0	0	DS	2.7	0	0	0	0	DS	2.7	853	35	4	8
Expulsions with educational services total	73	100	6	8.2	0	0	53	72.6	DS	2.7	10	13.7	0	0	DS	2.7	4	5.5	853	35	4	8
Expulsions without educational services on males	354	74.1	134	28	DS	0.4	161	33.7	10	2.1	38	7.9	0	0	9	1.9	77	16.1	853	35	4	8
Expulsions without educational services on females	124	25.9	55	11.5	DS	0.4	60	12.6	0	0	7	1.5	0	0	0	0	28	5.9	853	35	4	8
Expulsions without educational services total	478	100	189	39.5	4	0.8	221	46.2	10	2.1	45	9.4	0	0	9	1.9	105	22	853	35	4	8
Expulsions with or without educational services on males	413	74.3	141	25.4	DS	0.4	199	35.8	13	2.3	46	8.3	0	0	12	2.2	81	14.6	853	35	4	8
Expulsions with or without educational services on females	143	25.7	56	10.1	DS	0.4	77	13.8	0	0	8	1.4	0	0	0	0	32	5.8	853	35	4	8
Expulsions with or without educational services total	556	100	197	35.4	4	0.7	276	49.6	13	2.3	54	9.7	0	0	12	2.2	113	20.3	853	35	4	8
Expulsions under zero-tolerance policies on males	48	81.4	4	6.8	0	0	31	52.5	DS	3.4	11	18.6	0	0	0	0	DS	3.4	853	35	4	8
Expulsions under zero-tolerance policies on females	11	18.6	DS	3.4	0	0	9	15.3	0	0	0	0	0	0	0	0	0	0	853	35	4	8
Expulsions under zero-tolerance policies total	59	100	6	10.2	0	0	40	67.8	DS	3.4	11	18.6	0	0	0	0	DS	3.4	853	35	4	8
Referral to law enforcement on males	"1,226"	67.5	354	19.5	4	0.2	648	35.7	19	1	199	11	0	0	DS	0.1	182	10	853	35	4	8
Referral to law enforcement on females	591	32.5	201	11.1	DS	0.1	297	16.3	11	0.6	78	4.3	0	0	DS	0.1	85	4.7	853	35	4	8
Referral to law enforcement total	"1,817"	100	555	30.5	6	0.3	945	52	30	1.7	277	15.2	0	0	4	0.2	267	14.7	853	35	4	8
School-related arrests on males	234	65.2	48	13.4	0	0	132	36.8	6	1.7	48	13.4	0	0	0	0	23	6.4	853	35	4	8
School-related arrests on females	125	34.8	21	5.8	0	0	79	22	DS	0.6	23	6.4	0	0	0	0	18	5	853	35	4	8
School-related arrests total	359	100	69	19.2	0	0	211	58.8	8	2.2	71	19.8	0	0	0	0	41	11.4	853	35	4	8
