"Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students  With Disabilities Served Under  IDEA	Percent of Students  With Disabilities Served Under  IDEA	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID",,,,,
"Corporal punishment males	""2","907""	85.6	53	1.6	""2","854""	84	23	0.7	DS	0.1	74	2.2	952	28.6	""1","782""	53.4	0	0	21	0.6	28	0.8	""1","432""	1	3	6",
"Corporal punishment females	490	14.4	10	0.3	480	14.1	5	0.1	0	0	9	0.3	178	5.3	282	8.5	DS	0.1	4	0.1	7	0.2	""1","432""	1	3	6",,,,
"Corporal punishment total	""3","397""	100	63	1.9	""3","334""	98.1	28	0.8	DS	0.1	83	2.5	""1","130""	33.9	""2","064""	61.9	DS	0.1	25	0.7	35	1	""1","432""	1	3	6"
"One or more in-school suspensions males	""6","828""	74.5	98	1.1	""6","730""	73.5	41	0.5	19	0.2	193	2.1	""3","559""	39.4	""2","873""	31.8	DS	0	43	0.5	81	0.9	""1","432""	1	3	6"
"One or more in-school suspensions females	""2","331""	25.5	32	0.3	""2","299""	25.1	17	0.2	5	0.1	72	0.8	""1","321""	14.6	866	9.6	0	0	18	0.2	34	0.4	""1","432""	1	3	6",
"One or more in-school suspensions total	""9","159""	100	130	1.4	""9","029""	98.6	58	0.6	24	0.3	265	2.9	""4","880""	54	""3","739""	41.4	DS	0	61	0.7	115	1.3	""1","432""	1	3	6"
"Only one out-of-school suspension males	""4","518""	74.4	53	0.9	""4","465""	73.5	26	0.4	11	0.2	89	1.5	""2","458""	40.9	""1","855""	30.9	DS	0	24	0.4	39	0.6	""1","432""	1	3	6"
"Only one out-of-school suspension females	""1","553""	25.6	10	0.2	""1","543""	25.4	7	0.1	DS	0	23	0.4	964	16	536	8.9	DS	0	9	0.1	DS	0	""1","432""	1	3	6",,
"Only one out-of-school suspension total	""6","071""	100	63	1	""6","008""	99	33	0.5	13	0.2	112	1.9	""3","422""	57	""2","391""	39.8	4	0.1	33	0.5	41	0.7	""1","432""	1	3	6"
"More than one out-of-school suspension males	""4","040""	77	55	1	""3","985""	75.9	16	0.3	7	0.1	47	0.9	""2","665""	51.5	""1","225""	23.7	0	0	25	0.5	18	0.3	""1","432""	1	3	6"
"More than one out-of-school suspension females	""1","209""	23	15	0.3	""1","194""	22.7	DS	0	DS	0	6	0.1	916	17.7	266	5.1	0	0	DS	0	4	0.1	""1","432""	1	3	6",,
"More than one out-of-school suspension total	""5","249""	100	70	1.3	""5","179""	98.7	18	0.3	9	0.2	53	1	""3","581""	69.1	""1","491""	28.8	0	0	27	0.5	22	0.4	""1","432""	1	3	6"
"One or more out-of-school suspensions males	""8","559""	75.6	109	1	""8","450""	74.7	42	0.4	18	0.2	136	1.2	""5","121""	45.8	""3","081""	27.5	DS	0	50	0.4	57	0.5	""1","432""	1	3	6"
"One or more out-of-school suspensions females	""2","759""	24.4	25	0.2	""2","734""	24.2	9	0.1	DS	0	29	0.3	""1","881""	16.8	800	7.2	DS	0	11	0.1	7	0.1	""1","432""	1	3	6",
"One or more out-of-school suspensions total	""11","318""	100	134	1.2	""11","184""	98.8	51	0.5	20	0.2	165	1.5	""7","002""	62.6	""3","881""	34.7	4	0	61	0.5	64	0.6	""1","432""	1	3	6"
"Expulsions with educational services males	156	69.6	DS	0.9	154	68.8	DS	0.9	0	0	0	0	86	39.1	64	29.1	0	0	DS	0.9	0	0	""1","432""	1	3	6",,,,
"Expulsions with educational services females	68	30.4	DS	0.9	66	29.5	0	0	0	0	0	0	32	14.5	34	15.5	0	0	0	0	0	0	""1","432""	1	3	6",,,,
"Expulsions with educational services total	224	100	4	1.8	220	98.2	DS	0.9	0	0	0	0	118	53.6	98	44.5	0	0	DS	0.9	0	0	""1","432""	1	3	6",,,,
"Expulsions without educational services males	11	73.3	0	0	11	73.3	0	0	0	0	0	0	4	26.7	7	46.7	0	0	0	0	0	0	""1","432""	1	3	6",,,,
"Expulsions without educational services females	4	26.7	0	0	4	26.7	0	0	0	0	0	0	DS	13.3	DS	13.3	0	0	0	0	0	0	""1","432""	1	3	6",,,,
