County,2000 Age 15-19 Population,2000 Deaths,2000 Rate,2009 Age 15-19 Population,2009 Deaths,2009 Rate,2000-2009 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,602,1,166,464,0,0,-100.00%,19_001,19,2,4,,
Adams,283,0,0,280,0,0,0.00%,19_002,19,2,4,,
Allamakee,"1,043",2,192,982,0,0,-100.00%,19_003,19,2,4,,
Appanoose,945,0,0,804,0,0,0.00%,19_004,19,2,4,,
Audubon,459,0,0,436,0,0,0.00%,19_005,19,2,4,,
Benton,"1,801",0,0,"1,983",C,N/A,N/A,19_006,19,2,4,,
Black Hawk,"11,096",0,0,"10,447",4,38,N/A,19_007,19,2,4,,
Boone,"1,936",1,52,"1,762",0,0,-100.00%,19_008,19,2,4,,
Bremer,"2,175",0,0,"2,086",C,N/A,N/A,19_009,19,2,4,,
Buchanan,"1,736",1,58,"1,501",C,N/A,N/A,19_010,19,2,4,,
Buena Vista,"1,852",1,54,"1,731",C,N/A,N/A,19_011,19,2,4,,
Butler,"1,098",3,273,871,0,0,-100.00%,19_012,19,2,4,,
Calhoun,801,0,0,603,0,0,0.00%,19_013,19,2,4,,
Carroll,"1,723",1,58,"1,474",C,N/A,N/A,19_014,19,2,4,,
Cass,"1,072",2,187,931,0,0,-100.00%,19_015,19,2,4,,
Cedar,"1,366",0,0,"1,243",C,N/A,N/A,19_016,19,2,4,,
Cerro Gordo,"3,526",1,28,"2,935",C,N/A,N/A,19_017,19,2,4,,
Cherokee,"1,000",0,0,775,0,0,0.00%,19_018,19,2,4,,
Chickasaw,"1,011",0,0,887,0,0,0.00%,19_019,19,2,4,,
Clarke,688,0,0,593,0,0,0.00%,19_020,19,2,4,,
Clay,"1,224",2,163,"1,080",0,0,-100.00%,19_021,19,2,4,,
Clayton,"1,399",1,71,"1,225",0,0,-100.00%,19_022,19,2,4,,
Clinton,"3,714",1,27,"3,330",C,N/A,N/A,19_023,19,2,4,,
Crawford,"1,421",0,0,"1,353",0,0,0.00%,19_024,19,2,4,,
Dallas,"2,816",3,107,"3,646",C,N/A,N/A,19_025,19,2,4,,
Davis,643,0,0,558,0,0,0.00%,19_026,19,2,4,,
Decatur,886,1,113,775,0,0,-100.00%,19_027,19,2,4,,
Delaware,"1,536",6,391,"1,317",C,N/A,N/A,19_028,19,2,4,,
Des Moines,"3,124",0,0,"2,591",0,0,0.00%,19_029,19,2,4,,
Dickinson,"1,020",0,0,970,0,0,0.00%,19_030,19,2,4,,
