Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	16	61.5	0	0	0	0	DS	7.7	0	0	12	46.2	DS	7.7	0	0	0	0	981	49	4	8
Corporal punishment on females	10	38.5	DS	7.7	0	0	0	0	DS	7.7	6	23.1	0	0	0	0	0	0	981	49	4	8
Corporal punishment total	26	100	DS	7.7	0	0	DS	7.7	DS	7.7	18	69.2	DS	7.7	0	0	0	0	981	49	4	8
One or more in-school suspensions on males	"4,612"	72.4	98	1.5	41	0.6	"1,147"	18	140	2.2	"3,045"	47.8	76	1.2	65	1	266	4.2	981	49	4	8
One or more in-school suspensions on females	"1,759"	27.6	42	0.7	15	0.2	446	7	39	0.6	"1,137"	17.8	42	0.7	38	0.6	100	1.6	981	49	4	8
One or more in-school suspensions total	"6,371"	100	140	2.2	56	0.9	"1,593"	25	179	2.8	"4,182"	65.6	118	1.9	103	1.6	366	5.7	981	49	4	8
Only one out-of-school suspension on males	"5,121"	73.1	138	2	67	1	"1,134"	16.2	162	2.3	"3,395"	48.5	138	2	87	1.2	307	4.4	981	49	4	8
Only one out-of-school suspension on females	"1,881"	26.9	79	1.1	15	0.2	524	7.5	60	0.9	"1,110"	15.9	57	0.8	36	0.5	146	2.1	981	49	4	8
Only one out-of-school suspension total	"7,002"	100	217	3.1	82	1.2	"1,658"	23.7	222	3.2	"4,505"	64.3	195	2.8	123	1.8	453	6.5	981	49	4	8
More than one out-of-school suspension on males	"3,267"	73.5	96	2.2	42	0.9	944	21.2	140	3.1	"1,917"	43.1	80	1.8	48	1.1	265	6	981	49	4	8
More than one out-of-school suspension on females	"1,180"	26.5	38	0.9	5	0.1	421	9.5	48	1.1	628	14.1	24	0.5	16	0.4	92	2.1	981	49	4	8
More than one out-of-school suspension total	"4,447"	100	134	3	47	1.1	"1,365"	30.7	188	4.2	"2,545"	57.2	104	2.3	64	1.4	357	8	981	49	4	8
One or more out-of-school suspensions on males	"8,395"	73.3	235	2.1	110	1	"2,080"	18.2	299	2.6	"5,317"	46.4	218	1.9	136	1.2	575	5	981	49	4	8
One or more out-of-school suspensions on females	"3,064"	26.7	114	1	20	0.2	947	8.3	110	1	"1,742"	15.2	79	0.7	52	0.5	243	2.1	981	49	4	8
One or more out-of-school suspensions total	"11,459"	100	349	3	130	1.1	"3,027"	26.4	409	3.6	"7,059"	61.6	297	2.6	188	1.6	818	7.1	981	49	4	8
Expulsions with educational services on males	71	76.3	7	7.5	0	0	12	12.9	DS	2.2	48	51.6	DS	2.2	0	0	DS	2.2	981	49	4	8
Expulsions with educational services on females	22	23.7	DS	2.2	0	0	DS	2.2	DS	2.2	14	15.1	0	0	DS	2.2	0	0	981	49	4	8
Expulsions with educational services total	93	100	9	9.7	0	0	14	15.1	4	4.3	62	66.7	DS	2.2	DS	2.2	DS	2.2	981	49	4	8
Expulsions without educational services on males	38	74.5	0	0	0	0	5	9.8	DS	3.9	29	56.9	DS	3.9	0	0	DS	3.9	981	49	4	8
Expulsions without educational services on females	13	25.5	0	0	0	0	DS	3.9	0	0	11	21.6	0	0	0	0	DS	3.9	981	49	4	8
Expulsions without educational services total	51	100	0	0	0	0	7	13.7	DS	3.9	40	78.4	DS	3.9	0	0	4	7.8	981	49	4	8
Expulsions with or without educational services on males	108	75	7	4.9	0	0	18	12.5	DS	1.4	79	54.9	DS	1.4	0	0	DS	1.4	981	49	4	8
Expulsions with or without educational services on females	36	25	DS	1.4	0	0	5	3.5	DS	1.4	25	17.4	0	0	DS	1.4	DS	1.4	981	49	4	8
Expulsions with or without educational services total	144	100	9	6.3	0	0	23	16	4	2.8	104	72.2	DS	1.4	DS	1.4	4	2.8	981	49	4	8
Expulsions under zero-tolerance policies on males	63	75.9	8	9.6	0	0	8	9.6	DS	2.4	41	49.4	DS	2.4	DS	2.4	DS	2.4	981	49	4	8
Expulsions under zero-tolerance policies on females	20	24.1	5	6	0	0	DS	2.4	DS	2.4	9	10.8	0	0	DS	2.4	DS	2.4	981	49	4	8
Expulsions under zero-tolerance policies total	83	100	13	15.7	0	0	10	12	4	4.8	50	60.2	DS	2.4	4	4.8	4	4.8	981	49	4	8
Referral to law enforcement on males	"1,668"	73.7	139	6.1	19	0.8	401	17.7	50	2.2	994	43.9	40	1.8	25	1.1	143	6.3	981	49	4	8
Referral to law enforcement on females	596	26.3	59	2.6	5	0.2	151	6.7	19	0.8	337	14.9	14	0.6	11	0.5	47	2.1	981	49	4	8
Referral to law enforcement total	"2,264"	100	198	8.7	24	1.1	552	24.4	69	3	"1,331"	58.8	54	2.4	36	1.6	190	8.4	981	49	4	8
School-related arrests on males	288	81.4	14	4	DS	0.6	39	11	8	2.3	221	62.4	4	1.1	0	0	7	2	981	49	4	8
School-related arrests on females	66	18.6	5	1.4	0	0	15	4.2	4	1.1	38	10.7	DS	0.6	DS	0.6	DS	0.6	981	49	4	8
School-related arrests total	354	100	19	5.4	DS	0.6	54	15.3	12	3.4	259	73.2	6	1.7	DS	0.6	9	2.5	981	49	4	8
