County,2000 Live Births,2000 Infant Deaths,2000 Rate,2009 Live Births,2009 Infant Deaths,2009 Rate,2000-2009 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,68,0,0,76,0,0,0.00%,19_001,19,2,4,,
Adams,35,0,0,55,0,0,0.00%,19_002,19,2,4,,
Allamakee,158,0,0,180,C,N/A,N/A,19_003,19,2,4,,
Appanoose,142,0,0,146,0,0,0.00%,19_004,19,2,4,,
Audubon,47,1,21.3,64,C,N/A,N/A,19_005,19,2,4,,
Benton,325,2,6.2,290,0,0,-100.00%,19_006,19,2,4,,
Black Hawk,"1,551",11,7.1,"1,746",7,4,-43.50%,19_007,19,2,4,,
Boone,317,4,12.6,306,C,N/A,N/A,19_008,19,2,4,,
Bremer,250,2,8,250,C,N/A,N/A,19_009,19,2,4,,
Buchanan,301,0,0,306,0,0,0.00%,19_010,19,2,4,,
Buena Vista,233,0,0,286,C,N/A,N/A,19_011,19,2,4,,
Butler,170,1,5.9,167,0,0,-100.00%,19_012,19,2,4,,
Calhoun,107,0,0,128,C,N/A,N/A,19_013,19,2,4,,
Carroll,262,0,0,274,C,N/A,N/A,19_014,19,2,4,,
Cass,158,1,6.3,162,0,0,-100.00%,19_015,19,2,4,,
Cedar,206,0,0,224,C,N/A,N/A,19_016,19,2,4,,
Cerro Gordo,530,4,7.5,477,C,N/A,N/A,19_017,19,2,4,,
Cherokee,146,0,0,126,C,N/A,N/A,19_018,19,2,4,,
Chickasaw,169,0,0,137,0,0,0.00%,19_019,19,2,4,,
Clarke,97,1,10.3,137,C,N/A,N/A,19_020,19,2,4,,
Clay,204,1,4.9,192,C,N/A,N/A,19_021,19,2,4,,
Clayton,194,1,5.2,194,C,N/A,N/A,19_022,19,2,4,,
Clinton,591,4,6.8,589,4,6.8,0.30%,19_023,19,2,4,,
Crawford,189,1,5.3,235,C,N/A,N/A,19_024,19,2,4,,
Dallas,566,4,7.1,"1,014",C,N/A,N/A,19_025,19,2,4,,
Davis,129,1,7.8,142,C,N/A,N/A,19_026,19,2,4,,
Decatur,101,1,9.9,103,0,0,-100.00%,19_027,19,2,4,,
Delaware,227,1,4.4,207,C,N/A,N/A,19_028,19,2,4,,
Des Moines,555,4,7.2,518,C,N/A,N/A,19_029,19,2,4,,
Dickinson,159,0,0,161,0,0,0.00%,19_030,19,2,4,,
Dubuque,"1,221",9,7.4,"1,217",C,N/A,N/A,19_031,19,2,4,,
Emmet,126,2,15.9,126,C,N/A,N/A,19_032,19,2,4,,
Fayette,233,0,0,263,0,0,0.00%,19_033,19,2,4,,
Floyd,199,0,0,170,C,N/A,N/A,19_034,19,2,4,,
Franklin,113,1,8.8,134,0,0,-100.00%,19_035,19,2,4,,
Fremont,82,1,12.2,95,C,N/A,N/A,19_036,19,2,4,,
Greene,92,1,10.9,95,0,0,-100.00%,19_037,19,2,4,,
Grundy,133,2,15,156,0,0,-100.00%,19_038,19,2,4,,
Guthrie,134,0,0,124,C,N/A,N/A,19_039,19,2,4,,
Hamilton,192,2,10.4,185,4,21.6,107.60%,19_040,19,2,4,,
Hancock,131,1,7.6,105,C,N/A,N/A,19_041,19,2,4,,
Hardin,208,3,14.4,173,0,0,-100.00%,19_042,19,2,4,,
Harrison,193,0,0,173,0,0,0.00%,19_043,19,2,4,,
Henry,264,2,7.6,217,C,N/A,N/A,19_044,19,2,4,,
Howard,110,1,9.1,134,0,0,-100.00%,19_045,19,2,4,,
Humboldt,99,0,0,111,0,0,0.00%,19_046,19,2,4,,
Ida,70,1,14.3,106,C,N/A,N/A,19_047,19,2,4,,
Iowa,183,1,5.5,204,0,0,-100.00%,19_048,19,2,4,,
Jackson,239,3,12.6,219,0,0,-100.00%,19_049,19,2,4,,
Jasper,458,2,4.4,389,4,10.3,135.50%,19_050,19,2,4,,
Jefferson,145,0,0,150,0,0,0.00%,19_051,19,2,4,,
Johnson,"1,382",7,5.1,"1,711",9,5.3,3.80%,19_052,19,2,4,,
Jones,227,0,0,200,0,0,0.00%,19_053,19,2,4,,
Keokuk,154,0,0,118,0,0,0.00%,19_054,19,2,4,,
Kossuth,166,1,6,156,0,0,-100.00%,19_055,19,2,4,,
Lee,410,4,9.8,439,C,N/A,N/A,19_056,19,2,4,,
Linn,"2,715",12,4.4,"2,900",11,3.8,-14.20%,19_057,19,2,4,,
Louisa,164,1,6.1,114,C,N/A,N/A,19_058,19,2,4,,
Lucas,119,3,25.2,95,C,N/A,N/A,19_059,19,2,4,,
Lyon,159,1,6.3,156,0,0,-100.00%,19_119,19,2,4,,
Madison,196,2,10.2,200,0,0,-100.00%,19_121,19,2,4,,
Mahaska,283,9,31.8,301,0,0,-100.00%,19_123,19,2,4,,
Marion,383,1,2.6,420,C,N/A,N/A,19_125,19,2,4,,
Marshall,556,3,5.4,589,C,N/A,N/A,19_127,19,2,4,,
Mills,155,0,0,169,C,N/A,N/A,19_129,19,2,4,,
Mitchell,131,1,7.6,112,C,N/A,N/A,19_131,19,2,4,,
Monona,98,0,0,82,0,0,0.00%,19_133,19,2,4,,
Monroe,102,1,9.8,78,0,0,-100.00%,19_135,19,2,4,,
Montgomery,139,1,7.2,117,C,N/A,N/A,19_137,19,2,4,,
Muscatine,638,1,1.6,596,0,0,-100.00%,19_139,19,2,4,,
O'Brien,187,1,5.3,169,C,N/A,N/A,19_141,19,2,4,,
Osceola,73,0,0,66,0,0,0.00%,19_143,19,2,4,,
Page,169,0,0,200,0,0,0.00%,19_145,19,2,4,,
Palo Alto,110,1,9.1,92,0,0,-100.00%,19_147,19,2,4,,
Plymouth,309,7,22.7,310,0,0,-100.00%,19_149,19,2,4,,
Pocahontas,73,0,0,69,C,N/A,N/A,19_151,19,2,4,,
Polk,"6,216",46,7.4,"6,690",40,6,-19.20%,19_153,19,2,4,,
Pottawattamie,"1,184",8,6.8,"1,303",7,5.4,-20.50%,19_155,19,2,4,,
Poweshiek,212,0,0,191,0,0,0.00%,19_157,19,2,4,,
Ringgold,69,0,0,64,0,0,0.00%,19_159,19,2,4,,
Sac,135,0,0,106,0,0,0.00%,19_161,19,2,4,,
Scott,"2,348",20,8.5,"2,339",9,3.8,-54.80%,19_163,19,2,4,,
Shelby,150,2,13.3,120,0,0,-100.00%,19_165,19,2,4,,
Sioux,457,1,2.2,522,4,7.7,250.20%,19_167,19,2,4,,
Story,940,6,6.4,990,6,6.1,-5.10%,19_169,19,2,4,,
Tama,251,1,4,205,0,0,-100.00%,19_171,19,2,4,,
Taylor,87,0,0,48,0,0,0.00%,19_173,19,2,4,,
Union,127,2,15.7,138,C,N/A,N/A,19_175,19,2,4,,
Van Buren,97,0,0,95,0,0,0.00%,19_177,19,2,4,,
Wapello,424,2,4.7,504,C,N/A,N/A,19_179,19,2,4,,
Warren,513,3,5.8,537,C,N/A,N/A,19_181,19,2,4,,
Washington,290,0,0,243,C,N/A,N/A,19_183,19,2,4,,
Wayne,79,1,12.7,81,C,N/A,N/A,19_185,19,2,4,,
Webster,492,2,4.1,449,C,N/A,N/A,19_187,19,2,4,,
Winnebago,134,0,0,102,0,0,0.00%,19_189,19,2,4,,
Winneshiek,191,1,5.2,195,C,N/A,N/A,19_191,19,2,4,,
Woodbury,"1,692",9,5.3,"1,600",8,5,-6.00%,19_193,19,2,4,,
Worth,84,2,23.8,83,0,0,-100.00%,19_195,19,2,4,,
Wright,168,1,6,160,C,N/A,N/A,19_197,19,2,4,,
State,"38,250",241,6.3,"39,662",180,4.5,-28.00%,,19,2,4,,
Rural,"5,650",31,5.5,"5,500",24,4.4,-20.50%,,,,,,IA_Rural_Counties
Small Urban,"13,351",82,6.1,"13,666",57,4.2,-32.10%,,,,,,IA_Urban_Counties
Metropolitan,"19,249",128,6.6,"20,496",99,4.8,-27.40%,,,,,,IA_Metropolitan_Counties
United States,"4,055,507","27,983",6.9,"4,136,000","26,200",6.3,-8.20%,,,,,US_National,
