,,,,,,,,,,,,,,,,,,,,,,,,
,"Number and percentage of public school students enrolled in the International Baccalaureate Diploma Programme, by race/ethnicity, disability status, and English proficiency, by gender, for state: School Year 2011-12",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Gender,Total Students,,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,
,,,Number,Percent,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,,
Mat,West Virginia,Male,41 ,41.8 ,0 ,0.0 ,1-3 ,2.0 ,0 ,0.0 ,6 ,6.1 ,33 ,33.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,164 ,100.0 
Mat,West Virginia,Female,57 ,58.2 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,4 ,4.1 ,53 ,54.1 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,164 ,100.0 
Mat,West Virginia,Total,98 ,100.0 ,0 ,0.0 ,1-3 ,2.0 ,0 ,0.0 ,10 ,10.2 ,86 ,87.8 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,164 ,100.0 
,"NOTE: Table reads:  Of all 98 public school students enrolled in the International Baccalaureate Diploma Programme, 0 (0.0%) were American Indian or Alaska Native, and 0 (0.0%) were students with disabilities served under the Individuals with Disabilities Education Act (IDEA).",,,,,,,,,,,,,,,,,,,,,,,
,"            The ‘1-3’ reference indicates that the data have been suppressed based on the schools’ reported n-size, and that the midpoint was used to calculate the total.",,,,,,,,,,,,,,,,,,,,,,,
,"SOURCE: U.S. Department of Education, Office for Civil Rights, Civil Rights Data Collection, 2011-12, available at http://ocrdata.ed.gov. Data notes are available at http://ocrdata.ed.gov/downloads/DataNotes.docx",,,,,,,,,,,,,,,,,,,,,,,
