Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	82	88.2	0	0	0	0	DS	2.2	DS	2.2	76	81.7	0	0	DS	2.2	0	0	"1,834"	25	1	1
Corporal punishment on females	11	11.8	0	0	0	0	DS	2.2	0	0	7	7.5	0	0	DS	2.2	0	0	"1,834"	25	1	1
Corporal punishment total	93	100	0	0	0	0	4	4.3	DS	2.2	83	89.2	0	0	4	4.3	0	0	"1,834"	25	1	1
One or more in-school suspensions on males	"14,414"	64.7	43	0.2	291	1.3	"3,354"	15.1	"2,426"	10.9	"7,696"	34.6	16	0.1	588	2.6	"1,085"	4.9	"1,834"	25	1	1
One or more in-school suspensions on females	"7,849"	35.3	22	0.1	114	0.5	"2,257"	10.1	"1,426"	6.4	"3,595"	16.1	9	0	426	1.9	581	2.6	"1,834"	25	1	1
One or more in-school suspensions total	"22,263"	100	65	0.3	405	1.8	"5,611"	25.2	"3,852"	17.3	"11,291"	50.7	25	0.1	"1,014"	4.6	"1,666"	7.5	"1,834"	25	1	1
Only one out-of-school suspension on males	"12,143"	65.2	47	0.3	309	1.7	"3,010"	16.2	"2,298"	12.3	"5,923"	31.8	15	0.1	541	2.9	"1,211"	6.5	"1,834"	25	1	1
Only one out-of-school suspension on females	"6,489"	34.8	24	0.1	122	0.7	"1,996"	10.7	"1,378"	7.4	"2,645"	14.2	5	0	319	1.7	577	3.1	"1,834"	25	1	1
Only one out-of-school suspension total	"18,632"	100	71	0.4	431	2.3	"5,006"	26.9	"3,676"	19.7	"8,568"	46	20	0.1	860	4.6	"1,788"	9.6	"1,834"	25	1	1
More than one out-of-school suspension on males	"8,640"	68.8	37	0.3	167	1.3	"2,366"	18.8	"1,588"	12.6	"4,101"	32.7	10	0.1	371	3	735	5.9	"1,834"	25	1	1
More than one out-of-school suspension on females	"3,917"	31.2	13	0.1	46	0.4	"1,288"	10.3	778	6.2	"1,608"	12.8	DS	0	182	1.4	264	2.1	"1,834"	25	1	1
More than one out-of-school suspension total	"12,557"	100	50	0.4	213	1.7	"3,654"	29.1	"2,366"	18.8	"5,709"	45.5	12	0.1	553	4.4	999	8	"1,834"	25	1	1
One or more out-of-school suspensions on males	"20,761"	66.6	84	0.3	478	1.5	"5,375"	17.2	"3,875"	12.4	"10,013"	32.1	25	0.1	911	2.9	"1,950"	6.3	"1,834"	25	1	1
One or more out-of-school suspensions on females	"10,413"	33.4	36	0.1	167	0.5	"3,284"	10.5	"2,167"	7	"4,251"	13.6	6	0	502	1.6	840	2.7	"1,834"	25	1	1
One or more out-of-school suspensions total	"31,174"	100	120	0.4	645	2.1	"8,659"	27.8	"6,042"	19.4	"14,264"	45.8	31	0.1	"1,413"	4.5	"2,790"	8.9	"1,834"	25	1	1
Expulsions with educational services on males	120	77.9	0	0	6	3.9	30	19.5	43	27.9	39	25.3	0	0	DS	1.3	15	9.7	"1,834"	25	1	1
Expulsions with educational services on females	34	22.1	DS	1.3	0	0	5	3.2	17	11	10	6.5	0	0	0	0	0	0	"1,834"	25	1	1
Expulsions with educational services total	154	100	DS	1.3	6	3.9	35	22.7	60	39	49	31.8	0	0	DS	1.3	15	9.7	"1,834"	25	1	1
Expulsions without educational services on males	77	86.5	DS	2.2	6	6.7	12	13.5	13	14.6	42	47.2	0	0	DS	2.2	5	5.6	"1,834"	25	1	1
Expulsions without educational services on females	12	13.5	0	0	0	0	DS	2.2	DS	2.2	8	9	0	0	0	0	DS	2.2	"1,834"	25	1	1
Expulsions without educational services total	89	100	DS	2.2	6	6.7	14	15.7	15	16.9	50	56.2	0	0	DS	2.2	7	7.9	"1,834"	25	1	1
Expulsions with or without educational services on males	191	80.6	DS	0.8	12	5.1	41	17.3	55	23.2	79	33.3	0	0	DS	0.8	21	8.9	"1,834"	25	1	1
Expulsions with or without educational services on females	46	19.4	DS	0.8	0	0	8	3.4	18	7.6	18	7.6	0	0	0	0	DS	0.8	"1,834"	25	1	1
Expulsions with or without educational services total	237	100	4	1.7	12	5.1	49	20.7	73	30.8	97	40.9	0	0	DS	0.8	23	9.7	"1,834"	25	1	1
Expulsions under zero-tolerance policies on males	33	89.2	DS	5.4	DS	5.4	6	16.2	7	18.9	16	43.2	0	0	0	0	DS	5.4	"1,834"	25	1	1
Expulsions under zero-tolerance policies on females	4	10.8	0	0	0	0	0	0	DS	5.4	DS	5.4	0	0	0	0	0	0	"1,834"	25	1	1
Expulsions under zero-tolerance policies total	37	100	DS	5.4	DS	5.4	6	16.2	9	24.3	18	48.6	0	0	0	0	DS	5.4	"1,834"	25	1	1
Referral to law enforcement on males	824	70.9	DS	0.2	13	1.1	155	13.3	141	12.1	491	42.2	0	0	22	1.9	39	3.4	"1,834"	25	1	1
Referral to law enforcement on females	339	29.1	0	0	DS	0.2	60	5.2	50	4.3	216	18.6	0	0	11	0.9	5	0.4	"1,834"	25	1	1
Referral to law enforcement total	"1,163"	100	DS	0.2	15	1.3	215	18.5	191	16.4	707	60.8	0	0	33	2.8	44	3.8	"1,834"	25	1	1
School-related arrests on males	273	68.4	0	0	DS	0.5	68	17	99	24.8	100	25.1	0	0	4	1	14	3.5	"1,834"	25	1	1
School-related arrests on females	126	31.6	DS	0.5	DS	0.5	51	12.8	44	11	22	5.5	0	0	5	1.3	5	1.3	"1,834"	25	1	1
School-related arrests total	399	100	DS	0.5	4	1	119	29.8	143	35.8	122	30.6	0	0	9	2.3	19	4.8	"1,834"	25	1	1
