,,,,,,,,,,,,,,,,,,,,,,,,
,"Number and percentage of public school students enrolled in the International Baccalaureate Diploma Programme, by race/ethnicity, disability status, and English proficiency, by gender, for state: School Year 2011-12",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Gender,Total Students,,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,
,,,Number,Percent,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,,
Mat,Wyoming,Male,125 ,38.9 ,0 ,0.0 ,5 ,1.6 ,13 ,4.0 ,1-3 ,0.6 ,99 ,30.8 ,1-3 ,0.6 ,4 ,1.2 ,0 ,0.0 ,0 ,0.0 ,96 ,100.0 
Mat,Wyoming,Female,196 ,61.1 ,4 ,1.2 ,1-3 ,0.6 ,15 ,4.7 ,1-3 ,0.6 ,169 ,52.6 ,1-3 ,0.6 ,1-3 ,0.6 ,0 ,0.0 ,0 ,0.0 ,96 ,100.0 
Mat,Wyoming,Total,321 ,100.0 ,4 ,1.2 ,7 ,2.2 ,28 ,8.7 ,4 ,1.2 ,268 ,83.5 ,4 ,1.2 ,6 ,1.9 ,0 ,0.0 ,0 ,0.0 ,96 ,100.0 
,"NOTE: Table reads:  Of all 321 public school students enrolled in the International Baccalaureate Diploma Programme, 4 (1.2%) were American Indian or Alaska Native, and 0 (0.0%) were students with disabilities served under the Individuals with Disabilities Education Act (IDEA).",,,,,,,,,,,,,,,,,,,,,,,
,"            The ‘1-3’ reference indicates that the data have been suppressed based on the schools’ reported n-size, and that the midpoint was used to calculate the total.",,,,,,,,,,,,,,,,,,,,,,,
,"SOURCE: U.S. Department of Education, Office for Civil Rights, Civil Rights Data Collection, 2011-12, available at http://ocrdata.ed.gov. Data notes are available at http://ocrdata.ed.gov/downloads/DataNotes.docx",,,,,,,,,,,,,,,,,,,,,,,
