Types of crimes,2008,2009,2010,2011,2012,2013,2014,State_ID,Region_ID,Division_ID
Total Arrests,"30,009","26,855","25,003","22,605","19,834","19,026","17,380",49,4,8
Violent Crime Index,427,362,319,327,282,N/A,N/A,49,4,8
Murder/nonneg. mans.,6,4,2,1,3,1,2,49,4,8
Rape,64,61,55,56,54,N/A,N/A,49,4,8
Robbery,85,74,63,53,47,50,46,49,4,8
Aggravated assault,272,223,199,217,178,159,154,49,4,8
Property Crime Index,"7,099","6,771","6,182","5,418","4,999","4,198","3,894",49,4,8
Burglary,482,401,353,307,325,244,236,49,4,8
Larceny-theft,"6,359","6,151","5,678","4,979","4,497","3,816","3,501",49,4,8
Motor vehicle theft,190,152,114,103,139,101,108,49,4,8
Arson,68,67,37,29,38,37,49,49,4,8
Other assaults,"2,555","2,328","2,154","1,969","1,786","1,586","1,486",49,4,8
Forgery and counterfeiting,34,18,21,20,35,13,10,49,4,8
Fraud,62,82,53,54,38,59,40,49,4,8
Embezzlement,2,3,1,0,1,3,2,49,4,8
Stolen property,195,181,136,148,155,143,98,49,4,8
Vandalism,"2,191","1,784","1,808","1,342","1,171",998,981,49,4,8
Weapons,404,386,349,290,313,224,232,49,4,8
Prostitution/<br>commercialized vice,24,24,16,9,11,8,31,49,4,8
Sex offenses (other),346,332,295,294,347,N/A,N/A,49,4,8
Drug abuse violations,"1,912","1,926","1,959","1,889","1,854","1,778","1,812",49,4,8
Gambling,1,11,0,0,4,0,0,49,4,8
Offenses against family,131,76,31,25,8,19,24,49,4,8
Driving under influence,122,120,98,97,71,85,157,49,4,8
Liquor laws,"2,617","2,459","2,194","1,973","1,465","1,219",961,49,4,8
Drunkenness,208,242,171,201,168,139,143,49,4,8
Disorderly conduct,"2,334","1,875","1,846","1,780","1,275","1,327","1,031",49,4,8
Vagrancy,163,72,54,3,1,29,18,49,4,8
All other offenses,"6,792","5,813","5,592","5,228","4,469","5,265","4,539",49,4,8
Curfew and loitering,"1,727","1,389","1,193","1,158","1,120",955,924,49,4,8
Runaways,663,601,531,380,261,368,403,49,4,8
Population Ages 10 to 17,"352,100","359,000","356,800","365,600","372,200","378,100","383,600",49,4,8
