AP Enrollment by gender	Total number	Total Percent	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
Males enrolled in at least one AP course	"3,190"	44.2	117	1.6	381	5.3	171	2.4	80	1.1	"2,224"	30.8	34	0.5	183	2.5	33	0.5	43	0.6	42	2	4	9
Females enrolled in at least one AP course	"4,023"	55.8	212	2.9	480	6.7	264	3.7	87	1.2	"2,699"	37.4	34	0.5	247	3.4	19	0.3	50	0.7	42	2	4	9
Total students enrolled in AP courses	"7,213"	100	329	4.6	861	11.9	435	6	167	2.3	"4,923"	68.3	68	0.9	430	6	52	0.7	93	1.3	42	2	4	9
Males enrolled in AP mathematics	822	48.9	24	1.4	101	6	37	2.2	11	0.7	596	35.4	9	0.5	44	2.6	8	0.5	13	0.8	42	2	4	9
Females enrolled in AP mathematics	860	51.1	38	2.3	109	6.5	41	2.4	11	0.7	609	36.2	DS	0.1	50	3	DS	0.1	8	0.5	42	2	4	9
Total students enrolled in AP mathematics	"1,682"	100	62	3.7	210	12.5	78	4.6	22	1.3	"1,205"	71.6	11	0.7	94	5.6	10	0.6	21	1.2	42	2	4	9
Males enrolled in AP science	669	49	22	1.6	83	6.1	27	2	11	0.8	473	34.6	7	0.5	46	3.4	6	0.4	9	0.7	42	2	4	9
Females enrolled in AP science	697	51	37	2.7	80	5.9	37	2.7	8	0.6	487	35.7	DS	0.1	46	3.4	DS	0.1	8	0.6	42	2	4	9
Total students enrolled in AP science	"1,366"	100	59	4.3	163	11.9	64	4.7	19	1.4	960	70.3	9	0.7	92	6.7	8	0.6	17	1.2	42	2	4	9
Males enrolled in AP foreign language	104	34.9	0	0	7	2.3	24	8.1	5	1.7	62	20.8	DS	0.7	4	1.3	0	0	6	2	42	2	4	9
Females enrolled in AP foreign language	194	65.1	4	1.3	9	3	39	13.1	6	2	128	43	0	0	8	2.7	DS	0.7	6	2	42	2	4	9
Total students enrolled in AP foreign language	298	100	4	1.3	16	5.4	63	21.1	11	3.7	190	63.8	DS	0.7	12	4	DS	0.7	12	4	42	2	4	9
Males enrolled in other AP subjects	"1,741"	41.8	77	1.8	208	5	88	2.1	54	1.3	"1,196"	28.7	16	0.4	102	2.4	19	0.5	14	0.3	42	2	4	9
Females enrolled in other AP subjects	"2,424"	58.2	134	3.2	293	7	151	3.6	64	1.5	"1,603"	38.5	28	0.7	151	3.6	13	0.3	27	0.6	42	2	4	9
Total students enrolled in other AP subjects	"4,165"	100	211	5.1	501	12	239	5.7	118	2.8	"2,799"	67.2	44	1.1	253	6.1	32	0.8	41	1	42	2	4	9
