Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
Corporal punishment for males,15,78.9,0,0,15,78.9,0,0,DS,10.5,DS,10.5,DS,10.5,9,47.4,0,0,0,0,5,26.3,595,23,1,1
Corporal punishment for females,4,21.1,0,0,4,21.1,0,0,0,0,0,0,DS,10.5,DS,10.5,0,0,0,0,0,0,595,23,1,1
Corporal punishment total,19,100,0,0,19,100,0,0,DS,10.5,DS,10.5,4,21.1,11,57.9,0,0,0,0,5,26.3,595,23,1,1
One or more in-school suspensions for males,"1,271",77.3,83,5,"1,188",72.2,10,0.6,DS,0.1,21,1.4,66,4.3,"1,071",69.6,DS,0.1,16,1,22,1.3,595,23,1,1
One or more in-school suspensions for females,374,22.7,23,1.4,351,21.3,6,0.4,0,0,12,0.8,12,0.8,316,20.5,0,0,5,0.3,5,0.3,595,23,1,1
One or more in-school suspensions total,"1,645",100,106,6.4,"1,539",93.6,16,1,DS,0.1,33,2.1,78,5.1,"1,387",90.1,DS,0.1,21,1.4,27,1.6,595,23,1,1
Only one out-of-school suspension for males,"1,065",81.6,55,4.2,"1,010",77.4,10,0.8,DS,0.2,21,1.7,50,4,913,73.5,DS,0.2,12,1,19,1.5,595,23,1,1
Only one out-of-school suspension for females,240,18.4,7,0.5,233,17.9,DS,0.2,DS,0.2,6,0.5,10,0.8,211,17,0,0,DS,0.2,5,0.4,595,23,1,1
Only one out-of-school suspension total,"1,305",100,62,4.8,"1,243",95.2,12,1,4,0.3,27,2.2,60,4.8,"1,124",90.4,DS,0.2,14,1.1,24,1.8,595,23,1,1
More than one out-of-school suspension for males,972,80.7,32,2.7,940,78,8,0.7,4,0.3,17,1.5,47,4,852,73.3,0,0,12,1,19,1.6,595,23,1,1
More than one out-of-school suspension for females,233,19.3,10,0.8,223,18.5,4,0.3,0,0,7,0.6,12,1,196,16.9,0,0,4,0.3,4,0.3,595,23,1,1
More than one out-of-school suspension total,"1,205",100,42,3.5,"1,163",96.5,12,1,4,0.3,24,2.1,59,5.1,"1,048",90.1,0,0,16,1.4,23,1.9,595,23,1,1
One or more out-of-school suspensions for males,"2,035",81,87,3.5,"1,948",77.5,18,0.7,6,0.2,39,1.6,98,4.1,"1,761",73.1,DS,0.1,24,1,37,1.5,595,23,1,1
One or more out-of-school suspensions for females,478,19,18,0.7,460,18.3,7,0.3,DS,0.1,13,0.5,22,0.9,409,17,0,0,7,0.3,9,0.4,595,23,1,1
One or more out-of-school suspensions total,"2,513",100,105,4.2,"2,408",95.8,25,1,8,0.3,52,2.2,120,5,"2,170",90.1,DS,0.1,31,1.3,46,1.8,595,23,1,1
Expulsions with educational services for males,19,82.6,DS,8.7,17,73.9,0,0,0,0,DS,9.5,DS,9.5,13,61.9,0,0,0,0,DS,8.7,595,23,1,1
Expulsions with educational services for females,4,17.4,0,0,4,17.4,0,0,0,0,0,0,DS,9.5,DS,9.5,0,0,0,0,0,0,595,23,1,1
Expulsions with educational services total,23,100,DS,8.7,21,91.3,0,0,0,0,DS,9.5,4,19,15,71.4,0,0,0,0,DS,8.7,595,23,1,1
Expulsions without educational services for males,7,100,0,0,7,100,0,0,0,0,0,0,0,0,7,100,0,0,0,0,0,0,595,23,1,1
Expulsions without educational services for females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,23,1,1
Expulsions without educational services total,7,100,0,0,7,100,0,0,0,0,0,0,0,0,7,100,0,0,0,0,0,0,595,23,1,1
Expulsions with or without educational services for males,26,86.7,DS,6.7,24,80,0,0,0,0,DS,7.1,DS,7.1,20,71.4,0,0,0,0,DS,6.7,595,23,1,1
Expulsions with or without educational services for females,4,13.3,0,0,4,13.3,0,0,0,0,0,0,DS,7.1,DS,7.1,0,0,0,0,0,0,595,23,1,1
Expulsions with or without educational services total,30,100,DS,6.7,28,93.3,0,0,0,0,DS,7.1,4,14.3,22,78.6,0,0,0,0,DS,6.7,595,23,1,1
Expulsions under zero-tolerance policies for males,8,80,DS,20,6,60,0,0,0,0,0,0,DS,25,4,50,0,0,0,0,0,0,595,23,1,1
Expulsions under zero-tolerance policies for females,DS,20,0,0,DS,20,0,0,0,0,0,0,0,0,DS,25,0,0,0,0,0,0,595,23,1,1
Expulsions under zero-tolerance policies total,10,100,DS,20,8,80,0,0,0,0,0,0,DS,25,6,75,0,0,0,0,0,0,595,23,1,1
Referral to law enforcement for males,175,78.1,11,4.9,164,73.2,DS,0.9,DS,0.9,DS,0.9,12,5.7,142,67.3,DS,0.9,DS,0.9,7,3.1,595,23,1,1
Referral to law enforcement for females,49,21.9,DS,0.9,47,21,DS,0.9,0,0,0,0,DS,0.9,43,20.4,0,0,0,0,DS,0.9,595,23,1,1
Referral to law enforcement total,224,100,13,5.8,211,94.2,4,1.9,DS,0.9,DS,0.9,14,6.6,185,87.7,DS,0.9,DS,0.9,9,4,595,23,1,1
School-related arrests for males,28,87.5,DS,6.3,26,81.3,0,0,0,0,0,0,0,0,24,85.7,0,0,DS,7.1,0,0,595,23,1,1
School-related arrests for females,4,12.5,DS,6.3,DS,6.3,0,0,0,0,0,0,0,0,DS,7.1,0,0,0,0,0,0,595,23,1,1
School-related arrests total,32,100,4,12.5,28,87.5,0,0,0,0,0,0,0,0,26,92.9,0,0,DS,7.1,0,0,595,23,1,1
