State	Nation_ID	State_ID	Region_ID	Division_ID	Total Male Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"24,181"	327	1.4	244	1	"2,963"	12.3	"5,110"	21.1	"14,747"	61	45	0.2	745	3.1	"14,433"	59.7	228	0.9	596	2.5	"95,635"
Alabama		1	3	6	650	17	2.6	0	0	4	0.6	280	43.1	339	52.2	DS	0.3	8	1.2	326	50.2	0	0	0	0	"1,432"
Alaska		2	4	9	37	10	27	0	0	0	0	DS	5.4	19	51.4	DS	5.4	4	10.8	35	94.6	0	0	0	0	493
Arizona		4	4	8	448	33	7.4	4	0.9	133	29.7	35	7.8	233	52	0	0	10	2.2	138	30.8	6	1.3	4	0.9	"1,920"
Arkansas		5	3	7	100	0	0	0	0	6	6	34	34	60	60	0	0	0	0	46	46	7	7	DS	DS	"1,097"
California		6	4	9	584	4	0.7	4	0.7	296	50.7	151	25.9	118	20.2	DS	0.3	9	1.5	185	31.7	DS	0.3	81	13.9	"9,866"
Colorado		8	4	8	373	DS	0.5	0	0	100	26.8	21	5.6	241	64.6	DS	0.5	7	1.9	164	44	DS	0.5	30	8	"1,811"
Connecticut		9	1	1	591	DS	0.3	6	1	112	19	151	25.5	297	50.3	0	0	23	3.9	534	90.4	4	0.7	4	0.7	"1,122"
Delaware		10	3	5	29	0	0	DS	6.9	DS	6.9	12	41.4	13	44.8	0	0	0	0	25	86.2	0	0	0	0	232
District of Columbia		11	3	5	8	0	0	0	0	DS	25	6	75	0	0	0	0	0	0	DS	25	0	0	0	0	211
Florida		12	3	5	926	4	0.4	DS	0.2	74	8	338	36.5	457	49.4	DS	0.2	49	5.3	801	86.5	0	0	DS	0.2	"3,886"
Georgia		13	3	5	761	DS	0.3	97	12.7	233	30.6	360	47.3	44	5.8	0	0	25	3.3	63	8.3	DS	0.3	80	10.5	"2,422"
Hawaii		15	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286
Idaho		16	4	8	526	7	1.3	0	0	172	32.7	8	1.5	333	63.3	4	0.8	DS	0.4	123	23.4	14	2.7	45	8.6	703
Illinois		17	2	3	"1,569"	0	0	11	0.7	103	6.6	422	26.9	980	62.5	DS	0.1	51	3.3	"1,265"	80.6	4	0.3	8	0.5	"4,221"
Indiana		18	2	3	"1,364"	DS	0.1	7	0.5	44	3.2	274	20.1	996	73	DS	0.1	39	2.9	884	64.8	DS	0.1	17	1.2	"1,875"
Iowa		19	2	4	798	DS	0.3	6	0.8	22	2.8	102	12.8	635	79.6	DS	0.3	29	3.6	610	76.4	5	0.6	4	0.5	"1,458"
Kansas		20	2	4	379	6	1.6	4	1.1	22	5.8	40	10.6	272	71.8	DS	0.5	33	8.7	328	86.5	DS	0.5	4	1.1	"1,389"
Kentucky		21	3	6	204	0	0	DS	1	4	2	40	19.6	150	73.5	0	0	8	3.9	158	77.5	0	0	4	2	"1,417"
Louisiana		22	3	7	86	0	0	0	0	0	0	57	66.3	29	33.7	0	0	0	0	24	27.9	4	4.7	0	0	"1,394"
Maine		23	1	1	178	0	0	DS	1.1	DS	1.1	4	2.2	170	95.5	0	0	0	0	157	88.2	DS	1.1	DS	1.1	595
Maryland		24	3	5	179	0	0	DS	1.1	8	4.5	66	36.9	90	50.3	0	0	13	7.3	165	92.2	DS	1.1	0	0	"1,444"
Massachusetts		25	1	1	77	0	0	DS	2.6	4	5.2	13	16.9	56	72.7	0	0	DS	2.6	66	85.7	DS	2.6	DS	2.6	"1,834"
Michigan		26	2	3	"1,554"	22	1.4	4	0.3	70	4.5	187	12	"1,248"	80.3	4	0.3	19	1.2	"1,040"	66.9	8	0.5	4	0.3	"3,626"
Minnesota		27	2	4	798	30	3.8	9	1.1	36	4.5	237	29.7	466	58.4	0	0	20	2.5	747	93.6	DS	0.3	12	1.5	"2,077"
Mississippi		28	3	6	108	4	3.7	0	0	DS	1.9	42	38.9	60	55.6	0	0	0	0	40	37	0	0	DS	1.9	973
Missouri		29	2	4	312	DS	0.6	0	0	4	1.3	27	8.7	279	89.4	0	0	0	0	171	54.8	DS	0.6	4	1.3	"2,312"
Montana		30	4	8	131	10	7.6	0	0	4	3.1	0	0	115	87.8	0	0	DS	1.5	44	33.6	0	0	0	0	781
Nebraska		31	2	4	436	4	0.9	DS	0.5	48	11	37	8.5	329	75.5	0	0	16	3.7	275	63.1	0	0	10	2.3	"1,073"
Nevada		32	4	8	56	0	0	0	0	20	35.7	21	37.5	15	26.8	0	0	0	0	29	51.8	0	0	0	0	649
New Hampshire		33	1	1	158	0	0	DS	1.3	4	2.5	4	2.5	148	93.7	0	0	0	0	136	86.1	DS	1.3	DS	1.3	478
New Jersey		34	1	2	357	0	0	DS	0.6	67	18.8	220	61.6	64	17.9	0	0	4	1.1	231	64.7	0	0	0	0	"2,538"
New Mexico		35	4	8	48	DS	4.2	0	0	33	68.8	DS	4.2	11	22.9	0	0	0	0	18	37.5	0	0	DS	4.2	853
New York		36	1	2	342	4	1.2	DS	0.6	19	5.6	71	20.8	237	69.3	0	0	9	2.6	216	63.2	DS	0.6	DS	0.6	"4,864"
North Carolina		37	3	5	232	0	0	0	0	4	1.7	102	44	113	48.7	0	0	13	5.6	197	84.9	DS	0.9	DS	0.9	"2,535"
North Dakota		38	2	4	72	4	5.6	0	0	7	9.7	4	5.6	55	76.4	0	0	DS	2.8	45	62.5	0	0	0	0	468
Ohio		39	2	3	"1,190"	4	0.3	DS	0.2	19	1.6	443	37.2	644	54.1	0	0	78	6.6	771	64.8	DS	0.2	4	0.3	"3,702"
Oklahoma		40	3	7	275	31	11.3	DS	0.7	19	6.9	95	34.5	122	44.4	DS	0.7	4	1.5	126	45.8	DS	0.7	6	2.2	"1,774"
Oregon		41	9	4	367	8	2.2	4	1.1	56	15.3	24	6.5	262	71.4	0	0	13	3.5	346	94.3	0	0	13	3.5	"1,312"
Pennsylvania		42	1	2	279	0	0	DS	0.7	4	1.4	59	21.1	210	75.3	0	0	4	1.4	123	44.1	DS	0.7	0	0	"3,220"
Rhode Island		44	1	1	13	0	0	0	0	4	30.8	DS	15.4	5	38.5	0	0	DS	15.4	11	84.6	DS	15.4	0	0	291
South Carolina		45	3	5	204	0	0	DS	1	6	2.9	86	42.2	104	51	0	0	6	2.9	187	91.7	0	0	DS	1	"1,219"
South Dakota		46	2	4	66	8	12.1	0	0	DS	3	0	0	56	84.8	0	0	0	0	27	40.9	DS	3	DS	3	668
Tennessee		47	3	6	443	0	0	0	0	8	1.8	141	31.8	288	65	0	0	6	1.4	244	55.1	26	5.9	0	0	"1,802"
Texas		48	3	7	"2,043"	6	0.3	11	0.5	676	33.1	370	18.1	907	44.4	4	0.2	69	3.4	572	28	89	4.4	75	3.7	"8,472"
Utah		49	4	8	"1,363"	21	1.5	8	0.6	289	21.2	24	1.8	983	72.1	20	1.5	18	1.3	403	29.6	8	0.6	146	10.7	981
Vermont		50	1	1	116	DS	1.7	DS	1.7	4	3.4	DS	1.7	104	89.7	0	0	DS	1.7	90	77.6	10	8.6	DS	1.7	295
Virginia		51	3	5	499	4	0.8	DS	0.4	18	3.6	281	56.3	173	34.7	0	0	21	4.2	428	85.8	0	0	DS	0.4	"1,984"
Washington		53	4	9	"1,056"	36	3.4	23	2.2	123	11.6	41	3.9	763	72.3	DS	0.2	68	6.4	531	50.3	12	1.1	13	1.2	"2,256"
West Virginia		54	3	5	135	0	0	0	0	DS	1.5	6	4.4	125	92.6	0	0	DS	1.5	70	51.9	0	0	0	0	733
Wisconsin		55	2	3	"1,546"	26	1.7	20	1.3	69	4.5	165	10.7	"1,214"	78.5	0	0	52	3.4	"1,112"	71.9	DS	0.1	10	0.6	"2,242"
Wyoming		56	4	8	145	11	7.6	DS	1.4	8	5.5	7	4.8	115	79.3	0	0	DS	1.4	119	82.1	DS	1.4	0	0	349
