Advanced Placement Course by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race 	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"1,765"	45.3	37	0.9	50	1.3	32	0.8	26	0.7	"1,612"	41.4	0	0	8	0.2	12	0.3	4	0.1	90	46	2	4
At least one AP course females	"2,130"	54.7	49	1.3	57	1.5	43	1.1	31	0.8	"1,934"	49.7	DS	0.1	14	0.4	DS	0.1	DS	0.1	90	46	2	4
At least one AP course total	"3,895"	100	86	2.2	107	2.7	75	1.9	57	1.5	"3,546"	91	DS	0.1	22	0.6	14	0.4	6	0.2	90	46	2	4
AP mathematics males	466	49.4	12	1.3	18	1.9	9	1	4	0.4	421	44.6	0	0	DS	0.2	0	0	DS	0.2	90	46	2	4
AP mathematics females	478	50.6	15	1.6	23	2.4	7	0.7	5	0.5	424	44.9	DS	0.2	DS	0.2	0	0	0	0	90	46	2	4
AP mathematics total	944	100	27	2.9	41	4.3	16	1.7	9	1	845	89.5	DS	0.2	4	0.4	0	0	DS	0.2	90	46	2	4
AP science males	693	47.3	9	0.6	33	2.3	11	0.8	9	0.6	629	43	0	0	DS	0.1	DS	0.1	DS	0.1	90	46	2	4
AP science females	771	52.7	6	0.4	32	2.2	20	1.4	9	0.6	699	47.7	0	0	5	0.3	DS	0.1	0	0	90	46	2	4
AP science total	"1,464"	100	15	1	65	4.4	31	2.1	18	1.2	"1,328"	90.7	0	0	7	0.5	4	0.3	DS	0.1	90	46	2	4
AP foreign language males	117	40.1	DS	0.7	4	1.4	DS	0.7	DS	0.7	107	36.6	0	0	0	0	0	0	DS	0.7	90	46	2	4
AP foreign language females	175	59.9	0	0	DS	0.7	4	1.4	DS	0.7	165	56.5	0	0	DS	0.7	0	0	0	0	90	46	2	4
AP foreign language total	292	100	DS	0.7	6	2.1	6	2.1	4	1.4	272	93.2	0	0	DS	0.7	0	0	DS	0.7	90	46	2	4
Other AP subjects males	"1,317"	45.5	16	0.6	40	1.4	28	1	25	0.9	"1,202"	41.6	0	0	6	0.2	5	0.2	DS	0.1	90	46	2	4
Other AP subjects females	"1,575"	54.5	32	1.1	47	1.6	33	1.1	27	0.9	"1,423"	49.2	DS	0.1	11	0.4	DS	0.1	0	0	90	46	2	4
Other AP subjects total	"2,892"	100	48	1.7	87	3	61	2.1	52	1.8	"2,625"	90.8	DS	0.1	17	0.6	7	0.2	DS	0.1	90	46	2	4
