,"Number and percentage of public school male students retained in grade 9, by race/ethnicity, disability status, and English proficiency, by state: School Year 2013-14",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,State,Total Students,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,
,,,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,Number,Percent,,
Retained in grade 9,United States,"128,953 ","1,458 ",1.1 ,"2,331 ",1.8 ,"41,144 ",31.9 ,"44,307 ",34.4 ,"36,285 ",28.1 ,693 ,0.5 ,"2,735 ",2.1 ,"28,370 ",22.0 ,"4,324 ",3.4 ,"15,295 ",11.9 ,"9,090 ",100.0 
Retained in grade 9,Alabama,"3,120 ",13 ,0.4 ,12 ,0.4 ,131 ,4.2 ,"1,760 ",56.4 ,"1,170 ",37.5 ,1 to 3,0.1 ,32 ,1.0 ,411 ,13.2 ,36 ,1.2 ,63 ,2.0 ,263 ,100.0 
Retained in grade 9,Alaska,67 ,61 ,91.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,3.0 ,4 ,6.0 ,0 ,0.0 ,0 ,0.0 ,6 ,9.0 ,0 ,0.0 ,29 ,43.3 ,45 ,100.0 
Retained in grade 9,Arizona,"2,370 ",147 ,6.2 ,22 ,0.9 ,"1,730 ",73.0 ,168 ,7.1 ,275 ,11.6 ,5 ,0.2 ,23 ,1.0 ,361 ,15.2 ,14 ,0.6 ,175 ,7.4 ,79 ,100.0 
Retained in grade 9,Arkansas,636 ,1 to 3,0.5 ,7 ,1.1 ,64 ,10.1 ,300 ,47.2 ,251 ,39.5 ,1 to 3,0.3 ,9 ,1.4 ,53 ,8.3 ,29 ,4.6 ,46 ,7.2 ,101 ,100.0 
Retained in grade 9,California,"8,079 ",43 ,0.5 ,252 ,3.1 ,"6,233 ",77.2 ,656 ,8.1 ,764 ,9.5 ,54 ,0.7 ,77 ,1.0 ,"1,202 ",14.9 ,85 ,1.1 ,"2,359 ",29.2 ,406 ,100.0 
Retained in grade 9,Colorado,864 ,10 ,1.2 ,11 ,1.3 ,516 ,59.7 ,120 ,13.9 ,177 ,20.5 ,1 to 3,0.2 ,28 ,3.2 ,184 ,21.3 ,10 ,1.2 ,220 ,25.5 ,128 ,100.0 
Retained in grade 9,Connecticut,"1,902 ",5 ,0.3 ,24 ,1.3 ,815 ,42.8 ,497 ,26.1 ,532 ,28.0 ,1 to 3,0.1 ,28 ,1.5 ,433 ,22.8 ,90 ,4.7 ,297 ,15.6 ,139 ,100.0 
Retained in grade 9,Delaware,822 ,5 ,0.6 ,5 ,0.6 ,132 ,16.1 ,417 ,50.7 ,255 ,31.0 ,0 ,0.0 ,8 ,1.0 ,251 ,30.5 ,32 ,3.9 ,52 ,6.3 ,34 ,100.0 
Retained in grade 9,District of Columbia,516 ,1 to 3,0.4 ,1 to 3,0.6 ,87 ,16.9 ,414 ,80.2 ,5 ,1.0 ,1 to 3,0.2 ,4 ,0.8 ,174 ,33.7 ,4 ,0.8 ,67 ,13.0 ,31 ,100.0 
Retained in grade 9,Florida,"5,560 ",38 ,0.7 ,45 ,0.8 ,"1,460 ",26.3 ,"1,662 ",29.9 ,"2,175 ",39.1 ,6 ,0.1 ,174 ,3.1 ,"1,572 ",28.3 ,279 ,5.0 ,469 ,8.4 ,345 ,100.0 
Retained in grade 9,Georgia,"12,484 ",18 ,0.1 ,231 ,1.9 ,"2,073 ",16.6 ,"6,841 ",54.8 ,"3,018 ",24.2 ,9 ,0.1 ,294 ,2.4 ,"2,400 ",19.2 ,486 ,3.9 ,"1,061 ",8.5 ,452 ,100.0 
Retained in grade 9,Hawaii,877 ,7 ,0.8 ,186 ,21.2 ,63 ,7.2 ,11 ,1.3 ,79 ,9.0 ,472 ,53.8 ,59 ,6.7 ,202 ,23.0 ,33 ,3.8 ,167 ,19.0 ,53 ,100.0 
Retained in grade 9,Idaho,308 ,1 to 3,1.0 ,1 to 3,1.0 ,77 ,25.0 ,9 ,2.9 ,211 ,68.5 ,0 ,0.0 ,5 ,1.6 ,32 ,10.4 ,20 ,6.5 ,39 ,12.7 ,37 ,100.0 
Retained in grade 9,Illinois,"4,583 ",17 ,0.4 ,49 ,1.1 ,"1,350 ",29.5 ,"1,677 ",36.6 ,"1,338 ",29.2 ,1 to 3,0.1 ,149 ,3.3 ,941 ,20.5 ,140 ,3.1 ,426 ,9.3 ,358 ,99.4 
Retained in grade 9,Indiana,328 ,1 to 3,0.6 ,0 ,0.0 ,17 ,5.2 ,66 ,20.1 ,221 ,67.4 ,0 ,0.0 ,22 ,6.7 ,100 ,30.5 ,0 ,0.0 ,4 ,1.2 ,44 ,100.0 
Retained in grade 9,Iowa,138 ,1 to 3,1.4 ,0 ,0.0 ,16 ,11.6 ,16 ,11.6 ,101 ,73.2 ,0 ,0.0 ,1 to 3,2.2 ,24 ,17.4 ,5 ,3.6 ,1 to 3,2.2 ,34 ,100.0 
Retained in grade 9,Kansas,619 ,10 ,1.6 ,6 ,1.0 ,204 ,33.0 ,138 ,22.3 ,230 ,37.2 ,1 to 3,0.2 ,30 ,4.8 ,103 ,16.6 ,0 ,0.0 ,123 ,19.9 ,62 ,100.0 
Retained in grade 9,Kentucky,"1,541 ",5 ,0.3 ,11 ,0.7 ,103 ,6.7 ,404 ,26.2 ,969 ,62.9 ,1 to 3,0.1 ,48 ,3.1 ,232 ,15.1 ,14 ,0.9 ,46 ,3.0 ,188 ,100.0 
Retained in grade 9,Louisiana,"2,691 ",17 ,0.6 ,14 ,0.5 ,136 ,5.1 ,"1,609 ",59.8 ,894 ,33.2 ,0 ,0.0 ,21 ,0.8 ,518 ,19.2 ,269 ,10.0 ,96 ,3.6 ,225 ,100.0 
Retained in grade 9,Maine,123 ,1 to 3,2.4 ,1 to 3,0.8 ,1 to 3,2.4 ,1 to 3,0.8 ,112 ,91.1 ,1 to 3,0.8 ,1 to 3,1.6 ,35 ,28.5 ,5 ,4.1 ,4 ,3.3 ,23 ,100.0 
Retained in grade 9,Maryland,"5,342 ",15 ,0.3 ,87 ,1.6 ,"1,473 ",27.6 ,"2,876 ",53.8 ,778 ,14.6 ,5 ,0.1 ,108 ,2.0 ,"1,201 ",22.5 ,245 ,4.6 ,624 ,11.7 ,215 ,100.0 
Retained in grade 9,Massachusetts,"2,124 ",11 ,0.5 ,54 ,2.5 ,830 ,39.1 ,397 ,18.7 ,762 ,35.9 ,1 to 3,0.0 ,69 ,3.2 ,628 ,29.6 ,92 ,4.3 ,377 ,17.7 ,223 ,100.0 
Retained in grade 9,Michigan,"3,177 ",36 ,1.1 ,29 ,0.9 ,333 ,10.5 ,"1,217 ",38.3 ,"1,452 ",45.7 ,1 to 3,0.1 ,108 ,3.4 ,652 ,20.5 ,58 ,1.8 ,188 ,5.9 ,327 ,100.0 
Retained in grade 9,Minnesota,472 ,12 ,2.5 ,13 ,2.8 ,73 ,15.5 ,111 ,23.5 ,254 ,53.8 ,1 to 3,0.2 ,8 ,1.7 ,77 ,16.3 ,1 to 3,0.4 ,47 ,10.0 ,67 ,100.0 
Retained in grade 9,Mississippi,"2,469 ",1 to 3,0.1 ,9 ,0.4 ,71 ,2.9 ,"1,831 ",74.2 ,551 ,22.3 ,0 ,0.0 ,4 ,0.2 ,210 ,8.5 ,5 ,0.2 ,28 ,1.1 ,221 ,100.0 
Retained in grade 9,Missouri,"1,102 ",4 ,0.4 ,11 ,1.0 ,79 ,7.2 ,401 ,36.4 ,594 ,53.9 ,0 ,0.0 ,13 ,1.2 ,199 ,18.1 ,25 ,2.3 ,48 ,4.4 ,135 ,100.0 
Retained in grade 9,Montana,121 ,72 ,59.5 ,0 ,0.0 ,1 to 3,1.7 ,1 to 3,2.5 ,42 ,34.7 ,0 ,0.0 ,1 to 3,1.7 ,16 ,13.2 ,1 to 3,1.7 ,13 ,10.7 ,24 ,100.0 
Retained in grade 9,Nebraska,105 ,8 ,7.6 ,1 to 3,1.9 ,12 ,11.4 ,7 ,6.7 ,72 ,68.6 ,1 to 3,1.0 ,1 to 3,2.9 ,27 ,25.7 ,1 to 3,1.9 ,1 to 3,2.9 ,17 ,100.0 
Retained in grade 9,Nevada,118 ,6 ,5.1 ,0 ,0.0 ,29 ,24.6 ,8 ,6.8 ,69 ,58.5 ,0 ,0.0 ,6 ,5.1 ,23 ,19.5 ,1 to 3,1.7 ,5 ,4.2 ,20 ,100.0 
Retained in grade 9,New Hampshire,708 ,1 to 3,0.4 ,6 ,0.8 ,61 ,8.6 ,24 ,3.4 ,602 ,85.0 ,0 ,0.0 ,12 ,1.7 ,198 ,28.0 ,52 ,7.3 ,28 ,4.0 ,52 ,100.0 
Retained in grade 9,New Jersey,"2,260 ",5 ,0.2 ,45 ,2.0 ,"1,099 ",48.6 ,723 ,32.0 ,373 ,16.5 ,0 ,0.0 ,15 ,0.7 ,561 ,24.8 ,41 ,1.8 ,253 ,11.2 ,179 ,100.0 
Retained in grade 9,New Mexico,750 ,115 ,15.3 ,6 ,0.8 ,469 ,62.5 ,11 ,1.5 ,129 ,17.2 ,0 ,0.0 ,20 ,2.7 ,103 ,13.7 ,14 ,1.9 ,158 ,21.1 ,73 ,100.0 
Retained in grade 9,New York,"10,392 ",68 ,0.7 ,556 ,5.4 ,"4,149 ",39.9 ,"3,850 ",37.0 ,"1,698 ",16.3 ,23 ,0.2 ,48 ,0.5 ,"3,576 ",34.4 ,126 ,1.2 ,"1,612 ",15.5 ,766 ,100.0 
Retained in grade 9,North Carolina,"7,645 ",138 ,1.8 ,61 ,0.8 ,"1,367 ",17.9 ,"3,226 ",42.2 ,"2,571 ",33.6 ,5 ,0.1 ,277 ,3.6 ,"2,193 ",28.7 ,220 ,2.9 ,844 ,11.0 ,503 ,100.0 
Retained in grade 9,North Dakota,44 ,13 ,29.5 ,5 ,11.4 ,1 to 3,6.8 ,5 ,11.4 ,18 ,40.9 ,0 ,0.0 ,0 ,0.0 ,9 ,20.5 ,1 to 3,4.5 ,9 ,20.5 ,15 ,100.0 
Retained in grade 9,Ohio,"4,122 ",9 ,0.2 ,70 ,1.7 ,265 ,6.4 ,"2,219 ",53.8 ,"1,365 ",33.1 ,1 to 3,0.1 ,191 ,4.6 ,"1,036 ",25.1 ,88 ,2.1 ,276 ,6.7 ,269 ,100.0 
Retained in grade 9,Oklahoma,"1,198 ",172 ,14.4 ,12 ,1.0 ,195 ,16.3 ,262 ,21.9 ,491 ,41.0 ,6 ,0.5 ,60 ,5.0 ,282 ,23.5 ,19 ,1.6 ,71 ,5.9 ,154 ,100.0 
Retained in grade 9,Oregon,943 ,12 ,1.3 ,8 ,0.8 ,349 ,37.0 ,11 ,1.2 ,499 ,52.9 ,21 ,2.2 ,43 ,4.6 ,200 ,21.2 ,27 ,2.9 ,68 ,7.2 ,46 ,100.0 
Retained in grade 9,Pennsylvania,"3,915 ",7 ,0.2 ,64 ,1.6 ,812 ,20.7 ,"1,186 ",30.3 ,"1,728 ",44.1 ,1 to 3,0.1 ,116 ,3.0 ,913 ,23.3 ,106 ,2.7 ,274 ,7.0 ,429 ,100.0 
Retained in grade 9,Rhode Island,410 ,6 ,1.5 ,12 ,2.9 ,163 ,39.8 ,43 ,10.5 ,178 ,43.4 ,0 ,0.0 ,8 ,2.0 ,123 ,30.0 ,18 ,4.4 ,61 ,14.9 ,34 ,100.0 
Retained in grade 9,South Carolina,"3,475 ",20 ,0.6 ,9 ,0.3 ,317 ,9.1 ,"1,525 ",43.9 ,"1,511 ",43.5 ,5 ,0.1 ,88 ,2.5 ,719 ,20.7 ,79 ,2.3 ,213 ,6.1 ,204 ,100.0 
