,"Number and percentage of public school male students not served under IDEA subjected to mechanical restraint, by race/ethnicity, whether served under Section 504, and English proficiency, by state: School Year 2013-14",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,State,Total Students,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting ,,,
,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,,
,,,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,,,,,
Mechanical restraint,United States,"2,930 ",40 ,1.4 ,14 ,0.5 ,"1,034 ",35.3 ,883 ,30.1 ,886 ,30.2 ,8 ,0.3 ,65 ,2.2 ,97 ,3.3 ,130 ,4.4 ,"95,507 ",99.4 ,,,
Mechanical restraint,Alabama,131 ,0 ,0.0 ,0 ,0.0 ,5 ,3.8 ,121 ,92.4 ,5 ,3.8 ,0 ,0.0 ,0 ,0.0 ,7 ,5.3 ,12 ,9.2 ,"1,397 ",97.0 ,,,
Mechanical restraint,Alaska,0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,495 ,100.0 ,,,
Mechanical restraint,Arizona,372 ,10 ,2.7 ,1 to 3,0.3 ,190 ,51.1 ,73 ,19.6 ,78 ,21.0 ,4 ,1.1 ,16 ,4.3 ,1 to 3,0.5 ,0 ,0.0 ,"1,913 ",99.2 ,,,
Mechanical restraint,Arkansas,16 ,0 ,0.0 ,0 ,0.0 ,1 to 3,12.5 ,1 to 3,12.5 ,12 ,75.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,"1,085 ",100.0 ,,,
Mechanical restraint,California,111 ,1 to 3,1.8 ,1 to 3,1.8 ,74 ,66.7 ,14 ,12.6 ,19 ,17.1 ,0 ,0.0 ,0 ,0.0 ,1 to 3,1.8 ,16 ,14.4 ,"9,883 ",99.8 ,,,
Mechanical restraint,Colorado,19 ,0 ,0.0 ,0 ,0.0 ,11 ,57.9 ,1 to 3,15.8 ,5 ,26.3 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,"1,841 ",100.0 ,,,
Mechanical restraint,Connecticut,0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,"1,140 ",98.2 ,,,
Mechanical restraint,Delaware,0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,227 ,100.0 ,,,
Mechanical restraint,District of Columbia,1 to 3,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,100.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,204 ,100.0 ,,,
