Types of crimes,2001,2002,2003,2004,2005,2006,2007,State_ID,Region_ID,Division_ID
Total Arrests,"5,870","6,133","5,867","4,715","4,773","4,466","4,452",2,4,9
Violent Crime Index,254,225,223,180,211,181,187,2,4,9
Murder/nonneg. mans.,1,3,3,4,1,2,6,2,4,9
Robbery,52,38,23,26,23,40,24,2,4,9
Aggravated assault,184,170,166,137,175,131,148,2,4,9
Property Crime Index,"1,996","2,239","2,067","1,428","1,413","1,376","1,338",2,4,9
Burglary,335,278,367,237,229,235,158,2,4,9
Larceny-theft,"1,413","1,688","1,464","1,024","1,061","1,000","1,080",2,4,9
Motor vehicle theft,238,263,209,159,112,116,93,2,4,9
Arson,10,10,27,8,11,25,7,2,4,9
Other assaults,622,605,514,417,474,451,426,2,4,9
Forgery and counterfeiting,20,8,14,10,11,3,8,2,4,9
Fraud,15,19,13,5,21,9,7,2,4,9
Embezzlement,0,1,0,0,0,1,1,2,4,9
Stolen property,7,2,6,8,5,2,2,2,4,9
Vandalism,338,343,351,258,243,299,269,2,4,9
Weapons,92,60,76,45,69,82,60,2,4,9
Prostitution/<br>commercialized vice,6,2,3,0,3,2,3,2,4,9
Sex offenses (other),43,53,59,33,49,46,34,2,4,9
Drug abuse violations,481,546,446,347,358,280,296,2,4,9
Offenses against family,44,20,14,18,17,4,6,2,4,9
Driving under influence,121,125,106,105,89,69,100,2,4,9
Liquor laws,463,468,483,389,339,339,342,2,4,9
Drunkenness,4,59,5,19,38,28,36,2,4,9
Disorderly conduct,95,99,103,108,131,70,93,2,4,9
Vagrancy,0,0,0,0,0,0,0,2,4,9
All other offenses,"1,215","1,026","1,104","1,036",972,881,780,2,4,9
Curfew and loitering,51,4,2,1,6,0,12,2,4,9
Runaways,3,229,278,308,324,343,452,2,4,9
Population Ages 10 to 17,"90,500","91,300","90,500","89,500","88,500","87,400","86,500",2,4,9
