County,2000 Live Births,2000 Teen Unmarried Births,2000 Percentage,2009 Live Births,2009 Teen Unmarried Births,2009 Percentage,2000-2009 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,68,6,8.80%,76,6,7.90%,-10.50%,19_001,19,2,4,,
Adams,35,2,5.70%,55,8,14.50%,154.50%,19_002,19,2,4,,
Allamakee,158,13,8.20%,180,19,10.60%,28.30%,19_003,19,2,4,,
Appanoose,142,11,7.70%,146,14,9.60%,23.80%,19_004,19,2,4,,
Audubon,47,7,14.90%,64,C,N/A,N/A,19_005,19,2,4,,
Benton,325,21,6.50%,290,15,5.20%,-20.00%,19_006,19,2,4,,
Black Hawk,"1,551",175,11.30%,"1,746",149,8.50%,-24.40%,19_007,19,2,4,,
Boone,317,15,4.70%,306,23,7.50%,58.80%,19_008,19,2,4,,
Bremer,250,15,6.00%,250,13,5.20%,-13.30%,19_009,19,2,4,,
Buchanan,301,23,7.60%,306,11,3.60%,-53.00%,19_010,19,2,4,,
Buena Vista,233,29,12.40%,286,31,10.80%,-12.90%,19_011,19,2,4,,
Butler,170,10,5.90%,167,8,4.80%,-18.60%,19_012,19,2,4,,
Calhoun,107,6,5.60%,128,10,7.80%,39.30%,19_013,19,2,4,,
Carroll,262,12,4.60%,274,18,6.60%,43.40%,19_014,19,2,4,,
Cass,158,12,7.60%,162,16,9.90%,30.00%,19_015,19,2,4,,
Cedar,206,12,5.80%,224,8,3.60%,-38.70%,19_016,19,2,4,,
Cerro Gordo,530,50,9.40%,477,41,8.60%,-8.90%,19_017,19,2,4,,
Cherokee,146,13,8.90%,126,9,7.10%,-19.80%,19_018,19,2,4,,
Chickasaw,169,13,7.70%,137,5,3.60%,-52.60%,19_019,19,2,4,,
Clarke,97,14,14.40%,137,16,11.70%,-19.10%,19_020,19,2,4,,
Clay,204,17,8.30%,192,20,10.40%,25.00%,19_021,19,2,4,,
Clayton,194,15,7.70%,194,8,4.10%,-46.70%,19_022,19,2,4,,
Clinton,591,63,10.70%,589,59,10.00%,-6.00%,19_023,19,2,4,,
Crawford,189,22,11.60%,235,21,8.90%,-23.20%,19_024,19,2,4,,
Dallas,566,27,4.80%,"1,014",36,3.60%,-25.60%,19_025,19,2,4,,
Davis,129,9,7.00%,142,7,4.90%,-29.30%,19_026,19,2,4,,
Decatur,101,8,7.90%,103,11,10.70%,34.80%,19_027,19,2,4,,
Delaware,227,12,5.30%,207,11,5.30%,0.50%,19_028,19,2,4,,
Des Moines,555,71,12.80%,518,58,11.20%,-12.50%,19_029,19,2,4,,
Dickinson,159,13,8.20%,161,10,6.20%,-24.00%,19_030,19,2,4,,
Dubuque,"1,221",83,6.80%,"1,217",95,7.80%,14.80%,19_031,19,2,4,,
Emmet,126,15,11.90%,126,12,9.50%,-20.00%,19_032,19,2,4,,
Fayette,233,19,8.20%,263,21,8.00%,-2.10%,19_033,19,2,4,,
Floyd,199,11,5.50%,170,12,7.10%,27.70%,19_034,19,2,4,,
Franklin,113,12,10.60%,134,14,10.40%,-1.60%,19_035,19,2,4,,
Fremont,82,4,4.90%,95,12,12.60%,158.90%,19_036,19,2,4,,
Greene,92,11,12.00%,95,12,12.60%,5.60%,19_037,19,2,4,,
Grundy,133,6,4.50%,156,9,5.80%,27.90%,19_038,19,2,4,,
Guthrie,134,10,7.50%,124,9,7.30%,-2.70%,19_039,19,2,4,,
Hamilton,192,17,8.90%,185,19,10.30%,16.00%,19_040,19,2,4,,
