Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	279	73.6	DS	0.5	277	73.1	0	0	0	0	4	1.1	19	5	254	67.4	0	0	0	0	DS	0.5	733	54	3	5
Corporal punishment on females	100	26.4	0	0	100	26.4	0	0	0	0	4	1.1	DS	0.5	94	24.9	0	0	0	0	0	0	733	54	3	5
Corporal punishment total	379	100	DS	0.5	377	99.5	0	0	0	0	8	2.1	21	5.6	348	92.3	0	0	0	0	DS	0.5	733	54	3	5
One or more in-school suspensions on males	"14,872"	69	75	0.3	"14,797"	68.7	9	0	37	0.2	221	1	"1,428"	6.7	"12,912"	60.2	DS	0	188	0.9	36	0.2	733	54	3	5
One or more in-school suspensions on females	"6,669"	31	14	0.1	"6,655"	30.9	4	0	12	0.1	76	0.4	722	3.4	"5,765"	26.9	0	0	76	0.4	18	0.1	733	54	3	5
One or more in-school suspensions total	"21,541"	100	89	0.4	"21,452"	99.6	13	0.1	49	0.2	297	1.4	"2,150"	10	"18,677"	87.1	DS	0	264	1.2	54	0.3	733	54	3	5
Only one out-of-school suspension on males	"9,301"	68.8	35	0.3	"9,266"	68.6	7	0.1	18	0.1	86	0.6	823	6.1	"8,229"	61.1	DS	0	101	0.7	26	0.2	733	54	3	5
Only one out-of-school suspension on females	"4,210"	31.2	9	0.1	"4,201"	31.1	4	0	7	0.1	32	0.2	434	3.2	"3,677"	27.3	DS	0	45	0.3	8	0.1	733	54	3	5
Only one out-of-school suspension total	"13,511"	100	44	0.3	"13,467"	99.7	11	0.1	25	0.2	118	0.9	"1,257"	9.3	"11,906"	88.4	4	0	146	1.1	34	0.3	733	54	3	5
More than one out-of-school suspension on males	"7,890"	74.9	38	0.4	"7,852"	74.5	4	0	8	0.1	88	0.8	859	8.2	"6,797"	64.8	DS	0	94	0.9	16	0.2	733	54	3	5
More than one out-of-school suspension on females	"2,643"	25.1	8	0.1	"2,635"	25	DS	0	4	0	21	0.2	454	4.3	"2,131"	20.3	0	0	23	0.2	7	0.1	733	54	3	5
More than one out-of-school suspension total	"10,533"	100	46	0.4	"10,487"	99.6	6	0.1	12	0.1	109	1	"1,313"	12.5	"8,928"	85.1	DS	0	117	1.1	23	0.2	733	54	3	5
