Disciplinary Action,Number of Students With and Without Disabilities,Percent Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
Corporal punishment for males,"3,670",83.9,DS,0,"3,668",83.9,13,0.3,6,0.1,225,5.2,916,21,"2,371",54.3,DS,0,135,3.1,33,0.8,"3,886",12,3,5
Corporal punishment for females,702,16.1,DS,0,700,16,DS,0,0,0,33,0.8,291,6.7,341,7.8,0,0,33,0.8,4,0.1,"3,886",12,3,5
Corporal punishment total,"4,372",100,4,0.1,"4,368",99.9,15,0.3,6,0.1,258,5.9,"1,207",27.6,"2,712",62.1,DS,0,168,3.8,37,0.8,"3,886",12,3,5
One or more in-school suspensions for males,"285,735",64.8,562,0.1,"285,173",64.7,"1,027",0.2,"2,032",0.5,"73,625",16.7,"94,168",21.4,"105,947",24.1,190,0,"8,184",1.9,"8,562",1.9,"3,886",12,3,5
One or more in-school suspensions for females,"154,885",35.2,131,0,"154,754",35.1,513,0.1,938,0.2,"38,131",8.7,"62,172",14.1,"48,063",10.9,128,0,"4,809",1.1,"3,947",0.9,"3,886",12,3,5
One or more in-school suspensions total,"440,620",100,693,0.2,"439,927",99.8,"1,540",0.4,"2,970",0.7,"111,756",25.4,"156,340",35.5,"154,010",35,318,0.1,"12,993",3,"12,509",2.8,"3,886",12,3,5
Only one out-of-school suspension for males,"43,049",65.5,168,0.3,"42,881",65.3,156,0.2,394,0.6,"11,016",16.8,"13,745",21,"16,148",24.7,42,0.1,"1,380",2.1,"3,270",5,"3,886",12,3,5
Only one out-of-school suspension for females,"22,647",34.5,34,0.1,"22,613",34.4,73,0.1,108,0.2,"5,722",8.7,"9,194",14,"6,800",10.4,20,0,696,1.1,"1,183",1.8,"3,886",12,3,5
Only one out-of-school suspension total,"65,696",100,202,0.3,"65,494",99.7,229,0.3,502,0.8,"16,738",25.6,"22,939",35,"22,948",35,62,0.1,"2,076",3.2,"4,453",6.8,"3,886",12,3,5
More than one out-of-school suspension for males,"174,316",71.4,322,0.1,"173,994",71.2,616,0.3,658,0.3,"43,311",17.8,"65,103",26.7,"58,609",24,97,0,"5,600",2.3,"4,418",1.8,"3,886",12,3,5
