Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	152	77.6	DS	1	150	76.5	0	0	0	0	5	2.6	9	4.6	136	70.1	0	0	0	0	DS	1	"2,242"	55	2	3
Corporal punishment on females	44	22.4	0	0	44	22.4	0	0	0	0	4	2.1	0	0	40	20.6	0	0	0	0	0	0	"2,242"	55	2	3
Corporal punishment total	196	100	DS	1	194	99	0	0	0	0	9	4.6	9	4.6	176	90.7	0	0	0	0	DS	1	"2,242"	55	2	3
One or more in-school suspensions on males	"20,810"	72.3	91	0.3	"20,719"	71.9	501	1.7	278	1	"2,120"	7.4	"3,233"	11.3	"14,018"	48.9	14	0	555	1.9	903	3.1	"2,242"	55	2	3
One or more in-school suspensions on females	"7,992"	27.7	42	0.1	"7,950"	27.6	268	0.9	88	0.3	856	3	"1,709"	6	"4,758"	16.6	6	0	265	0.9	304	1.1	"2,242"	55	2	3
One or more in-school suspensions total	"28,802"	100	133	0.5	"28,669"	99.5	769	2.7	366	1.3	"2,976"	10.4	"4,942"	17.2	"18,776"	65.5	20	0.1	820	2.9	"1,207"	4.2	"2,242"	55	2	3
Only one out-of-school suspension on males	"18,484"	67.3	83	0.3	"18,401"	67	408	1.5	262	1	"2,247"	8.2	"6,357"	23.3	"8,720"	31.9	10	0	397	1.5	"1,033"	3.8	"2,242"	55	2	3
Only one out-of-school suspension on females	"8,968"	32.7	32	0.1	"8,936"	32.6	219	0.8	63	0.2	"1,020"	3.7	"4,453"	16.3	"2,986"	10.9	6	0	189	0.7	371	1.4	"2,242"	55	2	3
Only one out-of-school suspension total	"27,452"	100	115	0.4	"27,337"	99.6	627	2.3	325	1.2	"3,267"	12	"10,810"	39.5	"11,706"	42.8	16	0.1	586	2.1	"1,404"	5.1	"2,242"	55	2	3
More than one out-of-school suspension on males	"14,009"	70.7	64	0.3	"13,945"	70.4	267	1.4	98	0.5	"1,456"	7.4	"7,380"	37.4	"4,478"	22.7	4	0	262	1.3	574	2.9	"2,242"	55	2	3
More than one out-of-school suspension on females	"5,796"	29.3	24	0.1	"5,772"	29.1	116	0.6	21	0.1	490	2.5	"3,854"	19.5	"1,178"	6	0	0	113	0.6	141	0.7	"2,242"	55	2	3
More than one out-of-school suspension total	"19,805"	100	88	0.4	"19,717"	99.6	383	1.9	119	0.6	"1,946"	9.9	"11,234"	57	"5,656"	28.7	4	0	375	1.9	715	3.6	"2,242"	55	2	3
One or more out-of-school suspensions on males	"32,479"	68.8	148	0.3	"32,331"	68.5	677	1.4	361	0.8	"3,709"	7.9	"13,726"	29.2	"13,190"	28	14	0	654	1.4	"1,607"	3.4	"2,242"	55	2	3
One or more out-of-school suspensions on females	"14,752"	31.2	55	0.1	"14,697"	31.1	334	0.7	85	0.2	"1,511"	3.2	"8,297"	17.6	"4,164"	8.9	6	0	300	0.6	511	1.1	"2,242"	55	2	3
One or more out-of-school suspensions total	"47,231"	100	203	0.4	"47,028"	99.6	"1,011"	2.1	446	0.9	"5,220"	11.1	"22,023"	46.8	"17,354"	36.9	20	0	954	2	"2,118"	4.5	"2,242"	55	2	3
Expulsions with educational services on males	723	72.9	0	0	723	72.9	13	1.3	DS	0.2	66	6.7	156	15.7	475	47.9	0	0	11	1.1	30	3	"2,242"	55	2	3
Expulsions with educational services on females	269	27.1	0	0	269	27.1	7	0.7	DS	0.2	16	1.6	43	4.3	191	19.3	DS	0.2	8	0.8	4	0.4	"2,242"	55	2	3
