Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	32	80	DS	5	30	75	DS	5.6	0	0	DS	5.6	4	11.1	22	61.1	0	0	0	0	0	0	"1,984"	51	3	5
Corporal punishment on females	8	20	DS	5	6	15	0	0	0	0	0	0	DS	5.6	DS	5.6	0	0	DS	5.6	0	0	"1,984"	51	3	5
Corporal punishment total	40	100	4	10	36	90	DS	5.6	0	0	DS	5.6	6	16.7	24	66.7	0	0	DS	5.6	0	0	"1,984"	51	3	5
One or more in-school suspensions on males	"14,316"	77.6	741	4	"13,575"	73.6	49	0.3	101	0.6	"1,027"	5.9	"5,669"	32.5	"6,312"	36.1	9	0.1	408	2.3	508	2.8	"1,984"	51	3	5
One or more in-school suspensions on females	"4,124"	22.4	238	1.3	"3,886"	21.1	10	0.1	21	0.1	323	1.8	"1,804"	10.3	"1,608"	9.2	DS	0	118	0.7	148	0.8	"1,984"	51	3	5
One or more in-school suspensions total	"18,440"	100	979	5.3	"17,461"	94.7	59	0.3	122	0.7	"1,350"	7.7	"7,473"	42.8	"7,920"	45.4	11	0.1	526	3	656	3.6	"1,984"	51	3	5
Only one out-of-school suspension on males	"8,337"	77.6	460	4.3	"7,877"	73.3	34	0.3	69	0.7	607	6	"3,395"	33.6	"3,523"	34.9	5	0	244	2.4	320	3	"1,984"	51	3	5
Only one out-of-school suspension on females	"2,402"	22.4	176	1.6	"2,226"	20.7	10	0.1	7	0.1	157	1.6	"1,128"	11.2	848	8.4	DS	0	74	0.7	70	0.7	"1,984"	51	3	5
Only one out-of-school suspension total	"10,739"	100	636	5.9	"10,103"	94.1	44	0.4	76	0.8	764	7.6	"4,523"	44.8	"4,371"	43.3	7	0.1	318	3.1	390	3.6	"1,984"	51	3	5
More than one out-of-school suspension on males	"8,239"	81.9	427	4.2	"7,812"	77.7	27	0.3	31	0.3	419	4.4	"4,144"	43.5	"2,908"	30.5	5	0.1	278	2.9	173	1.7	"1,984"	51	3	5
More than one out-of-school suspension on females	"1,819"	18.1	97	1	"1,722"	17.1	DS	0	5	0.1	83	0.9	"1,092"	11.5	493	5.2	0	0	47	0.5	30	0.3	"1,984"	51	3	5
More than one out-of-school suspension total	"10,058"	100	524	5.2	"9,534"	94.8	29	0.3	36	0.4	502	5.3	"5,236"	54.9	"3,401"	35.7	5	0.1	325	3.4	203	2	"1,984"	51	3	5
One or more out-of-school suspensions on males	"16,586"	79.8	887	4.3	"15,699"	75.5	61	0.3	100	0.5	"1,023"	5.2	"7,546"	38.4	"6,435"	32.8	10	0.1	524	2.7	498	2.4	"1,984"	51	3	5
