Year,State,Nation_ID,State_ID,Region_ID,Division_ID,Personnel Type,"Teachers (Highly Qualified)/Paraprofessionals (Qualified)","Teachers (Not Highly Qualified)/Paraprofessionals (Not Qualified)",Teachers/Paraprofessionals Total,Fully Certified,Not Fully Certified,Fully Certified/Not Fully Certified Total
2011,Alabama,,1,3,6,Audiologists,N/A,N/A,N/A,10.2,0,10.2
2011,Alabama,,1,3,6,Counselors and Rehabilitation Counselors,N/A,N/A,N/A,276.7,0,276.7
2011,Alabama,,1,3,6,Interpreters,N/A,N/A,N/A,77.2,0,77.2
2011,Alabama,,1,3,6,Medical/Nursing Service Staff,N/A,N/A,N/A,666,0,666
2011,Alabama,,1,3,6,Occupational Therapists,N/A,N/A,N/A,139.6,0,139.6
2011,Alabama,,1,3,6,Orientation and Mobility Specialists,N/A,N/A,N/A,14.5,0,14.5
2011,Alabama,,1,3,6,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,N/A,N/A,N/A,295.3,0,295.3
2011,Alabama,,1,3,6,Physical Therapists,N/A,N/A,N/A,85.5,0,85.5
2011,Alabama,,1,3,6,Psychologists,N/A,N/A,N/A,81.4,0,81.4
2011,Alabama,,1,3,6,Social Workers,N/A,N/A,N/A,69.9,0,69.9
2011,Alabama,,1,3,6,Speech-Language Pathologists,N/A,N/A,N/A,770.2,0,770.2
2011,Alabama,,1,3,6,Special Education Paraprofessionals for Ages 3-5,316.3,14,330.3,N/A,N/A,N/A
2011,Alabama,,1,3,6,Special Education Paraprofessionals for Ages 6-21,3779.7,251.5,4031.2,N/A,N/A,N/A
2011,Alabama,,1,3,6,Special Education Teachers for Ages 3-5,282.7,14.1,296.8,N/A,N/A,N/A
2011,Alabama,,1,3,6,Special Education Teachers for Ages 6-21,4539.2,401.4,4940.6,N/A,N/A,N/A
2011,Alabama,,1,3,6,Total Special Education Paraprofessionals,4096,265.5,4361.5,N/A,N/A,N/A
2011,Alabama,,1,3,6,Total Special Education Teachers,4821.9,415.5,5237.4,N/A,N/A,N/A
2011,Alaska,,2,4,9,Audiologists,N/A,N/A,N/A,5.5,0,5.5
2011,Alaska,,2,4,9,Counselors and Rehabilitation Counselors,N/A,N/A,N/A,0,0,0
2011,Alaska,,2,4,9,Interpreters,N/A,N/A,N/A,22.38,0,22.38
2011,Alaska,,2,4,9,Medical/Nursing Service Staff,N/A,N/A,N/A,14.71,0,14.71
2011,Alaska,,2,4,9,Occupational Therapists,N/A,N/A,N/A,39.4,0,39.4
2011,Alaska,,2,4,9,Orientation and Mobility Specialists,N/A,N/A,N/A,10.49,1.5,11.99
2011,Alaska,,2,4,9,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,N/A,N/A,N/A,11,2.04,13.04
2011,Alaska,,2,4,9,Physical Therapists,N/A,N/A,N/A,15.8,0,15.8
2011,Alaska,,2,4,9,Psychologists,N/A,N/A,N/A,85.9,5,90.9
2011,Alaska,,2,4,9,Social Workers,N/A,N/A,N/A,0,0,0
2011,Alaska,,2,4,9,Speech-Language Pathologists,N/A,N/A,N/A,157.83,3,160.83
2011,Alaska,,2,4,9,Special Education Paraprofessionals for Ages 3-5,152.8,3,155.8,N/A,N/A,N/A
2011,Alaska,,2,4,9,Special Education Paraprofessionals for Ages 6-21,1309.53,30.92,1340.45,N/A,N/A,N/A
2011,Alaska,,2,4,9,Special Education Teachers for Ages 3-5,63.07,15.5,78.57,N/A,N/A,N/A
2011,Alaska,,2,4,9,Special Education Teachers for Ages 6-21,982.76,99.01,1081.77,N/A,N/A,N/A
2011,Alaska,,2,4,9,Total Special Education Paraprofessionals,1462.33,33.92,1496.25,N/A,N/A,N/A
2011,Alaska,,2,4,9,Total Special Education Teachers,1045.83,114.51,1160.34,N/A,N/A,N/A
2011,American Samoa,,60,,,Audiologists,N/A,N/A,N/A,0,0,0
2011,American Samoa,,60,,,Counselors and Rehabilitation Counselors,N/A,N/A,N/A,N/A,N/A,N/A
2011,American Samoa,,60,,,Interpreters,N/A,N/A,N/A,N/A,N/A,N/A
2011,American Samoa,,60,,,Medical/Nursing Service Staff,N/A,N/A,N/A,N/A,N/A,N/A
2011,American Samoa,,60,,,Occupational Therapists,N/A,N/A,N/A,1,0,1
2011,American Samoa,,60,,,Orientation and Mobility Specialists,N/A,N/A,N/A,N/A,N/A,N/A
2011,American Samoa,,60,,,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,N/A,N/A,N/A,0,0,0
2011,American Samoa,,60,,,Physical Therapists,N/A,N/A,N/A,N/A,N/A,N/A
2011,American Samoa,,60,,,Psychologists,N/A,N/A,N/A,7,0,7
2011,American Samoa,,60,,,Social Workers,N/A,N/A,N/A,1,0,1
2011,American Samoa,,60,,,Speech-Language Pathologists,N/A,N/A,N/A,N/A,N/A,N/A
2011,American Samoa,,60,,,Special Education Paraprofessionals for Ages 3-5,0,5,5,N/A,N/A,N/A
2011,American Samoa,,60,,,Special Education Paraprofessionals for Ages 6-21,0,0,0,N/A,N/A,N/A
2011,American Samoa,,60,,,Special Education Teachers for Ages 3-5,4,10,14,N/A,N/A,N/A
2011,American Samoa,,60,,,Special Education Teachers for Ages 6-21,85,94,179,N/A,N/A,N/A
2011,American Samoa,,60,,,Total Special Education Paraprofessionals,0,5,5,N/A,N/A,N/A
2011,American Samoa,,60,,,Total Special Education Teachers,89,104,193,N/A,N/A,N/A
2011,Arizona,,4,4,8,Audiologists,N/A,N/A,N/A,46.38,4,50.38
2011,Arizona,,4,4,8,Counselors and Rehabilitation Counselors,N/A,N/A,N/A,459.01,8.97,467.98
2011,Arizona,,4,4,8,Interpreters,N/A,N/A,N/A,186.19,25.13,211.32
2011,Arizona,,4,4,8,Medical/Nursing Service Staff,N/A,N/A,N/A,443.76,47.6,491.36
2011,Arizona,,4,4,8,Occupational Therapists,N/A,N/A,N/A,387.34,10.37,397.71
2011,Arizona,,4,4,8,Orientation and Mobility Specialists,N/A,N/A,N/A,36.08,4,40.08
2011,Arizona,,4,4,8,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,N/A,N/A,N/A,285.5,10.32,295.82
2011,Arizona,,4,4,8,Physical Therapists,N/A,N/A,N/A,173.83,3.04,176.87
2011,Arizona,,4,4,8,Psychologists,N/A,N/A,N/A,897.38,21.67,919.05
2011,Arizona,,4,4,8,Social Workers,N/A,N/A,N/A,161.46,4,165.46
2011,Arizona,,4,4,8,Speech-Language Pathologists,N/A,N/A,N/A,1228.98,83.14,1312.12
2011,Arizona,,4,4,8,Special Education Paraprofessionals for Ages 3-5,940.78,125.44,1066.22,N/A,N/A,N/A
2011,Arizona,,4,4,8,Special Education Paraprofessionals for Ages 6-21,6547.96,723.78,7271.74,N/A,N/A,N/A
2011,Arizona,,4,4,8,Special Education Teachers for Ages 3-5,672.55,28.69,701.24,N/A,N/A,N/A
2011,Arizona,,4,4,8,Special Education Teachers for Ages 6-21,6071.79,268.48,6340.27,N/A,N/A,N/A
2011,Arizona,,4,4,8,Total Special Education Paraprofessionals,7488.74,849.22,8337.96,N/A,N/A,N/A
2011,Arizona,,4,4,8,Total Special Education Teachers,6744.34,297.17,7041.51,N/A,N/A,N/A
2011,Arkansas,,5,3,7,Audiologists,N/A,N/A,N/A,5.82,0,5.82
2011,Arkansas,,5,3,7,Counselors and Rehabilitation Counselors,N/A,N/A,N/A,22.86,1,23.86
