,Total Revenue,Federal Revenue,State Revenue,Local Revenue,Property taxes,Other public revenue,Private,Total Revenue per pupil,Federal Revenue per pupil,State Revenue per pupil,Local Revenue per pupil,Property taxes per pupil,Other public revenue per pupil,Private Revenue per pupil,Nation_ID
Current dollars,,,,,,,,,,,,,,,US_National
1919-20 ,"$970,121 ","$2,475 ","$160,085 ","$807,561 ",N/A,N/A,N/A,$45 ,N/A,$7 ,$37 ,N/A,N/A,N/A,US_National
1929-30 ,"2,088,557","7,334","353,670","1,727,553",N/A,N/A,N/A,81,N/A,14,67,N/A,N/A,N/A,US_National
1939-40 ,"2,260,527","39,810","684,354","1,536,363",N/A,N/A,N/A,89,$2 ,27,60,N/A,N/A,N/A,US_National
1949-50 ,"5,437,044","155,848","2,165,689","3,115,507",N/A,N/A,N/A,217,6,86,124,N/A,N/A,N/A,US_National
1959-60 ,"14,746,618","651,639","5,768,047","8,326,932",N/A,N/A,N/A,419,19,164,237,N/A,N/A,N/A,US_National
1969-70 ,"40,266,922","3,219,557","16,062,776","20,984,589",N/A,N/A,N/A,884,71,353,461,N/A,N/A,N/A,US_National
1979-80 ,"96,881,164","9,503,537","45,348,814","42,028,813",N/A,N/A,N/A,"2,326",228,"1,089","1,009",N/A,N/A,N/A,US_National
1989-90 ,"208,547,573","12,700,784","98,238,633","97,608,157","$74,867,627 ","$17,084,494 ","$5,656,036 ","5,144",313,"2,423","2,408","$1,847 ",$421 ,$140 ,US_National
1993-94 ,"260,159,468","18,341,483","117,474,209","124,343,776","97,762,990","19,661,128","6,919,657","5,986",422,"2,703","2,861","2,249",452,159,US_National
1994-95 ,"273,149,449","18,582,157","127,729,576","126,837,717","97,978,129","21,560,162","7,299,425","6,192",421,"2,896","2,875","2,221",489,165,US_National
1995-96 ,"287,702,844","19,104,019","136,670,754","131,928,071","101,785,858","22,522,345","7,619,869","6,416",426,"3,048","2,942","2,270",502,170,US_National
1996-97 ,"305,065,192","20,081,287","146,435,584","138,548,321","106,545,881","24,288,693","7,713,747","6,688",440,"3,211","3,038","2,336",533,169,US_National
1997-98 ,"325,925,708","22,201,965","157,645,372","146,078,370","111,184,150","26,676,244","8,217,977","7,066",481,"3,418","3,167","2,410",578,178,US_National
1998-99 ,"347,377,993","24,521,817","169,298,232","153,557,944","119,483,487","25,348,879","8,725,578","7,464",527,"3,638","3,300","2,567",545,187,US_National
1999-2000 ,"372,943,802","27,097,866","184,613,352","161,232,584","124,735,516","27,628,923","8,868,145","7,959",578,"3,940","3,441","2,662",590,189,US_National
2000-01 ,"401,356,120","29,100,183","199,583,097","172,672,840","132,575,925","30,889,273","9,207,643","8,503",616,"4,228","3,658","2,809",654,195,US_National
2001-02 ,"419,501,976","33,144,633","206,541,793","179,815,551","141,095,685","28,924,825","9,795,041","8,800",695,"4,333","3,772","2,960",607,205,US_National
2002-03 ,"440,111,653","37,515,909","214,277,407","188,318,337","148,511,786","29,579,240","10,227,310","9,134",779,"4,447","3,908","3,082",614,212,US_National
2003-04 ,"462,026,099","41,923,435","217,384,191","202,718,474","160,602,055","31,651,489","10,464,930","9,518",864,"4,478","4,176","3,309",652,216,US_National
2004-05 ,"487,753,525","44,809,532","228,553,579","214,390,414","167,909,883","35,433,486","11,047,044","9,996",918,"4,684","4,394","3,441",726,226,US_National
2005-06 ,"520,621,788","47,553,778","242,151,076","230,916,934","178,279,408","41,111,066","11,526,460","10,600",968,"4,930","4,702","3,630",837,235,US_National
2006-07 ,"555,710,762","47,150,608","263,608,741","244,951,413","188,287,298","44,806,422","11,857,694","11,281",957,"5,351","4,972","3,822",910,241,US_National
2007-08 ,"584,683,686","47,788,467","282,622,523","254,272,697","196,521,569","45,314,965","12,436,163","11,879",971,"5,742","5,166","3,993",921,253,US_National
2008-09 ,"592,422,033","56,670,261","276,525,603","259,226,169","205,821,844","41,195,313","12,209,012","12,032","1,151","5,616","5,265","4,180",837,248,US_National
2009-10 ,"596,390,664","75,997,858","258,863,973","261,528,833","210,837,095","38,771,186","11,920,551","12,089","1,540","5,247","5,301","4,274",786,242,US_National
2010-11 ,"604,228,585","75,549,471","266,786,402","261,892,711","211,649,523","38,558,755","11,684,433","12,218","1,528","5,395","5,296","4,280",780,236,US_National
2011-12 ,"597,885,111","60,921,462","269,043,077","267,920,572","215,830,316","40,290,007","11,800,249","12,075","1,230","5,434","5,411","4,359",814,238,US_National
2012-13 ,"603,769,917","55,860,888","273,215,485","274,693,545","221,970,384","41,129,568","11,593,592","12,137","1,123","5,492","5,522","4,462",827,233,US_National
2013-14,"623,649,738","54,505,981","288,637,122","280,506,635","227,019,185","41,943,022","11,544,428","12,469","1,090","5,771","5,608","4,539",839,231,US_National
2014-15 ,"647,679,130","55,002,853","301,529,692","291,146,585","235,870,943","43,978,246","11,297,396","12,884","1,094","5,998","5,792","4,692",875,225,US_National
Constant 2016-17 dollars,,,,,,,,,,,,,,,US_National
1919-20 ,"$12,352,066 ","$31,513 ","$2,038,282 ","$10,282,271 ",N/A,N/A,N/A,$572 ,$1 ,$94 ,$477 ,N/A,N/A,N/A,US_National
1929-30 ,"29,608,044","103,969","5,013,738","24,490,337",N/A,N/A,N/A,"1,153",4,195,954,N/A,N/A,N/A,US_National
1939-40 ,"39,250,836","691,244","11,882,834","26,676,759",N/A,N/A,N/A,"1,543",27,467,"1,049",N/A,N/A,N/A,US_National
1949-50 ,"55,707,949","1,596,818","22,189,648","31,921,482",N/A,N/A,N/A,"2,218",64,884,"1,271",N/A,N/A,N/A,US_National
1959-60 ,"121,783,185","5,381,483","47,634,728","68,766,974",N/A,N/A,N/A,"3,461",153,"1,354","1,955",N/A,N/A,N/A,US_National
1969-70 ,"258,663,408","20,681,531","103,182,766","134,799,111",N/A,N/A,N/A,"5,679",454,"2,265","2,959",N/A,N/A,N/A,US_National
1979-80 ,"302,819,622","29,705,026","141,745,930","131,368,666",N/A,N/A,N/A,"7,270",713,"3,403","3,154",N/A,N/A,N/A,US_National
