Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	39	79.6	14	28.6	0	0	15	30.6	0	0	5	10.2	0	0	5	10.2	0	0	"2,256"	53	4	9
Corporal punishment on females	10	20.4	DS	4.1	0	0	6	12.2	0	0	DS	4.1	0	0	0	0	0	0	"2,256"	53	4	9
Corporal punishment total	49	100	16	32.7	0	0	21	42.9	0	0	7	14.3	0	0	5	10.2	0	0	"2,256"	53	4	9
One or more in-school suspensions on males	"20,438"	70	556	1.9	506	1.7	"4,870"	16.7	"1,295"	4.4	"11,795"	40.4	211	0.7	"1,205"	4.1	"1,595"	5.5	"2,256"	53	4	9
One or more in-school suspensions on females	"8,755"	30	329	1.1	184	0.6	"2,205"	7.6	581	2	"4,751"	16.3	118	0.4	587	2	516	1.8	"2,256"	53	4	9
One or more in-school suspensions total	"29,193"	100	885	3	690	2.4	"7,075"	24.2	"1,876"	6.4	"16,546"	56.7	329	1.1	"1,792"	6.1	"2,111"	7.2	"2,256"	53	4	9
Only one out-of-school suspension on males	"19,109"	69.9	384	1.4	720	2.6	"4,599"	16.8	"1,666"	6.1	"10,257"	37.5	270	1	"1,213"	4.4	"1,656"	6.1	"2,256"	53	4	9
Only one out-of-school suspension on females	"8,219"	30.1	272	1	207	0.8	"2,095"	7.7	884	3.2	"4,095"	15	127	0.5	539	2	543	2	"2,256"	53	4	9
Only one out-of-school suspension total	"27,328"	100	656	2.4	927	3.4	"6,694"	24.5	"2,550"	9.3	"14,352"	52.5	397	1.5	"1,752"	6.4	"2,199"	8	"2,256"	53	4	9
More than one out-of-school suspension on males	"11,284"	74.6	316	2.1	243	1.6	"2,843"	18.8	"1,204"	8	"5,838"	38.6	131	0.9	709	4.7	"1,025"	6.8	"2,256"	53	4	9
