,,,,,,,,,,,,,,,,,,,,,,,,,
,"Number and percentage of public school students not served under IDEA subjected to restraint or seclusion, by race/ethnicity, whether served under Section 504, and English proficiency, by gender and whether restrained or secluded, for state: School Year 2011-12",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Restraint or Seclusion,Gender,Total Students,,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,
,,,,Number,Percent,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,,
not served under the Individuals with Disabilities Education Act (IDEA) subjected to,West Virginia,,Male,9 ,100.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,22.2 ,7 ,77.8 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 
not served under the Individuals with Disabilities Education Act (IDEA) subjected to,West Virginia,Mechanical restraint,Female,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 
not served under the Individuals with Disabilities Education Act (IDEA) subjected to,West Virginia,,Total,9 ,100.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,22.2 ,7 ,77.8 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 
not served under the Individuals with Disabilities Education Act (IDEA) subjected to,West Virginia,,Male,102 ,72.3 ,0 ,0.0 ,0 ,0.0 ,1-3 ,1.4 ,11 ,7.8 ,87 ,61.7 ,0 ,0.0 ,1-3 ,1.4 ,1-3 ,1.4 ,0 ,0.0 ,733 ,100.0 
not served under the Individuals with Disabilities Education Act (IDEA) subjected to,West Virginia,Physical restraint,Female,39 ,27.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,5 ,3.5 ,34 ,24.1 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 
not served under the Individuals with Disabilities Education Act (IDEA) subjected to,West Virginia,,Total,141 ,100.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,1.4 ,16 ,11.3 ,121 ,85.8 ,0 ,0.0 ,1-3 ,1.4 ,1-3 ,1.4 ,0 ,0.0 ,733 ,100.0 
not served under the Individuals with Disabilities Education Act (IDEA) subjected to,West Virginia,,Male,65 ,81.3 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,2.5 ,61 ,76.3 ,0 ,0.0 ,1-3 ,2.5 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 
not served under the Individuals with Disabilities Education Act (IDEA) subjected to,West Virginia,Seclusion,Female,15 ,18.8 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,2.5 ,13 ,16.3 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 
not served under the Individuals with Disabilities Education Act (IDEA) subjected to,West Virginia,,Total,80 ,100.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,4 ,5.0 ,74 ,92.5 ,0 ,0.0 ,1-3 ,2.5 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 
,,,,,,,,,,,,,,,,,,,,,,,,,
,"NOTE: Table reads:  Of all 9 public school students not served under the Individuals with Disabilities Education Act (IDEA) subjected to mechanical restraint, 0 (0.0%) were American Indian or Alaska Native.",,,,,,,,,,,,,,,,,,,,,,,,
,             Students not served under IDEA are the students without disabilities and those with disabilities served solely under Section 504 of the Rehabilitation Act of 1973.,,,,,,,,,,,,,,,,,,,,,,,,
,"            The ‘1-3’ reference indicates that the data have been suppressed based on the schools’ reported n-size, and that the midpoint was used to calculate the total.",,,,,,,,,,,,,,,,,,,,,,,,
,"SOURCE: U.S. Department of Education, Office for Civil Rights, Civil Rights Data Collection, 2011-12, available at http://ocrdata.ed.gov. Data notes are available at http://ocrdata.ed.gov/downloads/DataNotes.docx",,,,,,,,,,,,,,,,,,,,,,,,
