Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	33	89.2	DS	5.4	31	83.8	0	0	0	0	0	0	15	42.9	14	40	0	0	DS	5.7	0	0	"1,219"	45	3	5
Corporal punishment on females	4	10.8	0	0	4	10.8	0	0	0	0	0	0	DS	5.7	DS	5.7	0	0	0	0	0	0	"1,219"	45	3	5
Corporal punishment total	37	100	DS	5.4	35	94.6	0	0	0	0	0	0	17	48.6	16	45.7	0	0	DS	5.7	0	0	"1,219"	45	3	5
One or more in-school suspensions on males	"12,325"	77	716	4.5	"11,609"	72.6	36	0.2	22	0.1	369	2.4	"6,205"	41.2	"4,719"	31.3	11	0.1	247	1.6	232	1.5	"1,219"	45	3	5
One or more in-school suspensions on females	"3,672"	23	211	1.3	"3,461"	21.6	16	0.1	6	0	102	0.7	"2,036"	13.5	"1,216"	8.1	DS	0	83	0.6	67	0.4	"1,219"	45	3	5
One or more in-school suspensions total	"15,997"	100	927	5.8	"15,070"	94.2	52	0.3	28	0.2	471	3.1	"8,241"	54.7	"5,935"	39.4	13	0.1	330	2.2	299	1.9	"1,219"	45	3	5
Only one out-of-school suspension on males	"5,477"	76.5	268	3.7	"5,209"	72.7	10	0.1	19	0.3	199	2.9	"2,815"	41.3	"2,044"	30	8	0.1	114	1.7	135	1.9	"1,219"	45	3	5
Only one out-of-school suspension on females	"1,687"	23.5	81	1.1	"1,606"	22.4	7	0.1	DS	0	40	0.6	971	14.2	554	8.1	4	0.1	28	0.4	26	0.4	"1,219"	45	3	5
Only one out-of-school suspension total	"7,164"	100	349	4.9	"6,815"	95.1	17	0.2	21	0.3	239	3.5	"3,786"	55.6	"2,598"	38.1	12	0.2	142	2.1	161	2.2	"1,219"	45	3	5
More than one out-of-school suspension on males	"7,129"	81.4	375	4.3	"6,754"	77.1	15	0.2	7	0.1	164	2	"4,233"	51.1	"2,220"	26.8	7	0.1	108	1.3	114	1.3	"1,219"	45	3	5
