Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
Corporal punishment for males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,44,1,1
Corporal punishment for females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,44,1,1
Corporal punishment total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,44,1,1
One or more in-school suspensions for males,"1,155",73.1,22,1.4,"1,133",71.7,20,1.3,15,1,361,23.2,140,9,547,35.2,5,0.3,45,2.9,56,3.5,291,44,1,1
One or more in-school suspensions for females,425,26.9,DS,0.1,423,26.8,DS,0.1,DS,0.1,120,7.7,59,3.8,220,14.1,DS,0.1,18,1.2,21,1.3,291,44,1,1
One or more in-school suspensions total,"1,580",100,24,1.5,"1,556",98.5,22,1.4,17,1.1,481,30.9,199,12.8,767,49.3,7,0.4,63,4,77,4.9,291,44,1,1
Only one out-of-school suspension for males,"1,158",75.6,24,1.6,"1,134",74,15,1,15,1,367,24.5,163,10.9,523,35,DS,0.1,49,3.3,53,3.5,291,44,1,1
Only one out-of-school suspension for females,374,24.4,13,0.8,361,23.6,4,0.3,DS,0.1,101,6.8,54,3.6,176,11.8,5,0.3,19,1.3,9,0.6,291,44,1,1
Only one out-of-school suspension total,"1,532",100,37,2.4,"1,495",97.6,19,1.3,17,1.1,468,31.3,217,14.5,699,46.8,7,0.5,68,4.5,62,4,291,44,1,1
More than one out-of-school suspension for males,"1,331",78.4,22,1.3,"1,309",77.1,22,1.3,14,0.8,458,27.4,229,13.7,541,32.3,6,0.4,39,2.3,59,3.5,291,44,1,1
