Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
Corporal punishment for males,"1,518",84.6,62,3.5,"1,456",81.1,0,0,0,0,36,2.1,775,45,605,35.1,0,0,40,2.3,10,0.6,"2,422",13,3,5
Corporal punishment for females,277,15.4,10,0.6,267,14.9,0,0,0,0,8,0.5,177,10.3,75,4.4,0,0,7,0.4,6,0.3,"2,422",13,3,5
Corporal punishment total,"1,795",100,72,4,"1,723",96,0,0,0,0,44,2.6,952,55.3,680,39.5,0,0,47,2.7,16,0.9,"2,422",13,3,5
One or more in-school suspensions for males,"22,998",77.5,586,2,"22,412",75.5,59,0.2,109,0.4,"1,926",6.7,"11,118",38.5,"8,553",29.6,15,0.1,632,2.2,416,1.4,"2,422",13,3,5
One or more in-school suspensions for females,"6,677",22.5,191,0.6,"6,486",21.9,18,0.1,24,0.1,536,1.9,"3,631",12.6,"2,068",7.2,5,0,204,0.7,128,0.4,"2,422",13,3,5
One or more in-school suspensions total,"29,675",100,777,2.6,"28,898",97.4,77,0.3,133,0.5,"2,462",8.5,"14,749",51,"10,621",36.8,20,0.1,836,2.9,544,1.8,"2,422",13,3,5
Only one out-of-school suspension for males,"10,174",79.4,199,1.6,"9,975",77.9,18,0.1,52,0.4,816,6.5,"5,551",44.2,"3,223",25.7,12,0.1,303,2.4,223,1.7,"2,422",13,3,5
Only one out-of-school suspension for females,"2,636",20.6,56,0.4,"2,580",20.1,4,0,13,0.1,205,1.6,"1,635",13,646,5.1,DS,0,75,0.6,48,0.4,"2,422",13,3,5
Only one out-of-school suspension total,"12,810",100,255,2,"12,555",98,22,0.2,65,0.5,"1,021",8.1,"7,186",57.2,"3,869",30.8,14,0.1,378,3,271,2.1,"2,422",13,3,5
More than one out-of-school suspension for males,"9,788",80.5,163,1.3,"9,625",79.1,11,0.1,27,0.2,541,4.5,"6,372",53.3,"2,374",19.9,7,0.1,293,2.5,138,1.1,"2,422",13,3,5
More than one out-of-school suspension for females,"2,373",19.5,45,0.4,"2,328",19.1,DS,0,DS,0,113,0.9,"1,778",14.9,355,3,5,0,73,0.6,23,0.2,"2,422",13,3,5
More than one out-of-school suspension total,"12,161",100,208,1.7,"11,953",98.3,13,0.1,29,0.2,654,5.5,"8,150",68.2,"2,729",22.8,12,0.1,366,3.1,161,1.3,"2,422",13,3,5
One or more out-of-school suspensions for males,"19,963",80,362,1.5,"19,601",78.5,29,0.1,79,0.3,"1,359",5.5,"11,914",48.6,"5,604",22.9,19,0.1,597,2.4,360,1.4,"2,422",13,3,5
One or more out-of-school suspensions for females,"5,002",20,100,0.4,"4,902",19.6,7,0,16,0.1,319,1.3,"3,411",13.9,998,4.1,8,0,143,0.6,71,0.3,"2,422",13,3,5
One or more out-of-school suspensions total,"24,965",100,462,1.9,"24,503",98.1,36,0.1,95,0.4,"1,678",6.8,"15,325",62.5,"6,602",26.9,27,0.1,740,3,431,1.7,"2,422",13,3,5
Expulsions with educational services for males,329,87.5,5,1.3,324,86.2,0,0,0,0,8,2.2,216,58.5,86,23.3,DS,0.5,12,3.3,DS,0.5,"2,422",13,3,5
Expulsions with educational services for females,47,12.5,DS,0.5,45,12,0,0,0,0,DS,0.5,31,8.4,10,2.7,0,0,DS,0.5,0,0,"2,422",13,3,5
Expulsions with educational services total,376,100,7,1.9,369,98.1,0,0,0,0,10,2.7,247,66.9,96,26,DS,0.5,14,3.8,DS,0.5,"2,422",13,3,5
Expulsions without educational services for males,136,85.5,4,2.5,132,83,0,0,0,0,11,7.2,93,60.8,24,15.7,0,0,4,2.6,DS,1.3,"2,422",13,3,5
Expulsions without educational services for females,23,14.5,DS,1.3,21,13.2,0,0,0,0,DS,1.3,12,7.8,5,3.3,0,0,DS,1.3,0,0,"2,422",13,3,5
Expulsions without educational services total,159,100,6,3.8,153,96.2,0,0,0,0,13,8.5,105,68.6,29,19,0,0,6,3.9,DS,1.3,"2,422",13,3,5
Expulsions with or without educational services for males,467,87.3,9,1.7,458,85.6,0,0,0,0,18,3.4,312,59.5,111,21.2,DS,0.4,15,2.9,DS,0.4,"2,422",13,3,5
Expulsions with or without educational services for females,68,12.7,DS,0.4,66,12.3,0,0,0,0,4,0.8,43,8.2,15,2.9,0,0,4,0.8,0,0,"2,422",13,3,5
Expulsions with or without educational services total,535,100,11,2.1,524,97.9,0,0,0,0,22,4.2,355,67.7,126,24,DS,0.4,19,3.6,DS,0.4,"2,422",13,3,5
Expulsions under zero-tolerance policies for males,59,84.3,DS,2.9,57,81.4,0,0,0,0,DS,3,28,42.4,25,37.9,0,0,DS,3,DS,2.9,"2,422",13,3,5
Expulsions under zero-tolerance policies for females,11,15.7,DS,2.9,9,12.9,0,0,0,0,DS,3,DS,3,5,7.6,0,0,0,0,0,0,"2,422",13,3,5
Expulsions under zero-tolerance policies total,70,100,4,5.7,66,94.3,0,0,0,0,4,6.1,30,45.5,30,45.5,0,0,DS,3,DS,2.9,"2,422",13,3,5
Referral to law enforcement for males,859,79.1,12,1.1,847,78,DS,0.2,DS,0.2,46,4.3,446,41.8,323,30.2,DS,0.2,26,2.4,9,0.8,"2,422",13,3,5
Referral to law enforcement for females,227,20.9,6,0.6,221,20.3,0,0,0,0,10,0.9,133,12.5,72,6.7,0,0,6,0.6,DS,0.2,"2,422",13,3,5
Referral to law enforcement total,"1,086",100,18,1.7,"1,068",98.3,DS,0.2,DS,0.2,56,5.2,579,54.2,395,37,DS,0.2,32,3,11,1,"2,422",13,3,5
School-related arrests for males,625,78.2,6,0.8,619,77.5,DS,0.3,DS,0.3,56,7.1,295,37.3,230,29.1,DS,0.3,32,4,7,0.9,"2,422",13,3,5
School-related arrests for females,174,21.8,DS,0.3,172,21.5,0,0,0,0,12,1.5,100,12.6,58,7.3,0,0,DS,0.3,0,0,"2,422",13,3,5
School-related arrests total,799,100,8,1,791,99,DS,0.3,DS,0.3,68,8.6,395,49.9,288,36.4,DS,0.3,34,4.3,7,0.9,"2,422",13,3,5
