Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	26	100	0	0	26	100	DS	7.7	0	0	6	23.1	0	0	18	69.2	0	0	0	0	DS	7.7	"1,312"	41	4	9
Corporal punishment on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,312"	41	4	9
Corporal punishment total	26	100	0	0	26	100	DS	7.7	0	0	6	23.1	0	0	18	69.2	0	0	0	0	DS	7.7	"1,312"	41	4	9
One or more in-school suspensions on males	"4,758"	80.9	167	2.8	"4,591"	78.1	125	2.2	48	0.8	"1,065"	18.7	210	3.7	"2,884"	50.8	30	0.5	229	4	421	7.2	"1,312"	41	4	9
One or more in-school suspensions on females	"1,124"	19.1	34	0.6	"1,090"	18.5	37	0.7	5	0.1	257	4.5	66	1.2	678	11.9	DS	0	45	0.8	96	1.6	"1,312"	41	4	9
One or more in-school suspensions total	"5,882"	100	201	3.4	"5,681"	96.6	162	2.9	53	0.9	"1,322"	23.3	276	4.9	"3,562"	62.7	32	0.6	274	4.8	517	8.8	"1,312"	41	4	9
Only one out-of-school suspension on males	"3,426"	79.8	123	2.9	"3,303"	77	110	2.7	34	0.8	685	16.5	196	4.7	"2,100"	50.7	15	0.4	163	3.9	265	6.2	"1,312"	41	4	9
Only one out-of-school suspension on females	865	20.2	27	0.6	838	19.5	30	0.7	7	0.2	188	4.5	67	1.6	503	12.1	DS	0	41	1	62	1.4	"1,312"	41	4	9
Only one out-of-school suspension total	"4,291"	100	150	3.5	"4,141"	96.5	140	3.4	41	1	873	21.1	263	6.4	"2,603"	62.9	17	0.4	204	4.9	327	7.6	"1,312"	41	4	9
More than one out-of-school suspension on males	"2,741"	84.2	88	2.7	"2,653"	81.5	85	2.7	16	0.5	554	17.6	189	6	"1,642"	52.1	13	0.4	154	4.9	206	6.3	"1,312"	41	4	9
More than one out-of-school suspension on females	514	15.8	16	0.5	498	15.3	17	0.5	4	0.1	141	4.5	57	1.8	257	8.2	DS	0.1	20	0.6	45	1.4	"1,312"	41	4	9
More than one out-of-school suspension total	"3,255"	100	104	3.2	"3,151"	96.8	102	3.2	20	0.6	695	22.1	246	7.8	"1,899"	60.3	15	0.5	174	5.5	251	7.7	"1,312"	41	4	9
One or more out-of-school suspensions on males	"6,175"	81.8	211	2.8	"5,964"	79	194	2.7	48	0.7	"1,244"	17.1	385	5.3	"3,746"	51.3	28	0.4	319	4.4	476	6.3	"1,312"	41	4	9
One or more out-of-school suspensions on femakes	"1,374"	18.2	42	0.6	"1,332"	17.6	46	0.6	11	0.2	333	4.6	123	1.7	753	10.3	5	0.1	61	0.8	110	1.5	"1,312"	41	4	9
One or more out-of-school suspensions total	"7,549"	100	253	3.4	"7,296"	96.6	240	3.3	59	0.8	"1,577"	21.6	508	7	"4,499"	61.7	33	0.5	380	5.2	586	7.8	"1,312"	41	4	9
Expulsions with educational services on males	304	81.3	18	4.8	286	76.5	9	2.5	DS	0.6	58	16.4	8	2.3	198	55.9	DS	0.6	9	2.5	22	5.9	"1,312"	41	4	9
Expulsions with educational services on females	70	18.7	DS	0.5	68	18.2	DS	0.6	0	0	17	4.8	DS	0.6	43	12.1	DS	0.6	DS	0.6	6	1.6	"1,312"	41	4	9
Expulsions with educational services total	374	100	20	5.3	354	94.7	11	3.1	DS	0.6	75	21.2	10	2.8	241	68.1	4	1.1	11	3.1	28	7.5	"1,312"	41	4	9
Expulsions without educational services on males	34	89.5	4	10.5	30	78.9	DS	5.9	0	0	4	11.8	DS	5.9	18	52.9	DS	5.9	DS	5.9	DS	5.3	"1,312"	41	4	9
Expulsions without educational services on females	4	10.5	0	0	4	10.5	0	0	0	0	0	0	DS	5.9	DS	5.9	0	0	0	0	0	0	"1,312"	41	4	9
Expulsions without educational services total	38	100	4	10.5	34	89.5	DS	5.9	0	0	4	11.8	4	11.8	20	58.8	DS	5.9	DS	5.9	DS	5.3	"1,312"	41	4	9
Expulsions with or without educational services on males	336	82	22	5.4	314	76.6	10	2.6	DS	0.5	61	15.8	11	2.8	216	56	DS	0.5	12	3.1	23	5.6	"1,312"	41	4	9
Expulsions with or without educational services on females	74	18	DS	0.5	72	17.6	DS	0.5	0	0	16	4.1	4	1	46	11.9	DS	0.5	DS	0.5	6	1.5	"1,312"	41	4	9
Expulsions with or without educational services total	410	100	24	5.9	386	94.1	12	3.1	DS	0.5	77	19.9	15	3.9	262	67.9	4	1	14	3.6	29	7.1	"1,312"	41	4	9
Expulsions under zero-tolerance policies on males	86	81.1	6	5.7	80	75.5	DS	2	0	0	18	18.4	DS	2	56	57.1	0	0	DS	2	5	4.7	"1,312"	41	4	9
Expulsions under zero-tolerance policies on females	20	18.9	DS	1.9	18	17	0	0	0	0	4	4.1	0	0	12	12.2	0	0	DS	2	0	0	"1,312"	41	4	9
Expulsions under zero-tolerance policies total	106	100	8	7.5	98	92.5	DS	2	0	0	22	22.4	DS	2	68	69.4	0	0	4	4.1	5	4.7	"1,312"	41	4	9
Referral to law enforcement on males	260	81.5	10	3.1	250	78.4	7	2.3	0	0	50	16.3	7	2.3	177	57.7	0	0	9	2.9	14	4.4	"1,312"	41	4	9
Referral to law enforcement on females	59	18.5	DS	0.6	57	17.9	DS	0.7	0	0	15	4.9	0	0	38	12.4	0	0	DS	0.7	DS	0.6	"1,312"	41	4	9
Referral to law enforcement total	319	100	12	3.8	307	96.2	9	2.9	0	0	65	21.2	7	2.3	215	70	0	0	11	3.6	16	5	"1,312"	41	4	9
School-related arrests on males	60	85.7	4	5.7	56	80	DS	3.1	0	0	12	18.8	0	0	40	62.5	0	0	DS	3.1	4	5.7	"1,312"	41	4	9
School-related arrests on females	10	14.3	DS	2.9	8	11.4	0	0	0	0	4	6.3	0	0	DS	3.1	0	0	DS	3.1	DS	2.9	"1,312"	41	4	9
School-related arrests total	70	100	6	8.6	64	91.4	DS	3.1	0	0	16	25	0	0	42	65.6	0	0	4	6.3	6	8.6	"1,312"	41	4	9
