Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
Corporal punishment for males,87,90.6,DS,2.1,85,88.5,0,0,0,0,DS,2.2,7,7.6,74,80.4,0,0,DS,2.2,DS,2.1,"1,875",18,2,3
Corporal punishment for females,9,9.4,DS,2.1,7,7.3,DS,2.2,0,0,0,0,0,0,5,5.4,0,0,0,0,0,0,"1,875",18,2,3
Corporal punishment total,96,100,4,4.2,92,95.8,DS,2.2,0,0,DS,2.2,7,7.6,79,85.9,0,0,DS,2.2,DS,2.1,"1,875",18,2,3
One or more in-school suspensions for males,"12,771",75.8,337,2,"12,434",73.8,43,0.3,24,0.1,770,4.7,"2,642",16.1,"8,198",50,7,0,750,4.6,327,1.9,"1,875",18,2,3
One or more in-school suspensions for females,"4,078",24.2,124,0.7,"3,954",23.5,15,0.1,7,0,239,1.5,"1,005",6.1,"2,446",14.9,DS,0,240,1.5,116,0.7,"1,875",18,2,3
One or more in-school suspensions total,"16,849",100,461,2.7,"16,388",97.3,58,0.4,31,0.2,"1,009",6.2,"3,647",22.3,"10,644",64.9,9,0.1,990,6,443,2.6,"1,875",18,2,3
Only one out-of-school suspension for males,"7,991",76.9,183,1.8,"7,808",75.2,16,0.2,33,0.3,461,4.5,"1,929",19,"4,917",48.5,DS,0,450,4.4,207,2,"1,875",18,2,3
Only one out-of-school suspension for females,"2,394",23.1,55,0.5,"2,339",22.5,9,0.1,8,0.1,138,1.4,737,7.3,"1,312",12.9,DS,0,133,1.3,63,0.6,"1,875",18,2,3
Only one out-of-school suspension total,"10,385",100,238,2.3,"10,147",97.7,25,0.2,41,0.4,599,5.9,"2,666",26.3,"6,229",61.4,4,0,583,5.7,270,2.6,"1,875",18,2,3
More than one out-of-school suspension for males,"7,388",80.7,145,1.6,"7,243",79.1,29,0.3,8,0.1,403,4.5,"2,240",25,"4,122",46,DS,0,439,4.9,150,1.6,"1,875",18,2,3
More than one out-of-school suspension for females,"1,763",19.3,38,0.4,"1,725",18.9,7,0.1,4,0,100,1.1,658,7.3,864,9.6,DS,0,90,1,39,0.4,"1,875",18,2,3
More than one out-of-school suspension total,"9,151",100,183,2,"8,968",98,36,0.4,12,0.1,503,5.6,"2,898",32.3,"4,986",55.6,4,0,529,5.9,189,2.1,"1,875",18,2,3
One or more out-of-school suspensions for males,"15,380",78.7,327,1.7,"15,053",77,45,0.2,41,0.2,859,4.5,"4,172",21.8,"9,038",47.3,6,0,892,4.7,352,1.8,"1,875",18,2,3
One or more out-of-school suspensions for females,"4,160",21.3,93,0.5,"4,067",20.8,16,0.1,13,0.1,236,1.2,"1,392",7.3,"2,179",11.4,4,0,227,1.2,103,0.5,"1,875",18,2,3
One or more out-of-school suspensions total,"19,540",100,420,2.1,"19,120",97.9,61,0.3,54,0.3,"1,095",5.7,"5,564",29.1,"11,217",58.7,10,0.1,"1,119",5.9,455,2.3,"1,875",18,2,3
Expulsions with educational services for males,779,79.2,11,1.1,768,78,DS,0.2,0,0,53,5.5,260,26.9,425,43.9,0,0,28,2.9,14,1.4,"1,875",18,2,3
Expulsions with educational services for females,205,20.8,5,0.5,200,20.3,0,0,0,0,14,1.4,82,8.5,99,10.2,0,0,5,0.5,6,0.6,"1,875",18,2,3
Expulsions with educational services total,984,100,16,1.6,968,98.4,DS,0.2,0,0,67,6.9,342,35.3,524,54.1,0,0,33,3.4,20,2,"1,875",18,2,3
Expulsions without educational services for males,329,82.3,16,4,313,78.3,DS,0.5,0,0,17,4.5,125,33,146,38.5,0,0,23,6.1,4,1,"1,875",18,2,3
Expulsions without educational services for females,71,17.8,5,1.3,66,16.5,0,0,0,0,6,1.6,33,8.7,25,6.6,0,0,DS,0.5,DS,0.5,"1,875",18,2,3
Expulsions without educational services total,400,100,21,5.3,379,94.8,DS,0.5,0,0,23,6.1,158,41.7,171,45.1,0,0,25,6.6,6,1.5,"1,875",18,2,3
Expulsions with or without educational services for males,"1,107",80,27,2,"1,080",78.1,4,0.3,0,0,69,5.1,384,28.5,571,42.4,0,0,52,3.9,18,1.3,"1,875",18,2,3
