,2000,2000,,2012,2012,,
,Income,Received,,Income,Received,,2000-2012
County,Tax Filers,EITC,Percentage,Tax Filers,EITC,Percentage,Change
Adair,"3,193",295,9.20%,"3,371",509,15.10%,63.40%
Adams,"1,821",223,12.20%,"1,789",325,18.20%,48.30%
Allamakee,"6,527",787,12.10%,"6,333",987,15.60%,29.30%
Appanoose,"5,786",936,16.20%,"5,352","1,130",21.10%,30.50%
Audubon,"2,885",337,11.70%,"2,654",401,15.10%,29.30%
Benton,"11,032",927,8.40%,"11,504","1,386",12.00%,43.40%
Black Hawk,"55,541","7,144",12.90%,"57,464","9,475",16.50%,28.20%
Boone,"11,398","1,029",9.00%,"11,609","1,610",13.90%,53.60%
Bremer,"10,789",772,7.20%,"10,507","1,010",9.60%,34.30%
Buchanan,"9,727",962,9.90%,"9,214","1,160",12.60%,27.30%
Buena Vista,"8,929","1,148",12.90%,"9,272","1,860",20.10%,56.00%
Butler,"7,205",661,9.20%,"6,581",793,12.00%,31.30%
Calhoun,"5,156",562,10.90%,"4,302",641,14.90%,36.70%
Carroll,"10,652","1,002",9.40%,"9,985","1,282",12.80%,36.50%
Cass,"6,961",892,12.80%,"6,172","1,133",18.40%,43.30%
Cedar,"7,885",608,7.70%,"8,217","1,043",12.70%,64.60%
Cerro Gordo,"21,242","2,466",11.60%,"20,100","3,248",16.20%,39.20%
Cherokee,"6,024",617,10.20%,"5,701",870,15.30%,49.00%
Chickasaw,"6,282",657,10.50%,"5,749",745,13.00%,23.90%
Clarke,"3,873",559,14.40%,"4,076",800,19.60%,36.00%
Clay,"8,048",840,10.40%,"7,772","1,216",15.60%,49.90%
Clayton,"8,646",974,11.30%,"8,016","1,183",14.80%,31.00%
Clinton,"22,755","2,926",12.90%,"21,742","3,886",17.90%,39.00%
Crawford,"7,375","1,031",14.00%,"7,539","1,330",17.60%,26.20%
Dallas,"16,903","1,470",8.70%,"30,857","3,056",9.90%,13.90%
Davis,"3,447",410,11.90%,"3,329",544,16.30%,37.40%
Decatur,"3,316",551,16.60%,"3,079",676,22.00%,32.10%
Delaware,"7,726",794,10.30%,"8,083","1,024",12.70%,23.30%
Des Moines,"19,085","2,497",13.10%,"18,524","3,648",19.70%,50.50%
Dickinson,"8,406",763,9.10%,"8,289","1,021",12.30%,35.70%
Dubuque,"42,576","4,103",9.60%,"44,416","6,213",14.00%,45.20%
Emmet,"4,998",595,11.90%,"4,410",752,17.10%,43.20%
Fayette,"9,041","1,131",12.50%,"8,755","1,464",16.70%,33.70%
Floyd,"7,453",923,12.40%,"7,151","1,176",16.40%,32.80%
Franklin,"4,162",483,11.60%,"4,515",695,15.40%,32.60%
Fremont,"3,502",425,12.10%,"3,111",500,16.10%,32.40%
Greene,"4,517",540,12.00%,"4,141",738,17.80%,49.10%
Grundy,"5,258",406,7.70%,"5,371",533,9.90%,28.50%
Guthrie,"5,254",551,10.50%,"4,801",704,14.70%,39.80%
Hamilton,"7,317",749,10.20%,"6,888","1,033",15.00%,46.50%
Hancock,"5,076",507,10.00%,"5,018",680,13.60%,35.70%
Hardin,"9,284",986,10.60%,"7,587","1,168",15.40%,45.00%
Harrison,"6,935",767,11.10%,"6,432",965,15.00%,35.70%
Henry,"9,140","1,013",11.10%,"8,496","1,515",17.80%,60.90%
Howard,"5,236",503,9.60%,"4,289",670,15.60%,62.60%
Humboldt,"5,175",491,9.50%,"4,420",610,13.80%,45.50%
Ida,"3,499",370,10.60%,"3,193",458,14.30%,35.60%
Iowa,"7,693",518,6.70%,"7,595",864,11.40%,68.90%
Jackson,"9,502","1,136",12.00%,"9,210","1,436",15.60%,30.40%
Jasper,"16,343","1,411",8.60%,"15,985","2,425",15.20%,75.70%
Jefferson,"7,023",996,14.20%,"6,831","1,350",19.80%,39.40%
Johnson,"49,038","3,479",7.10%,"59,213","7,063",11.90%,68.10%
Jones,"8,429",864,10.30%,"8,831","1,201",13.60%,32.70%
Keokuk,"5,482",679,12.40%,"4,550",749,16.50%,32.90%
,Income Received,,Income,Received,,2000-2012,
County,Tax Filers EITC,Percentage,Tax Filers,EITC,Percentage,Change,
Kossuth,"7,659 813",10.60%,"7,122",923,13.00%,22.10%,
Lee,"16,630 2,169",13.00%,"15,483","2,991",19.30%,48.10%,
Linn,"92,561 7,608",8.20%,"98,103","13,636",13.90%,69.10%,
Louisa,"5,089 683",13.40%,"4,931",833,16.90%,25.90%,
Lucas,"4,010 510",12.70%,"3,706",675,18.20%,43.20%,
Lyon,"5,107 459",9.00%,"4,940",581,11.80%,30.90%,
Madison,"6,133 548",8.90%,"6,534",803,12.30%,37.50%,
Mahaska,"9,173 979",10.70%,"9,201","1,495",16.20%,52.20%,
Marion,"14,568 1,083",7.40%,"14,129","1,781",12.60%,69.60%,
Marshall,"17,740 2,211",12.50%,"17,464","3,309",18.90%,52.00%,
Mills,"6,319 612",9.70%,"6,319",874,13.80%,42.80%,
Mitchell,"4,416 417",9.40%,"4,821",582,12.10%,27.80%,
Monona,"4,365 610",14.00%,"4,027",662,16.40%,17.60%,
Monroe,"3,278 396",12.10%,"3,200",533,16.70%,37.90%,
Montgomery,"5,285 685",13.00%,"4,705",908,19.30%,48.90%,
Muscatine,"19,933 2,374",11.90%,"19,674","3,511",17.80%,49.80%,
O'Brien,"7,224 707",9.80%,"6,474",899,13.90%,41.90%,
Osceola,"3,046 306",10.00%,"2,904",384,13.20%,31.60%,
Page,"7,211 818",11.30%,"6,338","1,090",17.20%,51.60%,
Palo Alto,"4,742 531",11.20%,"4,164",606,14.60%,30.00%,
Plymouth,"11,248 922",8.20%,"11,476","1,483",12.90%,57.70%,
Pocahontas,"3,510 385",11.00%,"3,339",498,14.90%,36.00%,
Polk,"178,946 17,093",9.60%,"202,139","30,040",14.90%,55.60%,
Pottawattamie,"40,343 5,011",12.40%,"39,963","7,256",18.20%,46.20%,
Poweshiek,"8,801 763",8.70%,"8,018","1,109",13.80%,59.50%,
Ringgold,"2,086 302",14.50%,"1,892",370,19.60%,35.10%,
Sac,"5,096 628",12.30%,"4,718",695,14.70%,19.50%,
Scott,"74,616 8,906",11.90%,"77,282","13,064",16.90%,41.60%,
Shelby,"5,413 567",10.50%,"5,630",756,13.40%,28.20%,
Sioux,"13,216 956",7.20%,"13,868","1,493",10.80%,48.80%,
Story,"33,828 2,068",6.10%,"35,153","3,693",10.50%,71.80%,
Tama,"8,669 896",10.30%,"7,885","1,257",15.90%,54.20%,
Taylor,"3,082 431",14.00%,"2,641",496,18.80%,34.30%,
Union,"5,888 763",13.00%,"5,510","1,045",19.00%,46.40%,
Van Buren,"3,678 518",14.10%,"3,143",578,18.40%,30.60%,
Wapello,"15,360 2,440",15.90%,"14,980","3,228",21.50%,35.70%,
Warren,"18,225 1,391",7.60%,"20,375","2,501",12.30%,60.80%,
Washington,"10,400 962",9.30%,"9,576","1,434",15.00%,61.90%,
Wayne,"2,773 405",14.60%,"2,594",502,19.40%,32.50%,
Webster,"17,488 2,117",12.10%,"15,719","2,885",18.40%,51.60%,
Winnebago,"5,856 556",9.50%,"4,948",718,14.50%,52.80%,
Winneshiek,"8,750 733",8.40%,"9,126","1,076",11.80%,40.70%,
Woodbury,"46,223 6,442",13.90%,"44,654","9,711",21.70%,56.00%,
Worth,"3,496 371",10.60%,"3,479",555,16.00%,50.30%,
Wright,"42.1% 6,385 695",10.90%,"5,761",891,15.50%,,
State,"1,328,413 139,306",45.3% 10.5%,"1,360,499","207,364",15.20%,,
Rural,"216,339 23,433",10.80%,"202,788","30,149",14.90%,37.30%,
Small Urban,"498,402 54,019",10.80%,"499,324","77,064",15.40%,42.40%,
Metropolitan,"613,672 61,854",50.9% 10.1%,"658,387","100,151",15.20%,,
United States,"125,302,193 18,750,417",15.00%,"131,457,951","26,213,746",19.90%,33.30%,
