Advanced Placement Course enrollment by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"20,115"	43.7	94	0.2	"1,091"	2.4	"3,436"	7.5	750	1.6	"14,142"	30.7	35	0.1	567	1.2	343	0.7	378	0.8	221	8	4	8
At least one AP course females	"25,880"	56.3	144	0.3	"1,349"	2.9	"4,374"	9.5	"1,083"	2.4	"18,055"	39.3	54	0.1	821	1.8	205	0.4	460	1	221	8	4	8
At least one AP course total	"45,995"	100	238	0.5	"2,440"	5.3	"7,810"	17	"1,833"	4	"32,197"	70	89	0.2	"1,388"	3	548	1.2	838	1.8	221	8	4	8
AP mathematics males	"5,634"	51.3	25	0.2	340	3.1	630	5.7	114	1	"4,357"	39.6	10	0.1	158	1.4	47	0.4	47	0.4	221	8	4	8
AP mathematics females	"5,356"	48.7	27	0.2	338	3.1	633	5.8	141	1.3	"4,040"	36.8	11	0.1	166	1.5	15	0.1	41	0.4	221	8	4	8
AP mathematics total	"10,990"	100	52	0.5	678	6.2	"1,263"	11.5	255	2.3	"8,397"	76.4	21	0.2	324	2.9	62	0.6	88	0.8	221	8	4	8
AP science males	"4,798"	50	17	0.2	355	3.7	589	6.1	132	1.4	"3,564"	37.1	8	0.1	133	1.4	53	0.6	50	0.5	221	8	4	8
AP science females	"4,803"	50	26	0.3	360	3.7	623	6.5	151	1.6	"3,476"	36.2	10	0.1	157	1.6	20	0.2	60	0.6	221	8	4	8
AP science total	"9,601"	100	43	0.4	715	7.4	"1,212"	12.6	283	2.9	"7,040"	73.3	18	0.2	290	3	73	0.8	110	1.1	221	8	4	8
AP foreign language males	"2,255"	39.8	8	0.1	163	2.9	768	13.5	43	0.8	"1,239"	21.8	0	0	34	0.6	23	0.4	143	2.5	221	8	4	8
AP foreign language females	"3,416"	60.2	10	0.2	231	4.1	"1,028"	18.1	64	1.1	"2,024"	35.7	5	0.1	54	1	26	0.5	212	3.7	221	8	4	8
AP foreign language total	"5,671"	100	18	0.3	394	6.9	"1,796"	31.7	107	1.9	"3,263"	57.5	5	0.1	88	1.6	49	0.9	355	6.3	221	8	4	8
Other AP subjects males	"14,797"	41.6	67	0.2	773	2.2	"2,412"	6.8	621	1.7	"10,457"	29.4	21	0.1	446	1.3	234	0.7	183	0.5	221	8	4	8
Other AP subjects females	"20,815"	58.4	116	0.3	"1,055"	3	"3,244"	9.1	962	2.7	"14,704"	41.3	45	0.1	689	1.9	137	0.4	208	0.6	221	8	4	8
Other AP subjects total	"35,612"	100	183	0.5	"1,828"	5.1	"5,656"	15.9	"1,583"	4.4	"25,161"	70.7	66	0.2	"1,135"	3.2	371	1	391	1.1	221	8	4	8
