Year,State,NatIon_ID,State_ID,Region_ID,Division_ID,Personnel Type,"Teachers
(Highly Qualified) /
Paraprofessionals
(Qualified)","Teachers
(Not Highly Qualified) /
Paraprofessionals
(Not Qualified)","Teachers /
Paraprofessionals
Total",Fully Certified ,Not Fully Certified,Fully Certified/Not Fully Certified Total
2010,Alabama                                                     ,,1,3,6,Special Education Teachers for Ages 3-5                                          ,293.1,16.1,309.2,          N/A,          N/A,          N/A
2010,Alabama                                                     ,,1,3,6,Special Education Teachers for Ages 6-21                                         ,4968.3,232.1,5200.4,          N/A,          N/A,          N/A
2010,Alabama                                                     ,,1,3,6,Total Special Education Teachers                                                 ,5261.4,248.2,5509.6,          N/A,          N/A,          N/A
2010,Alabama                                                     ,,1,3,6,Special Education Paraprofessionals for Ages 3-5                                 ,324.8,15,339.8,          N/A,          N/A,          N/A
2010,Alabama                                                     ,,1,3,6,Special Education Paraprofessionals for Ages 6-21                                ,3933.4,376.5,4309.9,          N/A,          N/A,          N/A
2010,Alabama                                                     ,,1,3,6,Total Special Education Paraprofessionals                                        ,4258.2,391.5,4649.7,          N/A,          N/A,          N/A
2010,Alabama                                                     ,,1,3,6,Audiologists                                                                     ,          N/A,          N/A,          N/A,10.1,0,10.1
2010,Alabama                                                     ,,1,3,6,Speech-Language Pathologists                                                     ,          N/A,          N/A,          N/A,768.7,29,797.7
2010,Alabama                                                     ,,1,3,6,Interpreters                                                                     ,          N/A,          N/A,          N/A,79.3,5.7,85
2010,Alabama                                                     ,,1,3,6,Psychologists                                                                    ,          N/A,          N/A,          N/A,106.9,2,108.9
2010,Alabama                                                     ,,1,3,6,Occupational Therapists                                                          ,          N/A,          N/A,          N/A,148,3.9,151.9
2010,Alabama                                                     ,,1,3,6,Physical Therapists                                                              ,          N/A,          N/A,          N/A,90,3.6,93.6
2010,Alabama                                                     ,,1,3,6,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          N/A,          N/A,          N/A,401.5,14,415.5
2010,Alabama                                                     ,,1,3,6,Social Workers                                                                   ,          N/A,          N/A,          N/A,72.2,16.4,88.6
2010,Alabama                                                     ,,1,3,6,Medical/Nursing Service Staff                                                    ,          N/A,          N/A,          N/A,622.4,64,686.4
2010,Alabama                                                     ,,1,3,6,Counselors and Rehabilitation Counselors                                         ,          N/A,          N/A,          N/A,319.7,27.9,347.6
2010,Alabama                                                     ,,1,3,6,Orientation and Mobility Specialists                                             ,          N/A,          N/A,          N/A,18.8,3,21.8
2010,Alaska                                                      ,,2,4,9,Special Education Teachers for Ages 3-5                                          ,78,15,93,          N/A,          N/A,          N/A
