County,2000 Live Births,2000 Low Birthweight,2000 Percentage,2011 Live Births,2011 Low Birthweight,2011 Percentage,2000-2011 Percentage,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,68,C,N/A,81,C,N/A,N/A,19_001,19,2,4,,
Adams,35,C,N/A,39,C,N/A,N/A,19_002,19,2,4,,
Allamakee,158,7,4.40%,164,14,8.50%,92.70%,19_003,19,2,4,,
Appanoose,142,8,5.60%,167,13,7.80%,38.20%,19_004,19,2,4,,
Audubon,47,C,N/A,58,C,N/A,N/A,19_005,19,2,4,,
Benton,325,26,8.00%,267,18,6.70%,-15.70%,19_006,19,2,4,,
Black Hawk,"1,551",96,6.20%,"1,632",141,8.60%,39.60%,19_007,19,2,4,,
Boone,317,14,4.40%,323,21,6.50%,47.20%,19_008,19,2,4,,
Bremer,250,13,5.20%,252,21,8.30%,60.30%,19_009,19,2,4,,
Buchanan,301,16,5.30%,294,23,7.80%,47.20%,19_010,19,2,4,,
Buena Vista,233,12,5.20%,301,17,5.60%,9.70%,19_011,19,2,4,,
Butler,170,9,5.30%,167,7,4.20%,-20.80%,19_012,19,2,4,,
Calhoun,107,8,7.50%,100,C,N/A,N/A,19_013,19,2,4,,
Carroll,262,11,4.20%,277,13,4.70%,11.80%,19_014,19,2,4,,
Cass,158,8,5.10%,148,6,4.10%,-19.90%,19_015,19,2,4,,
Cedar,206,10,4.90%,190,10,5.30%,8.40%,19_016,19,2,4,,
Cerro Gordo,530,29,5.50%,479,26,5.40%,-0.80%,19_017,19,2,4,,
Cherokee,146,10,6.80%,135,9,6.70%,-2.70%,19_018,19,2,4,,
Chickasaw,169,11,6.50%,152,4,2.60%,-59.60%,19_019,19,2,4,,
Clarke,97,7,7.20%,130,9,6.90%,-4.10%,19_020,19,2,4,,
Clay,204,11,5.40%,194,11,5.70%,5.20%,19_021,19,2,4,,
Clayton,194,10,5.20%,189,C,N/A,N/A,19_022,19,2,4,,
Clinton,591,39,6.60%,575,31,5.40%,-18.30%,19_023,19,2,4,,
Crawford,189,13,6.90%,257,15,5.80%,-15.10%,19_024,19,2,4,,
Dallas,566,34,6.00%,"1,065",67,6.30%,4.70%,19_025,19,2,4,,
Davis,129,9,7.00%,134,6,4.50%,-35.80%,19_026,19,2,4,,
Decatur,101,C,N/A,85,C,N/A,N/A,19_027,19,2,4,,
Delaware,227,20,8.80%,187,17,9.10%,3.20%,19_028,19,2,4,,
Des Moines,555,44,7.90%,476,40,8.40%,6.00%,19_029,19,2,4,,
Dickinson,159,10,6.30%,172,11,6.40%,1.70%,19_030,19,2,4,,
Dubuque,"1,221",62,5.10%,"1,135",73,6.40%,26.70%,19_031,19,2,4,,
Emmet,126,8,6.30%,102,C,N/A,N/A,19_032,19,2,4,,
Fayette,233,13,5.60%,233,20,8.60%,53.80%,19_033,19,2,4,,
Floyd,199,8,4.00%,216,14,6.50%,61.20%,19_034,19,2,4,,
Franklin,113,9,8.00%,114,13,11.40%,43.20%,19_035,19,2,4,,
Fremont,82,7,8.50%,66,6,9.10%,6.50%,19_036,19,2,4,,
Greene,92,10,10.90%,85,9,10.60%,-2.60%,19_037,19,2,4,,
Grundy,133,8,6.00%,141,11,7.80%,29.70%,19_038,19,2,4,,
Guthrie,134,6,4.50%,109,13,11.90%,166.40%,19_039,19,2,4,,
Hamilton,192,7,3.60%,174,14,8.00%,120.70%,19_040,19,2,4,,
Hancock,131,10,7.60%,95,5,5.30%,-31.10%,19_041,19,2,4,,
Hardin,208,20,9.60%,178,14,7.90%,-18.20%,19_042,19,2,4,,
Harrison,193,16,8.30%,154,10,6.50%,-21.70%,19_043,19,2,4,,
Henry,264,14,5.30%,231,20,8.70%,63.30%,19_044,19,2,4,,
Howard,110,6,5.50%,112,C,N/A,N/A,19_045,19,2,4,,
Humboldt,99,6,6.10%,103,4,3.90%,-35.90%,19_046,19,2,4,,
Ida,70,6,8.60%,74,C,N/A,N/A,19_047,19,2,4,,
Iowa,183,11,6.00%,178,10,5.60%,-6.50%,19_048,19,2,4,,
Jackson,239,20,8.40%,220,12,5.50%,-34.80%,19_049,19,2,4,,
Jasper,458,27,5.90%,417,34,8.20%,38.30%,19_050,19,2,4,,
Jefferson,145,12,8.30%,144,C,N/A,N/A,19_051,19,2,4,,
Johnson,"1,382",74,5.40%,"1,733",101,5.80%,8.80%,19_052,19,2,4,,
Jones,227,15,6.60%,190,10,5.30%,-20.40%,19_053,19,2,4,,
Keokuk,154,10,6.50%,137,7,5.10%,-21.30%,19_054,19,2,4,,
Kossuth,166,9,5.40%,162,11,6.80%,25.20%,19_055,19,2,4,,
Lee,410,34,8.30%,405,37,9.10%,10.20%,19_056,19,2,4,,
Linn,"2,715",150,5.50%,"2,732",171,6.30%,13.30%,19_057,19,2,4,,
Louisa,164,16,9.80%,124,8,6.50%,-33.90%,19_058,19,2,4,,
Lucas,119,6,5.00%,100,4,4.00%,-20.70%,19_059,19,2,4,,
Lyon,159,C,N/A,173,9,5.20%,N/A,19_119,19,2,4,,
Madison,196,15,7.70%,150,6,4.00%,-47.70%,19_121,19,2,4,,
Mahaska,283,22,7.80%,281,17,6.00%,-22.20%,19_123,19,2,4,,
Marion,383,26,6.80%,358,22,6.10%,-9.50%,19_125,19,2,4,,
Marshall,556,32,5.80%,538,34,6.30%,9.80%,19_127,19,2,4,,
