,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Number and percentage of public school students retained, by race/ethnicity, disability status, and English proficiency, by gender and grade: School Year 2011-12",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grade,Gender,Total Students,,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,
,,,,Number,Percent,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,Number,Percent,,
Retention of students,Nevada,,Male,280 ,58.3 ,1-3 ,0.4 ,1-3 ,0.4 ,127 ,26.5 ,36 ,7.5 ,101 ,21.0 ,1-3 ,0.4 ,10 ,2.1 ,52 ,10.8 ,1-3 ,0.4 ,95 ,19.8 ,386 ,100.0 
Retention of students,Nevada,Kindergarten,Female,200 ,41.7 ,5 ,1.0 ,1-3 ,0.4 ,99 ,20.6 ,31 ,6.5 ,55 ,11.5 ,1-3 ,0.4 ,6 ,1.3 ,18 ,3.8 ,1-3 ,0.4 ,78 ,16.3 ,386 ,100.0 
Retention of students,Nevada,,Total,480 ,100.0 ,7 ,1.5 ,4 ,0.8 ,226 ,47.1 ,67 ,14.0 ,156 ,32.5 ,4 ,0.8 ,16 ,3.3 ,70 ,14.6 ,4 ,0.8 ,173 ,36.0 ,386 ,100.0 
Retention of students,Nevada,,Male,467 ,60.6 ,6 ,0.8 ,8 ,1.0 ,222 ,28.8 ,67 ,8.7 ,140 ,18.2 ,1-3 ,0.3 ,22 ,2.9 ,48 ,6.2 ,1-3 ,0.3 ,156 ,20.3 ,386 ,100.0 
Retention of students,Nevada,1,Female,303 ,39.4 ,1-3 ,0.3 ,7 ,0.9 ,162 ,21.0 ,42 ,5.5 ,75 ,9.7 ,1-3 ,0.3 ,13 ,1.7 ,27 ,3.5 ,1-3 ,0.3 ,112 ,14.5 ,386 ,100.0 
Retention of students,Nevada,,Total,770 ,100.0 ,8 ,1.0 ,15 ,1.9 ,384 ,49.9 ,109 ,14.2 ,215 ,27.9 ,4 ,0.5 ,35 ,4.5 ,75 ,9.7 ,4 ,0.5 ,268 ,34.8 ,386 ,100.0 
Retention of students,Nevada,,Male,288 ,57.6 ,1-3 ,0.4 ,1-3 ,0.4 ,165 ,33.0 ,39 ,7.8 ,67 ,13.4 ,1-3 ,0.4 ,11 ,2.2 ,45 ,9.0 ,1-3 ,0.4 ,123 ,24.6 ,386 ,100.0 
